Year,sale($/MWh),CO2_tax($/MWh)
2015,104.34766,14.46774
2016,102.83273,15.40976
2017,105.704,16.41505
2018,106.63255,17.49064
2019,110.13144,18.6295
2020,114.4252,19.84569
2021,117.56453,21.13921
2022,123.69837,22.52412
2023,127.59103,23.99339
2024,129.932,25.56108
2025,134.95377,27.22719
2026,139.48007,29.00578
2027,143.14314,30.89685
2028,146.83866,32.91446
2029,150.55599,35.06564
2030,154.27146,37.35039
2031,157.57823,39.7898
2032,160.59099,42.3909
2033,163.31835,45.15369
2034,166.1087,48.10629
2035,169.68966,51.24167
2036,173.07726,54.58795
2037,176.13743,58.15216
2038,179.43823,61.94836
2039,182.85069,65.99061
2040,186.1915,70.3
2041,189.56873,70.3
2042,193.62793,70.3
2043,198.13723,70.3
2044,202.90394,70.3
2045,207.86161,70.3
2046,212.89591,70.3
2047,218.18764,70.3
2048,223.60786,70.3
2049,228.95535,70.3
2050,234.50676,70.3
