Year,State,Sale
1990,AK,94.8
1990,AL,55.7
1990,AR,67
1990,AZ,77.5
1990,CA,88.4
1990,CO,58.9
1990,CT,91.6
1990,DE,64.6
1990,FL,70.4
1990,GA,65.6
1990,HI,90.2
1990,IA,59.3
1990,ID,38
1990,IL,74.9
1990,IN,53.6
1990,KS,65.7
1990,KY,44.8
1990,LA,60
1990,MA,88.5
1990,MD,63
1990,ME,76.5
1990,MI,71
1990,MN,53.3
1990,MO,64.6
1990,MS,61.1
1990,MT,39.6
1990,NC,63.8
1990,ND,57.5
1990,NE,55.7
1990,NH,90.9
1990,NJ,90.8
1990,NM,71
1990,NV,53.8
1990,NY,93.7
1990,OH,58.9
1990,OK,54.8
1990,OR,41.8
1990,PA,76.5
1990,RI,91.5
1990,SC,55.9
1990,SD,61.3
1990,TN,53.1
1990,TX,57.8
1990,UT,54.6
1990,VA,60.3
1990,VT,82.8
1990,WA,34
1990,WI,53.7
1990,WV,47.3
1990,WY,42.1
1991,AK,98
1991,AL,56.4
1991,AR,66.9
1991,AZ,78.5
1991,CA,94.2
1991,CO,59.5
1991,CT,96
1991,DE,67
1991,FL,71.6
1991,GA,65.6
1991,HI,92.2
1991,IA,59.4
1991,ID,38.4
1991,IL,76.3
1991,IN,53.2
1991,KS,65.7
1991,KY,44.1
1991,LA,59.4
1991,MA,95.3
1991,MD,68.1
1991,ME,86
1991,MI,72.1
1991,MN,54.6
1991,MO,64.6
1991,MS,60.2
1991,MT,41.4
1991,NC,64.7
1991,ND,57.6
1991,NE,54.8
1991,NH,91.3
1991,NJ,94.6
1991,NM,71.4
1991,NV,56
1991,NY,97.9
1991,OH,61.1
1991,OK,57.8
1991,OR,42.5
1991,PA,80
1991,RI,101.7
1991,SC,56.3
1991,SD,61.3
1991,TN,52.1
1991,TX,60.6
1991,UT,54.6
1991,VA,60.9
1991,VT,86.3
1991,WA,33.7
1991,WI,54.5
1991,WV,48.4
1991,WY,42.5
1992,AK,99.5
1992,AL,55.7
1992,AR,67.1
1992,AZ,81.3
1992,CA,96.6
1992,CO,60.2
1992,CT,100.4
1992,DE,67
1992,FL,69.9
1992,GA,66.7
1992,HI,94.4
1992,IA,59.8
1992,ID,38.7
1992,IL,76.9
1992,IN,53
1992,KS,65.6
1992,KY,41.9
1992,LA,60.1
1992,MA,96.6
1992,MD,68
1992,ME,90.5
1992,MI,72.3
1992,MN,55.2
1992,MO,64.1
1992,MS,60.3
1992,MT,41.9
1992,NC,66
1992,ND,58.1
1992,NE,55.3
1992,NH,99.7
1992,NJ,95.1
1992,NM,71.2
1992,NV,56.9
1992,NY,101.9
1992,OH,60.6
1992,OK,58
1992,OR,43.1
1992,PA,80.4
1992,RI,103
1992,SC,55.3
1992,SD,62.2
1992,TN,52.1
1992,TX,61.6
1992,UT,53
1992,VA,62.8
1992,VT,88.3
1992,WA,34.3
1992,WI,54.8
1992,WV,50.5
1992,WY,42.7
1993,AK,101.2
1993,AL,56.7
1993,AR,66.2
1993,AZ,82.1
1993,CA,96.9
1993,CO,60.5
1993,CT,102.6
1993,DE,69.8
1993,FL,72
1993,GA,67.1
1993,HI,106.6
1993,IA,59.7
1993,ID,40
1993,IL,77.5
1993,IN,51.7
1993,KS,66
1993,KY,43.2
1993,LA,62.6
1993,MA,99.8
1993,MD,69.6
1993,ME,91
1993,MI,71.4
1993,MN,56
1993,MO,63.3
1993,MS,61.8
1993,MT,43.6
1993,NC,66.3
1993,ND,58.3
1993,NE,55.4
1993,NH,108.5
1993,NJ,99.9
1993,NM,72.3
1993,NV,58.7
1993,NY,107.2
1993,OH,62.2
1993,OK,59.6
1993,OR,44.3
1993,PA,79.2
1993,RI,104
1993,SC,56.4
1993,SD,62
1993,TN,52.2
1993,TX,63.9
1993,UT,53.3
1993,VA,62.3
1993,VT,90.4
1993,WA,36.5
1993,WI,55.2
1993,WV,52.2
1993,WY,42.5
1994,AK,102.5
1994,AL,54.8
1994,AR,63.5
1994,AZ,79.3
1994,CA,97.8
1994,CO,60.7
1994,CT,101.8
1994,DE,67.8
1994,FL,69.6
1994,GA,65.7
1994,HI,106.8
1994,IA,59.2
1994,ID,40
1994,IL,74.1
1994,IN,52.5
1994,KS,66.1
1994,KY,42.6
1994,LA,60.5
1994,MA,100
1994,MD,70.3
1994,ME,96.3
1994,MI,70.9
1994,MN,56.3
1994,MO,62.8
1994,MS,60.5
1994,MT,45.1
1994,NC,66.2
1994,ND,57.7
1994,NE,54.9
1994,NH,113.2
1994,NJ,100.6
1994,NM,71.1
1994,NV,63.7
1994,NY,109.2
1994,OH,61.9
1994,OK,58.4
1994,OR,46
