YYMM,State,Coal,NG,Petroleum
200801,AK,1.34,4.05,19.7
200801,AL,2.15,8.24,18.21
200801,AR,1.81,8.99,14.43
200801,AZ,1.62,8.01,19.9
200801,CA,1.41,7.27,19.96
200801,CO,1.28,6.71,19.47
200801,CT,3.24,13.63,21.77
200801,DE,2.53,10.33,18.45
200801,FL,2.66,9.31,9.79
200801,GA,2.69,9.45,20.56
200801,HI,1.34,4.05,15.24
200801,IA,1.15,8.85,20.08
200801,ID,1.44,8.6,19.79
200801,IL,1.66,8.76,23.21
200801,IN,1.72,9.02,19.89
200801,KS,1.35,7.76,19.12
200801,KY,1.89,8.91,19.28
200801,LA,2.27,8.25,7.59
200801,MA,3.24,11.66,17.75
200801,MD,2.5,9.54,18.2
200801,ME,3.24,11.89,18.2
200801,MI,1.94,9.23,15.72
200801,MN,1.58,8.48,20.39
200801,MO,1.44,8.46,19.28
200801,MS,3.11,8.31,16.85
200801,MT,1.27,9.1,18.91
200801,NC,2.83,11.64,19.25
200801,ND,1.01,8.81,19.54
200801,NE,0.88,9.07,20.49
200801,NH,3.24,12.12,19.45
200801,NJ,4.24,10.55,17.02
200801,NM,1.72,7.67,22.58
200801,NV,2.24,7.32,19.68
200801,NY,2.44,11.33,13.02
200801,OH,1.76,9.32,19.34
200801,OK,1.29,7.35,18.17
200801,OR,1.41,7.18,0
200801,PA,2.52,10.39,18.85
200801,RI,3.24,10.92,18.2
200801,SC,2.38,9.75,19.43
200801,SD,1.68,5.8,22.09
200801,TN,2.02,8.18,18.52
200801,TX,1.72,7.2,18.68
200801,UT,1.36,6.27,19.16
200801,VA,2.56,11.25,14.38
200801,VT,3.24,9.14,17.79
200801,WA,1.41,8.2,21.65
200801,WI,1.74,8.76,17.5
200801,WV,1.92,8.45,19.99
200801,WY,1.2,7.42,20.77
200802,AK,1.31,4.07,20.55
200802,AL,2.12,8.81,20.02
200802,AR,1.68,9.64,20.51
200802,AZ,1.69,8.62,25.3
200802,CA,1.41,8.07,21.28
200802,CO,1.34,7.74,23.74
200802,CT,3.06,15.74,22.14
200802,DE,2.52,10.41,19.46
200802,FL,2.61,9.56,9.02
200802,GA,2.73,9.61,19.44
200802,HI,1.31,4.07,15.62
200802,IA,1.12,10.15,21.47
200802,ID,1.46,8.81,20.8
200802,IL,1.72,8.53,19.54
200802,IN,1.71,9.44,20.85
200802,KS,1.37,8.38,20.26
200802,KY,1.91,9.4,20.56
200802,LA,2.34,8.87,19.2
200802,MA,3.06,11.16,17.64
200802,MD,2.73,10.13,17.81
200802,ME,3.06,11.12,17.81
200802,MI,2.1,9.21,19.1
200802,MN,1.6,8.84,20.33
200802,MO,1.44,8.9,19.85
200802,MS,2.91,8.37,20.11
200802,MT,1.28,10.02,19.66
200802,NC,2.81,13.56,19.29
200802,ND,1.02,8.23,20.92
200802,NE,0.86,10.35,20.66
200802,NH,3.06,11.61,20.26
200802,NJ,3.91,11.04,18.5
200802,NM,1.84,7.97,21.98
200802,NV,2.12,8.1,20.62
200802,NY,3.15,11.11,12.76
200802,OH,1.81,9.92,19.56
200802,OK,1.3,7.97,19.01
200802,OR,1.41,7.91,0
200802,PA,3.22,10.48,19.43
200802,RI,3.06,10.53,17.81
200802,SC,2.29,10.39,21.29
200802,SD,1.64,5.81,20.51
200802,TN,2.05,9.08,19.2
200802,TX,1.69,8.03,3.06
200802,UT,1.43,7.32,20.61
200802,VA,2.52,10.35,12.7
200802,VT,3.06,9.97,18.71
200802,WA,1.41,8.67,21.98
200802,WI,1.75,9.11,20.39
200802,WV,2.05,9.67,20.67
200802,WY,1.19,7.82,21.72
200803,AK,1.34,4.13,22.68
200803,AL,2.19,9.77,21.1
200803,AR,1.7,10.38,11.17
200803,AZ,1.72,9.52,23.27
200803,CA,1.43,8.62,21.52
200803,CO,1.44,8.28,24.57
200803,CT,2.95,56.38,26.25
200803,DE,2.6,10.3,19.52
200803,FL,2.62,9.91,12.9
200803,GA,2.81,14.46,14.44
200803,HI,1.34,4.13,14.4
200803,IA,1.14,9.21,23.34
200803,ID,1.47,9.33,21.92
200803,IL,1.71,8.94,26.29
200803,IN,1.76,10.31,22.95
200803,KS,1.39,8.91,23.62
200803,KY,1.87,10.27,23.52
200803,LA,2.29,9.87,20.25
200803,MA,2.95,12.38,16.21
200803,MD,3.04,10.61,19.7
200803,ME,2.95,14.79,19.7
200803,MI,2.01,10.1,19.87
200803,MN,1.6,9.3,22.54
200803,MO,1.52,9.22,23.42
200803,MS,3.21,9.64,21.47
200803,MT,1.28,11.13,24.04
200803,NC,2.86,10.08,23
200803,ND,1.14,11.86,23.74
200803,NE,0.89,9.33,22.82
200803,NH,2.95,13.74,23.19
200803,NJ,3.89,11.9,15.07
200803,NM,2.07,8.78,25.25
200803,NV,2.13,8.44,21.83
200803,NY,3.12,10.56,16.37
200803,OH,1.82,10.54,21.15
200803,OK,1.28,8.6,18.47
200803,OR,1.43,8.28,0
200803,PA,3.26,10.36,20.86
200803,RI,2.95,11.38,19.7
200803,SC,2.36,10.16,14.59
200803,SD,1.67,6.22,23.5
200803,TN,2.1,10.03,22.82
200803,TX,1.72,8.74,21.11
200803,UT,1.25,8.14,22.61
200803,VA,2.56,11.51,19.04
200803,VT,2.95,10.02,18.71
200803,WA,1.43,8.93,26.85
200803,WI,1.75,10.22,22.34
200803,WV,2.15,10.34,23.01
200803,WY,1.15,8.3,23.36
200804,AK,1.38,4.23,26.11
200804,AL,2.19,10.14,25.56
200804,AR,1.62,11.36,20.29
200804,AZ,1.61,9.99,24.85
200804,CA,1.55,9.29,23.83
200804,CO,1.44,8.45,27.18
200804,CT,3.8,54.46,22.15
200804,DE,2.66,11.05,22.7
200804,FL,2.63,10.08,12.32
200804,GA,2.89,11.36,15.75
200804,HI,1.38,4.23,15.91
200804,IA,1.17,11.05,26.2
200804,ID,1.49,10.22,26.4
200804,IL,1.7,9.38,27.98
200804,IN,1.79,11.14,25.12
200804,KS,1.4,9.46,25.27
200804,KY,1.95,15.97,25.21
200804,LA,2.4,10.65,7.84
200804,MA,3.8,11.87,17.41
200804,MD,3.48,10.99,21.66
200804,ME,3.8,12.34,21.66
200804,MI,1.84,10.58,23.11
200804,MN,1.68,9.57,25.45
200804,MO,1.47,10.5,24.63
200804,MS,3.01,10.21,21.17
200804,MT,1.33,11,26.77
200804,NC,2.91,21.81,24.47
200804,ND,1.17,9.78,25.6
200804,NE,0.89,10.8,25.87
200804,NH,3.8,12.08,23.79
200804,NJ,4.07,11.28,22.78
200804,NM,2.07,8.72,26.82
200804,NV,2.18,8.57,26.96
200804,NY,2.9,11,13.85
200804,OH,1.91,12.72,22.67
200804,OK,1.29,9.1,21.12
200804,OR,1.55,9.37,0
200804,PA,3.14,11.11,17.09
200804,RI,3.8,10.79,21.66
200804,SC,2.44,11.26,11.16
200804,SD,1.68,4.13,25.3
200804,TN,2.09,11.55,24.61
200804,TX,1.76,9.43,23.58
200804,UT,1.25,8.4,25.5
200804,VA,2.58,12.28,13.85
200804,VT,3.8,10.57,21.03
200804,WA,1.55,10.07,27.51
200804,WI,1.86,10.79,6.74
200804,WV,2.22,10.86,24.88
200804,WY,1.21,8.59,25.71
200805,AK,1.5,4.21,28.96
200805,AL,2.41,12.64,26.83
200805,AR,1.73,12.35,19.25
200805,AZ,1.71,10.76,30
200805,CA,1.45,9.75,25.67
200805,CO,1.42,9.4,30.66
200805,CT,3.83,24.59,26.02
200805,DE,2.76,11.98,25.67
200805,FL,2.84,10.88,14.08
200805,GA,2.96,12.52,16.54
200805,HI,1.5,4.21,17.3
200805,IA,1.19,11.88,28.44
200805,ID,1.55,10.22,30.95
200805,IL,1.82,10.3,30.61
200805,IN,1.85,11.75,27.62
200805,KS,1.5,10.1,28.66
200805,KY,2.05,12.92,26.37
200805,LA,2.39,12.04,7.74
200805,MA,3.83,12.45,24.39
200805,MD,3.78,12.22,24.41
200805,ME,3.83,12.65,24.41
200805,MI,1.96,10.09,24.53
200805,MN,1.65,12.23,29.05
200805,MO,1.48,10.14,27.01
200805,MS,3.18,11.64,21.34
200805,MT,1.26,12.92,21.47
200805,NC,3.03,13.35,26.99
200805,ND,1.15,9.66,28.73
200805,NE,0.89,11.01,28.88
200805,NH,3.83,19.16,29.77
200805,NJ,3.83,13.6,22.13
200805,NM,2.1,9.87,30.71
200805,NV,2.2,9.06,30.25
200805,NY,2.39,12.21,27.05
200805,OH,1.96,13.19,27.41
200805,OK,1.29,9.93,26.54
200805,OR,1.45,10.09,0
200805,PA,2.58,12.07,27.08
200805,RI,3.83,12.15,24.41
200805,SC,2.41,12.31,16.63
200805,SD,1.79,4.34,30.13
200805,TN,2.13,11.96,26.56
200805,TX,1.86,10.52,26.93
200805,UT,1.42,9.23,29.38
200805,VA,2.57,15.11,25.8
200805,VT,3.83,11.43,26.47
200805,WA,1.45,11.42,24.83
200805,WI,1.95,11.59,25.78
200805,WV,2.33,12.16,27.18
200805,WY,1.13,9.28,28.51
200806,AK,1.51,4.28,30.05
200806,AL,2.57,13.58,22.29
200806,AR,1.73,13.65,15.35
200806,AZ,1.7,11.7,29.95
200806,CA,1.45,10.41,26.68
200806,CO,1.45,9.33,25.38
200806,CT,3.47,26.12,25.51
200806,DE,2.88,13.07,25.2
200806,FL,2.96,11.64,15.29
200806,GA,3.16,13.43,16.22
200806,HI,1.51,4.28,18.69
200806,IA,1.16,11.68,19.97
200806,ID,1.56,11.81,30.68
200806,IL,1.9,10.8,27.05
200806,IN,1.92,13.54,28.52
200806,KS,1.39,10.92,28.2
200806,KY,2.1,13.94,28.49
200806,LA,2.68,12.96,7.76
200806,MA,3.47,14.35,22.58
200806,MD,4.21,13.77,22.25
200806,ME,3.47,14.47,22.25
200806,MI,1.98,13.77,22.81
200806,MN,1.67,11.54,27.28
200806,MO,1.47,11.24,27.53
200806,MS,3.33,12.74,9.51
200806,MT,1.47,12.71,22.37
200806,NC,3.12,12.05,28.58
200806,ND,1.11,14.5,29.3
200806,NE,0.9,10.01,29.28
200806,NH,3.47,13.88,28.24
200806,NJ,3.92,13.92,18.68
200806,NM,2.11,10.98,33.94
200806,NV,2.19,9.29,30.57
200806,NY,2.43,13.46,19.26
200806,OH,2,13.57,26.8
200806,OK,1.35,10.53,26.83
200806,OR,1.45,16.91,0
200806,PA,2.67,13.16,27.35
200806,RI,3.47,13.36,22.25
200806,SC,2.56,13.4,22.67
200806,SD,1.8,7.93,30.22
200806,TN,2.08,13.52,27.45
200806,TX,1.91,11.5,27.43
200806,UT,1.43,9.25,24.37
200806,VA,2.6,14.17,16.97
200806,VT,3.47,11.56,25.44
200806,WA,1.45,10.16,32.89
200806,WI,1.97,12.28,26.51
200806,WV,2.51,13.44,25.95
200806,WY,1.18,9.82,29.95
200807,AK,1.46,4.95,28.47
200807,AL,2.74,13.51,26.62
200807,AR,1.68,11.62,15.8
200807,AZ,1.77,12.31,31.5
200807,CA,1.45,10.55,30.22
200807,CO,1.52,8.94,27.65
200807,CT,3.41,59.32,25.25
200807,DE,2.99,12.63,25.59
200807,FL,3.12,11.59,17.67
200807,GA,2.99,11.75,15.36
200807,HI,1.46,4.95,21.43
200807,IA,1.2,11.32,28.88
200807,ID,1.57,9.57,29.7
200807,IL,1.91,10.57,26.02
200807,IN,1.92,11.34,29.38
200807,KS,1.43,9.73,27.76
200807,KY,2.17,12.61,28.73
200807,LA,2.35,12.65,8.01
200807,MA,3.41,12.76,25.65
200807,MD,4.77,12.49,19.36
200807,ME,3.41,12.83,19.36
200807,MI,1.95,13.4,18.41
200807,MN,1.63,11.85,28.44
200807,MO,1.55,9.93,27.8
200807,MS,3.43,12.06,24.04
200807,MT,1.5,12.71,22.27
200807,NC,3.4,10.68,28.41
200807,ND,1.05,12.36,27.73
200807,NE,0.88,10.5,29.23
200807,NH,3.41,12.9,17.65
200807,NJ,4.43,13.65,23.35
200807,NM,2,11.6,35.08
200807,NV,2.16,11.15,29.27
200807,NY,2.32,13.68,21.57
200807,OH,2.07,12.12,28.24
200807,OK,1.32,11.02,26.21
200807,OR,1.45,9.93,0
200807,PA,2.56,12.68,26.01
200807,RI,3.41,12.5,19.36
200807,SC,3.33,12.44,9.19
200807,SD,1.78,8.2,29.09
200807,TN,2.12,11.05,27.46
200807,TX,1.9,11.62,25.79
200807,UT,1.54,9.35,29.04
200807,VA,2.72,12.29,24.03
200807,VT,3.41,13,25.26
200807,WA,1.45,10.05,30.8
200807,WI,1.93,12.21,26.3
200807,WV,2.46,12.69,29.37
200807,WY,1.09,10.03,29.21
200808,AK,1.5,4.81,26.05
200808,AL,2.98,9.56,23.83
200808,AR,1.73,9.72,16.78
200808,AZ,1.78,8.47,25.61
200808,CA,1.44,7.94,27.15
200808,CO,1.43,6.93,24.3
200808,CT,3.64,0,22.33
200808,DE,3.15,9.92,22.59
200808,FL,3.04,10.25,16.37
200808,GA,3.41,9.15,19.54
200808,HI,1.5,4.81,22.01
200808,IA,1.2,8.91,26.15
200808,ID,1.55,8.38,27.17
200808,IL,1.62,9.94,24
200808,IN,2,10.32,25.29
200808,KS,1.4,8.31,24.55
200808,KY,2.41,10.73,24.6
200808,LA,2.35,9.59,7.98
200808,MA,3.64,9.42,20.08
200808,MD,4.67,10,21.31
200808,ME,3.64,9.51,21.31
200808,MI,1.87,9.39,20.29
200808,MN,1.63,9.58,25.02
200808,MO,1.48,8.46,24.45
200808,MS,3.29,9.39,12.8
200808,MT,1.26,9.46,21.55
200808,NC,3.57,9.41,24.4
200808,ND,1.06,8.4,25.74
200808,NE,0.9,8.88,27.41
200808,NH,3.64,9.63,25.19
200808,NJ,3.54,10.02,22.25
200808,NM,1.99,8.83,29.34
200808,NV,2.24,8,26.85
200808,NY,2.52,10.2,17.97
200808,OH,1.99,9.45,23.14
200808,OK,1.35,8.08,16.19
200808,OR,1.44,8.21,0
200808,PA,2.62,9.95,23.62
200808,RI,3.64,9.03,21.31
200808,SC,3.3,9.13,14.18
200808,SD,1.83,6.59,27.16
200808,TN,2.26,9.37,23.43
200808,TX,1.94,8.49,24.09
200808,UT,1.32,6.92,26.55
200808,VA,2.81,9.37,17.07
200808,VT,3.64,10.76,22.22
200808,WA,1.44,7.73,38.08
200808,WI,2.03,9.89,24.26
200808,WV,2.49,10.11,24.69
200808,WY,1.17,7.81,21.22
200809,AK,1.52,4.69,23.93
200809,AL,3.42,9.18,22.98
200809,AR,1.8,8.66,17.45
200809,AZ,1.79,7.06,25.13
200809,CA,1.44,6.04,24.59
200809,CO,1.54,3.17,24.26
200809,CT,3.11,17.06,20.45
200809,DE,3.08,8.57,20.2
200809,FL,3.03,10.65,14.85
200809,GA,3.15,8.35,18.82
200809,HI,1.52,4.69,19.41
200809,IA,1.21,7.7,23.94
200809,ID,1.54,6.06,26.41
200809,IL,1.75,7.85,23.67
200809,IN,1.99,8.65,23.92
200809,KS,1.42,5.63,23.6
200809,KY,2.51,11.51,24.47
200809,LA,2.44,8.61,9.72
200809,MA,3.11,8.75,17.53
200809,MD,4.11,8.37,15.61
200809,ME,3.11,9.46,15.61
200809,MI,1.98,9.69,21.96
200809,MN,1.66,9.22,24.78
200809,MO,1.53,6.21,23.68
200809,MS,2.94,8.69,8.78
200809,MT,1.24,6.69,25.45
200809,NC,3.55,10.38,23.46
200809,ND,1.11,8.8,25.05
200809,NE,0.93,7.31,25.58
200809,NH,3.11,11.37,21.87
200809,NJ,4.47,8.91,20.62
200809,NM,2.13,6.08,17.01
200809,NV,2.44,5.93,23.67
200809,NY,2.51,8.8,15.07
200809,OH,2.05,8.55,22.67
200809,OK,1.37,6.4,12.97
200809,OR,1.44,6.18,0
200809,PA,2.72,8.57,22.74
