Year,State,Coal,NG,Petro,Hydro,Solar,Wind
2015,AK,66754,102990,3888,26148,0,13307
2015,AL,2957887,1034156,10526,205454,0,0
2015,AR,2174003,412952,10074,93926,463,0
2015,AZ,3013930,542856,6014,326786,29293,45203
2015,CA,74468,200240,2817,27506,19965,53171
2015,CO,1213111,187802,279,19287,4333,155734
2015,CT,300234,255328,7799,10802,2906,0
2015,DE,299294,334463,15413,0,3465,2563
2015,FL,1650154,1097353,51178,61073,8612,0
2015,GA,2652187,742195,5007,49726,3595,0
2015,HI,668706,0,184819,7573,3022,43769
2015,IA,745276,33307,530,160024,0,122415
2015,ID,19748,211310,30,59166,0,35471
2015,IL,1603776,69640,738,6914,4936,173343
2015,IN,1700667,280396,39353,38123,2053,205233
2015,KS,2049444,8631,485,9481,903,229135
2015,KY,2269388,228835,269303,243105,0,0
2015,LA,1895619,570783,303077,499518,0,0
2015,MA,1126332,291769,13876,14261,1684,5649
2015,MD,870350,133980,7260,405797,2284,43459
2015,ME,0,184494,45688,30550,0,53987
2015,MI,1017000,164301,9183,13385,297,109020
2015,MN,1029045,102631,186,15723,697,39115
2015,MO,1633138,53446,969,132918,2112,86089
2015,MS,1066600,777878,1766,0,0,0
2015,MT,1601320,59920,248213,214950,0,81863
2015,NC,1535468,1015127,4526,57829,2601,0
2015,ND,1386720,118507,1322,1047084,0,125109
2015,NE,1209271,6334,84,76590,0,106015
2015,NH,234165,1008615,9753,18679,0,70582
2015,NJ,219887,377290,23433,2385,2511,5384
2015,NM,3406588,203578,7869,9947,7498,69667
2015,NV,442881,805542,7991,188678,43615,154862
2015,NY,198338,316241,22527,81295,2010,90385
2015,OH,2109103,368864,11552,45666,2002,60150
2015,OK,1776216,571438,415,133195,778,194873
2015,OR,1188679,676545,0,240414,1513,97522
2015,PA,1292744,743183,9598,76579,1597,69847
2015,RI,0,411621,28568,787,1195,1677
2015,SC,1414448,413732,6037,40068,2110,0
2015,SD,747539,48297,661,606310,0,113523
2015,TN,2184737,388488,16891,171093,7614,11460
2015,TX,2894149,742910,10065,20791,13358,172436
2015,UT,2638040,178644,3288,13254,1061,104319
2015,VA,662747,665684,14576,23168,0,0
2015,VT,0,0,169,12385,1500,40670
2015,WA,2525957,343313,2708,495979,395,168461
2015,WI,1239351,148875,3246,18005,708,66224
2015,WV,2835670,217271,70107,62956,0,137623
2015,WY,1795466,36115,7483,27133,0,93917
