,Year,States,Coal,NG,Petro
0,2008,AK,16.920739315529858,53.3042097474318,262.21324583802175
1,2008,AL,31.29948683021751,110.77068851227317,251.55046343677904
2,2008,AR,20.015759866936982,119.52212593349331,177.53193119011775
3,2008,AZ,20.132186972319072,98.4973311532449,269.8198167229847
4,2008,CA,16.94984609187538,91.46319353641054,264.37684954637217
5,2008,CO,16.72669413989305,79.55852201109222,274.1373218809037
6,2008,CT,40.623357519566234,324.1815726776372,253.21925194725563
7,2008,DE,33.5018995736953,116.81519573335977,240.29584324984404
8,2008,FL,33.68624249055028,118.5616023140911,144.2531835684048
9,2008,GA,35.33562648346315,118.25113003307219,206.3282352546204
10,2008,HI,16.920739315529858,53.3042097474318,200.17700318693355
11,2008,IA,13.748100693868011,109.45118131794287,259.8361924364708
12,2008,ID,17.71632453564078,98.38090404786284,276.8345498222554
13,2008,IL,20.811345087047904,105.24040100662407,272.32299948869957
14,2008,IN,22.16966131650557,116.44650989964988,261.62140805232946
15,2008,KS,16.464733152783356,90.29892248258969,258.25472425503085
16,2008,KY,25.216170574003502,134.92931287905603,257.2262848241557
17,2008,LA,27.467094611390497,111.56627373238409,122.58803970855492
18,2008,MA,40.623357519566234,126.30400482199985,212.79964186210802
19,2008,MD,43.02951769746269,118.76534974850975,214.7109868421306
20,2008,ME,40.623357519566234,134.02700281234488,214.7109868421306
21,2008,MI,22.615965220470244,118.48398424383637,224.81103823402663
22,2008,MN,19.326899493426307,109.41237228281547,259.84589469525275
23,2008,MO,17.43495903096741,94.7619615222363,254.6454839881862
24,2008,MS,38.042556683596665,108.20929219386727,190.36801955849273
25,2008,MT,15.581827603635865,111.39163307431096,241.57654140904694
26,2008,NC,37.916427319432735,141.75000080268995,254.18947782543964
27,2008,ND,12.59353189882899,108.56827576879537,267.2099091106696
28,2008,NE,10.54635529586064,103.8044667069117,262.35877971974935
29,2008,NH,40.623357519566234,142.64260861061925,242.7020034277405
30,2008,NJ,48.103799040365274,125.40169475528862,206.69692108833033
31,2008,NM,23.18839848859883,92.84091428343189,286.9831125080606
32,2008,NV,25.69158125431369,93.21930237592368,267.491274615343
33,2008,NY,30.358367728378973,123.44183848135687,188.1365000386694
34,2008,OH,22.877926207579936,119.24076042881995,247.87330735846152
35,2008,OK,15.416889204344578,90.43475410553546,224.908060821845
36,2008,OR,16.94984609187538,100.03999029955754,9.469404571076343
37,2008,PA,32.512269177947566,117.44584255417944,229.03152080412724
38,2008,RI,40.623357519566234,111.2849082277107,214.7109868421306
