,Year,States,Cost_Per_Watt
2,1997,AR,6.022
4,1997,CA,5.5920000000000005
5,1997,CO,3.7359999999999998
9,1997,FL,4.06
10,1997,GA,3.1
14,1997,IL,8.35
15,1997,IN,3.49
20,1997,MD,6.56
22,1997,MI,3.35
23,1997,MN,5.715
24,1997,MO,5.64
25,1997,MS,3.4
27,1997,NC,5.85
30,1997,NH,13.33
32,1997,NM,11.115
34,1997,NY,6.54
35,1997,OH,5.92
38,1997,PA,5.25
43,1997,TX,3.285
47,1997,WA,18.75
49,1997,WV,6.75
55,1998,CA,10.250550570142856
78,1998,NC,8.67
85,1998,NY,7.669999999999999
99,1998,WI,8.2
105,1999,AZ,4.672360640511627
106,1999,CA,9.541692301624435
107,1999,CO,15.63
111,1999,FL,9.073333333333334
116,1999,IL,13.995902777999998
136,1999,NY,7.67
144,1999,TN,7.463333333333334
147,1999,VA,12.5
156,2000,AZ,4.89
157,2000,CA,9.189067490837639
161,2000,DE,7.5
162,2000,FL,10.904736842105262
167,2000,IL,15.140333995
174,2000,ME,6.8
179,2000,MT,11.555
186,2000,NV,21.11
187,2000,NY,8.8055
195,2000,TN,8.25
197,2000,UT,5.47
198,2000,VA,15.0
200,2000,WA,8.0
208,2001,CA,9.050634077294442
213,2001,FL,13.06
218,2001,IL,14.566992276666664
222,2001,LA,9.0
223,2001,MA,4.814814815
224,2001,MD,4.46
230,2001,MT,11.89
235,2001,NJ,8.621688176666666
238,2001,NY,8.733618756076924
246,2001,TN,8.4
247,2001,TX,6.253986928000001
251,2001,WA,9.0
256,2002,AL,10.42
258,2002,AZ,8.777999999999999
259,2002,CA,8.996238415586195
263,2002,DE,5.32813127
264,2002,FL,10.525
269,2002,IL,11.421295041799999
274,2002,MA,14.401203705
278,2002,MN,5.086818182
281,2002,MT,7.85
284,2002,NE,10.0
285,2002,NH,4.453989362
286,2002,NJ,8.640369060857145
289,2002,NY,8.523609094672132
293,2002,PA,9.187462016375
297,2002,TN,8.0
299,2002,UT,8.39
302,2002,WA,11.086666666666666
303,2002,WI,9.53039206411111
309,2003,AZ,7.475435594214285
310,2003,CA,8.109493868133821
314,2003,DE,7.901591780875
315,2003,FL,7.686470588235295
320,2003,IL,12.681156151318184
325,2003,MA,9.102608505991803
329,2003,MN,8.294186373399999
337,2003,NJ,8.147126019623762
340,2003,NY,8.061091473331878
341,2003,OH,6.76
342,2003,OK,10.3
343,2003,OR,6.640000000000001
344,2003,PA,8.460688660848486
348,2003,TN,7.5
351,2003,VA,5.17
353,2003,WA,9.0
354,2003,WI,9.003233829880953
360,2004,AZ,7.251922993200001
361,2004,CA,7.5839394479713205
363,2004,CT,11.0393650795
365,2004,DE,7.557255790999999
366,2004,FL,8.80375
371,2004,IL,10.60808412777778
375,2004,LA,8.17
376,2004,MA,8.330165376840164
379,2004,MI,14.06
380,2004,MN,7.353536962076922
388,2004,NJ,8.09674542372093
