,State,Year,Avgwindspeed
0,AK,1996,2.3262499999999995
1,AK,1997,5.604615384615386
2,AK,1998,2.9058208955223894
3,AK,1999,3.3897732997481076
4,AK,2000,3.018342105263158
5,AK,2001,2.844637964774949
6,AK,2002,2.877344753747325
7,AK,2003,2.2960132890365443
8,AK,2004,2.904050104384133
9,AK,2005,3.067794970986461
10,AK,2006,2.9020178041543017
11,AK,2007,2.877882653061224
12,AK,2008,2.9922844827586235
13,AK,2009,2.5675287356321825
14,AK,2010,2.602773851590104
15,AK,2011,2.9365377855887513
16,AK,2012,2.657715827338127
17,AK,2013,2.991111111111112
18,AK,2014,3.050310786106031
19,AK,2015,3.2585582255083176
20,AK,2016,2.9438589981447114
21,AL,1996,4.178260869565217
22,AL,1997,4.018493150684931
23,AL,1998,3.10598039215686
24,AL,1999,3.2965573770491807
25,AL,2000,2.3541000000000003
26,AL,2001,4.057284768211917
27,AL,2002,3.815281690140844
28,AL,2003,5.06
29,AL,2004,4.298531468531469
30,AL,2005,3.8639869281045747
31,AL,2006,3.718823529411764
32,AL,2007,3.2451298701298708
33,AL,2008,3.8331937172774904
34,AL,2009,5.061383928571431
35,AL,2010,3.617374100719425
36,AL,2011,3.745034482758623
37,AL,2012,4.025098684210528
38,AL,2013,4.882240259740264
39,AL,2014,4.385695792880262
40,AL,2015,4.754749999999998
41,AL,2016,3.4121299638989186
42,AR,1996,5.179090909090909
43,AR,1997,3.1520689655172416
44,AR,1998,3.7126086956521727
45,AR,1999,2.8063559322033886
46,AR,2000,3.180275229357799
47,AR,2001,3.4710055865921783
48,AR,2002,3.2398765432098773
49,AR,2003,3.7819491525423734
50,AR,2004,3.812771739130435
51,AR,2005,2.3230769230769246
52,AR,2006,3.4437956204379554
53,AR,2007,2.972645161290323
54,AR,2008,3.7964705882352936
55,AR,2009,4.648910891089112
56,AR,2010,2.728627450980392
57,AR,2011,3.745485436893205
58,AR,2012,2.6990688259109312
59,AR,2013,3.708634538152609
60,AR,2014,3.2071102661596957
61,AR,2015,4.675137254901963
62,AR,2016,3.5144855967078152
63,AZ,1996,0.8863157894736841
64,AZ,1997,0.6351190476190477
65,AZ,1998,0.8318627450980393
66,AZ,1999,0.5368181818181817
67,AZ,2000,0.7376666666666669
68,AZ,2001,0.6794117647058822
69,AZ,2002,0.511890243902439
70,AZ,2003,0.6011538461538459
71,AZ,2004,0.8793939393939395
72,AZ,2005,0.9213142857142859
73,AZ,2006,0.6718243243243245
74,AZ,2007,0.7925161290322578
75,AZ,2008,0.718994708994709
76,AZ,2009,0.5009545454545453
77,AZ,2010,0.9119067796610166
78,AZ,2011,0.7448497854077254
79,AZ,2012,0.6131932773109248
80,AZ,2013,0.9037500000000004
81,AZ,2014,0.8899576271186439
82,AZ,2015,1.0105106382978726
83,AZ,2016,0.8833936651583713
84,CA,1996,1.9486956521739132
85,CA,1997,1.049120879120879
86,CA,1998,1.4444370860927134
87,CA,1999,0.7750946643717712
88,CA,2000,1.2084745762711848
89,CA,2001,1.2164108618654057
90,CA,2002,0.5089189189189176
91,CA,2003,1.640101214574898
92,CA,2004,1.2254204398447608
93,CA,2005,1.644865196078431
94,CA,2006,1.2344781144781145
95,CA,2007,0.7485040431266853
96,CA,2008,0.8836643835616415
97,CA,2009,0.8731941544885167
98,CA,2010,1.7052012383900925
99,CA,2011,1.0617373319544974
100,CA,2012,1.2141893252769373
101,CA,2013,0.412637913741223
102,CA,2014,1.0967439516129025
103,CA,2015,0.7245325203252017
104,CA,2016,1.2703605514316005
105,CO,1996,0.8167741935483872
106,CO,1997,0.9363380281690139
107,CO,1998,0.7891959798994979
108,CO,1999,0.9754504504504509
109,CO,2000,0.8766285714285718
110,CO,2001,0.9532377049180326
111,CO,2002,0.6936086956521746
112,CO,2003,0.9952380952380954
113,CO,2004,1.062857142857143
114,CO,2005,0.9759036144578314
115,CO,2006,1.1444864864864868
116,CO,2007,0.9380198019801986
117,CO,2008,0.8955230125523007
118,CO,2009,1.117121771217712
119,CO,2010,1.1282165605095542
120,CO,2011,1.0007812499999993
121,CO,2012,0.7262111801242237
122,CO,2013,1.1242499999999997
123,CO,2014,1.1355763239875387
124,CO,2015,1.4055379746835426
125,CO,2016,1.0631309904153345
126,CT,1996,3.7329411764705878
127,CT,1997,2.6843902439024396
128,CT,1998,3.1008928571428584
129,CT,1999,2.6284374999999995
130,CT,2000,3.0132258064516133
