State,TotalMonthlyPrecip,TempSummer,TempWinter,Avgwindspeed
IN,3.0641984730000003,71.95833333,30.29166667,8.379699248
MO,2.298333333,79.45087719,38.56588694,7.733809524
KS,1.936649485,78.87727273,22.79545455,10.43723404
MD,3.093148148,78.06,39.86,7.535714286
WY,1.023508772,65.28974315,25.22982456,8.552195122
NV,0.420584416,76.94777778,32.797435899999996,7.224031008
IA,3.0895,70.91708333,25.01097222,9.822772277
MA,3.528454545,68.26326109,28.81315789,7.889861751000001
ID,1.1086111109999999,68.67846154,28.30888889,6.510179641000001
MD,1.828181818,75.85,41.67777778,6.4066666670000005
IL,3.460745614,72.39442724,26.86697626,8.819069767
KS,1.653278689,80.42727273,41.68787879,10.02957198
VA,3.328284024,78.50238095,42.00695971,6.238993711
WI,1.924529915,71.73109162,26.05614035,7.303896104
MS,4.695426829,81.68653846,47.99145299,6.055333332999999
OH,2.520167364,71.01746032,36.61754386,7.607264957000001
GA,3.018028169,79.09705882,51.99411765,5.566336634
MT,0.9691978609999999,68.16470588,23.77647059,8.9935
DE,3.550454545,76.05,36.0,7.245833332999999
ME,3.0389781019999997,65.9530303,26.67916667,6.484033612999999
ME,4.166126126,64.00833333,18.41166667,6.505263157999999
MO,2.83774359,75.77777778,35.67647059,8.121634615
VA,3.1832960889999997,79.81920635,39.45805861,6.3689873420000005
NH,2.9612121210000004,68.09555556,29.24212963,5.407407407000001
DE,3.625416667,75.26666667,32.41666667,7.708333333
SD,1.502164948,71.8317402,26.04632353,10.88100559
WI,2.788231707,72.0,13.82222222,7.742051282
CO,0.953237705,70.175,26.63190476,8.090794979
OH,2.7386084139999998,68.45835897,25.51639242,8.05704918
PA,3.346037037,73.38,29.8,6.640074906000001
LA,4.7853333330000005,81.20873016,51.46269841,6.250684932
IN,3.57780303,74.03796296,30.55555556,7.903546099
IL,2.33057554,72.14,16.86470588,8.932352941
FL,2.888123249,80.06214995,61.38361111,7.34625
IL,2.941052632,75.9245614,23.8119711,8.005392157000001
NC,4.038908451,76.90176219,45.17222222,6.255598456
AZ,0.737666667,80.83846154,42.97857143,6.872881356000001
TN,3.9601923080000003,75.09666667,41.08333333,5.690697674
NJ,3.933614458,76.14333333,38.02666667,6.26
GA,3.026048387,81.22857143,46.08636788,5.056435644
AZ,0.90375,81.13849903,42.34105263,6.465326632999999
NJ,3.894193548,75.8,27.72,5.847222222
HI,2.085508475,79.24259259,73.21964286,8.079439252
SC,3.220151515,80.13333333,44.4,6.064788732
VT,2.874935065,67.5,15.66111111,5.4757142860000005
NM,1.0399342109999998,73.77857143,35.66428571,9.296875
ND,1.650512821,65.92333333,14.92333333,10.82952381
SC,4.068809524,69.59166667,42.88333333,6.012676056
SC,2.583471074,86.3,46.16153846,5.956028368999999
IL,3.097296137,72.05108359,30.02719298,8.509767442000001
WI,2.441627907,68.97777778,22.153703699999998,7.961792452999999
MI,2.6332996630000003,69.24074074,20.47407407,8.018965517
OK,1.759542484,83.91538462,41.76800144,9.965771812
NH,2.4210294119999998,65.91666667,27.48555556,5.152307692
KS,1.600133779,80.50138889,39.83055556,9.592366412
MI,2.187945736,67.82857143,17.14444444,8.071525423999999
PA,3.272093023,68.21066667,28.70470085,6.366894198
MO,2.766398104,78.01960784,35.87407407,7.907317073
IN,4.033263889,75.22929293,30.23611111,7.762937063
NH,3.17,67.92857143,23.41428571,5.242682927
TN,3.7129885060000003,75.83333333,43.6962963,5.908490566
NE,1.424736842,75.70769231,19.24117647,10.45877863
AR,3.44379562,82.16470588,41.47058824,6.374257426000001
NH,2.5431818180000003,65.85,29.225,4.375
WV,3.169847328,73.56727273,32.64666667,5.204310345
VT,1.9597826090000001,65.19166667,21.85,5.7
CT,3.852222222,72.32083333,34.70416667,6.931914894
TN,3.505846154,77.43666667,44.69575758,5.158474576000001
SC,3.330783133,82.77523148,47.49645503,6.028476821
AZ,1.010510638,79.18203704,45.76867102,6.634134615
LA,2.7901739130000003,83.05236842,51.56666667,6.30255102
KS,1.932727273,77.38888889,32.43888889,9.199009901
NM,0.7086227540000001,74.39285714,34.65714286,9.262893082
LA,4.820181818,82.8367756,53.78888889,6.034951456
NE,1.7677777780000001,72.1,22.96363636,9.788333332999999
IL,2.7858823530000003,72.21176471,29.72941176,8.995477387000001
MA,2.9928372089999997,70.23888889,34.52690058,6.982488479
LA,3.8990625,77.8,50.8,6.465
RI,4.066585366,68.45555556,30.42,7.722222222
PA,3.789880952,71.00434783,29.39130435,6.916791045
GA,3.247848101,82.28898226,49.46111111,5.555276382000001
NM,0.5211224489999999,70.3,36.68571429,9.783544304
NC,3.693259259,76.7243083,42.65592885,6.6079166670000005
MT,0.905793651,67.48571429,26.83793651,8.980930232999999
CA,1.9486956519999998,79.1125,48.65,6.771428571
WY,0.583769231,66.75111111,27.83678322,8.858394161
PA,2.4079120880000002,68.19855072,31.62318841,6.862256809
WA,2.6840121580000003,67.39052028,39.48237037,6.8026143789999995
AL,3.745034483,79.05754831,47.61284585,5.253475936
FL,4.3393028319999996,83.428496,63.7375,7.544468547
CT,4.360568182,74.8375,31.275,6.681818182000001
HI,3.057142857,80.5827381,73.81142857,9.61875
SC,3.066797753,82.32476190000001,45.2808547,5.247741935
GA,2.521680672,80.76923077,38.8,5.571794872000001
NC,3.530948276,78.29333333,46.54563492,6.501639344
OK,2.410666667,77.78,42.38,9.816384181
TX,2.196360153,81.79509123,55.94666667,9.305292479
NM,0.902340426,74.78333333,39.35,9.517261905
OR,2.6742517009999998,67.11388889,37.25416667,5.9773722629999995
SD,1.254502618,71.3375,21.38541667,10.38609626
VA,3.48150838,75.99333333,39.24444444,6.811377246
DE,2.66,71.68333333,38.46666667,7.213636364
MT,0.740695652,70.58333333,15.2875,8.432727273
