,Year,State,WindCost
0,2000,AK,36.82
1,2000,AL,36.82
2,2000,AR,36.82
3,2000,AZ,34.39
4,2000,CA,34.39
5,2000,CO,33.35
6,2000,CT,48.69
7,2000,DE,36.82
8,2000,FL,36.82
9,2000,GA,36.82
10,2000,HI,36.82
11,2000,IA,33.35
12,2000,ID,34.39
13,2000,IL,93.64
14,2000,IN,93.64
15,2000,KS,33.35
16,2000,KY,36.82
17,2000,LA,36.82
18,2000,MA,48.69
19,2000,MD,36.82
20,2000,ME,48.69
21,2000,MI,93.64
22,2000,MN,33.35
23,2000,MO,33.35
24,2000,MS,36.82
25,2000,MT,33.35
26,2000,NC,36.82
27,2000,ND,33.35
28,2000,NE,33.35
29,2000,NH,48.69
30,2000,NJ,48.69
31,2000,NM,33.35
32,2000,NV,34.39
33,2000,NY,48.69
34,2000,OH,93.64
35,2000,OK,33.35
36,2000,OR,34.39
37,2000,PA,48.69
38,2000,RI,48.69
39,2000,SC,36.82
40,2000,SD,33.35
41,2000,TN,36.82
42,2000,TX,33.35
43,2000,UT,34.39
44,2000,VA,36.82
45,2000,VT,48.69
46,2000,WA,34.39
47,2000,WI,93.64
48,2000,WV,36.82
49,2000,WY,33.35
50,2001,AK,36.82
51,2001,AL,36.82
52,2001,AR,36.82
53,2001,AZ,34.39
54,2001,CA,34.39
55,2001,CO,33.35
56,2001,CT,48.69
57,2001,DE,36.82
58,2001,FL,36.82
59,2001,GA,36.82
60,2001,HI,36.82
61,2001,IA,33.35
62,2001,ID,34.39
63,2001,IL,93.64
64,2001,IN,93.64
65,2001,KS,33.35
66,2001,KY,36.82
67,2001,LA,36.82
68,2001,MA,48.69
69,2001,MD,36.82
70,2001,ME,48.69
71,2001,MI,93.64
72,2001,MN,33.35
73,2001,MO,33.35
74,2001,MS,36.82
75,2001,MT,33.35
76,2001,NC,36.82
77,2001,ND,33.35
78,2001,NE,33.35
79,2001,NH,48.69
80,2001,NJ,48.69
81,2001,NM,33.35
82,2001,NV,34.39
83,2001,NY,48.69
84,2001,OH,93.64
85,2001,OK,33.35
86,2001,OR,34.39
87,2001,PA,48.69
88,2001,RI,48.69
89,2001,SC,36.82
90,2001,SD,33.35
91,2001,TN,36.82
92,2001,TX,33.35
93,2001,UT,34.39
94,2001,VA,36.82
95,2001,VT,48.69
96,2001,WA,34.39
97,2001,WI,93.64
98,2001,WV,36.82
99,2001,WY,33.35
100,2002,AK,34.32
101,2002,AL,34.32
102,2002,AR,34.32
103,2002,AZ,42.89
104,2002,CA,42.89
105,2002,CO,30.19
106,2002,CT,47.82
107,2002,DE,34.32
108,2002,FL,34.32
109,2002,GA,34.32
110,2002,HI,34.32
111,2002,IA,30.19
112,2002,ID,42.89
113,2002,IL,79.29
114,2002,IN,79.29
115,2002,KS,30.19
116,2002,KY,34.32
117,2002,LA,34.32
118,2002,MA,47.82
119,2002,MD,34.32
120,2002,ME,47.82
121,2002,MI,79.29
122,2002,MN,30.19
123,2002,MO,30.19
124,2002,MS,34.32
125,2002,MT,30.19
126,2002,NC,34.32
127,2002,ND,30.19
128,2002,NE,30.19
129,2002,NH,47.82
130,2002,NJ,47.82
131,2002,NM,30.19
132,2002,NV,42.89
133,2002,NY,47.82
134,2002,OH,79.29
135,2002,OK,30.19
136,2002,OR,42.89
137,2002,PA,47.82
138,2002,RI,47.82
139,2002,SC,34.32
