,year,Area,cost_per_watt
0,1996,Nationwide,43.32
1,1996,Great Lakes,
2,1996,Interior,41.4
3,1996,West,
4,1996,Northeast(2015 $/MWh),
5,1997,Nationwide,43.32
6,1997,Great Lakes,
7,1997,Interior,41.4
8,1997,West,
9,1997,Northeast(2015 $/MWh),
10,1998,Nationwide,43.32
11,1998,Great Lakes,
12,1998,Interior,41.4
13,1998,West,
14,1998,Northeast(2015 $/MWh),
15,1999,Nationwide,43.32
16,1999,Great Lakes,
17,1999,Interior,41.4
18,1999,West,62
19,1999,Northeast(2015 $/MWh),
20,2000,Nationwide,36.82
21,2000,Great Lakes,93.64
22,2000,Interior,33.35
23,2000,West,34.39
24,2000,Northeast(2015 $/MWh),48.69
25,2001,Nationwide,36.82
26,2001,Great Lakes,93.64
27,2001,Interior,33.35
28,2001,West,34.39
29,2001,Northeast(2015 $/MWh),48.69
30,2002,Nationwide,34.32
31,2002,Great Lakes,79.29
32,2002,Interior,30.19
33,2002,West,42.89
34,2002,Northeast(2015 $/MWh),47.82
35,2003,Nationwide,34.32
36,2003,Great Lakes,79.29
37,2003,Interior,30.19
38,2003,West,42.89
39,2003,Northeast(2015 $/MWh),47.82
40,2004,Nationwide,38.21
41,2004,Great Lakes,64.93
42,2004,Interior,35.08
43,2004,West,52.14
44,2004,Northeast(2015 $/MWh),55.92
45,2005,Nationwide,38.21
46,2005,Great Lakes,64.93
47,2005,Interior,35.08
48,2005,West,52.14
49,2005,Northeast(2015 $/MWh),55.92
50,2006,Nationwide,50.81
51,2006,Great Lakes,54.17
52,2006,Interior,44.85
53,2006,West,63.48
54,2006,Northeast(2015 $/MWh),64.02
55,2007,Nationwide,52.64
56,2007,Great Lakes,62.73
57,2007,Interior,44.06
58,2007,West,71.53
59,2007,Northeast(2015 $/MWh),78.05
60,2008,Nationwide,65.17
61,2008,Great Lakes,64.72
62,2008,Interior,53.54
63,2008,West,89.36
64,2008,Northeast(2015 $/MWh),92.07
65,2009,Nationwide,69.06
66,2009,Great Lakes,76.93
67,2009,Interior,54.17
68,2009,West,96.35
69,2009,Northeast(2015 $/MWh),69.12
70,2010,Nationwide,60.29
71,2010,Great Lakes,77.85
72,2010,Interior,45.56
73,2010,West,97.06
74,2010,Northeast(2015 $/MWh),81.16
75,2011,Nationwide,43.76
76,2011,Great Lakes,56.87
77,2011,Interior,36.23
78,2011,West,77.55
79,2011,Northeast(2015 $/MWh),59.16
80,2012,Nationwide,38.79
81,2012,Great Lakes,43.52
82,2012,Interior,31.34
83,2012,West,67.04
84,2012,Northeast(2015 $/MWh),54.44
85,2013,Nationwide,27.03
86,2013,Great Lakes,44.28
87,2013,Interior,22.31
88,2013,West,59.65
89,2013,Northeast(2015 $/MWh),62.17
90,2014,Nationwide,23.67
91,2014,Great Lakes,34.19
92,2014,Interior,21.93
93,2014,West,60.9
94,2014,Northeast(2015 $/MWh),
95,2015,Nationwide,37.66
96,2015,Great Lakes,38.3
97,2015,Interior,37.35
98,2015,West,
99,2015,Northeast(2015 $/MWh),
100,2016,Nationwide,18.89
101,2016,Great Lakes,
102,2016,Interior,17.54
103,2016,West,
104,2016,Northeast(2015 $/MWh),
