,Alabama Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,0.6,0.6,0.7,0.8,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.5,1.0,1.0,0.8,0.7,0.5,0.6,0.4,0.4,0.4,0.5,0.5,0.6,0.4,0.3,0.3,0.3
6,,Natural Gas,2.9,2.8,2.6,2.7,2.8,2.4,2.5,2.7,2.7,2.6,2.5,2.5,2.7,2.8,2.7,2.7,3.1,2.7,2.6,2.3,2.6,2.7,2.5,2.5,2.4,2.3,2.1,1.9,2.1,2.0,2.3,2.0,1.5,1.9,2.1
7,,Total,3.6,3.4,3.4,3.5,3.3,2.9,3.0,3.4,3.4,3.3,3.1,3.0,3.2,3.4,3.3,3.3,3.7,3.4,3.1,3.3,3.7,3.5,3.2,3.1,3.0,2.7,2.5,2.4,2.5,2.5,2.9,2.3,1.8,2.2,2.4
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.4,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.1,0.2,0.0,0.2,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,Petroleum Products,0.6,0.8,0.6,0.8,0.6,0.9,0.9,0.8,1.0,0.9,0.9,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.6,0.7,0.7,0.5,0.8,0.7,0.6,0.6,0.7,0.7,0.6,0.5,0.4
12,,Natural Gas,1.6,1.5,1.4,1.5,1.5,1.4,1.4,1.2,1.4,1.4,1.3,1.3,1.4,1.4,1.4,1.4,1.6,1.8,1.4,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.3,1.3,1.4,1.3,1.5,1.4,1.2,1.4,1.5
13,,Total,2.6,2.4,2.3,2.5,2.3,2.5,2.5,2.3,2.6,2.5,2.4,2.0,2.1,2.0,2.1,2.0,2.2,2.4,1.9,2.2,2.2,2.2,2.0,2.1,2.2,1.8,2.2,2.0,2.0,1.9,2.1,2.0,1.8,1.8,1.9
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,17.1,14.7,12.3,10.9,14.1,13.0,12.6,13.9,15.1,13.6,13.5,13.7,15.5,13.2,13.6,13.5,14.0,13.7,11.8,11.4,10.9,9.5,8.6,9.1,9.3,8.5,8.0,7.6,7.6,5.6,6.4,6.0,6.8,7.1,8.1
17,,Petroleum Products,5.3,5.0,5.5,3.8,3.6,2.9,3.1,3.5,3.5,3.3,3.5,3.1,3.3,3.5,4.0,3.7,4.1,3.6,3.1,3.3,3.3,3.9,4.3,5.1,5.0,5.1,4.9,4.7,4.8,3.7,3.7,4.0,4.3,3.2,2.9
18,,Natural Gas,9.3,9.6,8.4,7.3,7.7,7.6,6.7,6.7,8.0,8.5,8.5,8.9,9.9,10.6,10.6,11.9,11.8,11.6,11.5,12.1,11.9,9.2,9.5,9.5,9.7,9.1,9.2,9.2,8.7,8.1,8.7,9.2,10.3,10.7,11.1
19,,Total,31.8,29.3,26.2,22.0,25.5,23.5,22.4,24.1,26.6,25.4,25.5,25.7,28.7,27.3,28.3,29.1,29.9,29.0,26.4,26.8,26.1,22.6,22.4,23.7,24.0,22.7,22.1,21.5,21.1,17.3,18.8,19.2,21.3,21.0,22.2
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,23.9,23.2,22.7,22.2,23.1,22.9,23.9,25.3,25.7,27.5,27.2,27.7,28.3,28.5,29.8,31.0,30.4,29.9,30.5,30.8,32.2,30.3,32.2,31.3,34.0,33.9,34.5,34.8,32.1,30.9,31.0,31.0,30.4,30.4,30.6
24,,Natural Gas,0.9,1.0,0.9,0.7,0.7,0.6,0.5,0.6,0.7,0.7,0.8,0.9,1.0,0.9,0.8,1.1,1.1,1.1,1.1,1.2,1.3,1.1,1.2,1.0,0.9,0.8,0.8,0.9,0.9,1.0,1.2,1.3,1.4,1.2,1.0
25,,Total,24.8,24.2,23.5,22.9,23.8,23.5,24.5,26.0,26.3,28.3,28.0,28.6,29.3,29.4,30.6,32.1,31.4,31.1,31.6,32.0,33.4,31.4,33.4,32.3,34.8,34.7,35.3,35.6,33.0,31.9,32.2,32.3,31.8,31.6,31.7
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,43.9,43.9,35.2,38.7,40.2,48.8,49.1,47.7,45.8,50.3,50.5,54.5,57.3,63.2,59.2,64.6,69.8,67.9,68.9,70.3,74.2,69.9,71.1,73.3,71.2,75.5,75.6,76.2,72.0,54.0,61.4,55.3,44.8,46.1,46.1
29,,Petroleum Products,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1
30,,Natural Gas,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.4,0.6,1.5,1.4,2.3,3.8,6.1,4.7,6.4,5.7,7.9,9.6,9.0,12.3,15.2,18.5,21.6,18.0,18.8
31,,Total,44.1,44.1,35.3,38.8,40.3,48.9,49.1,47.8,46.0,50.6,50.9,54.8,57.6,63.6,59.6,65.1,70.3,68.6,70.6,71.8,76.7,73.9,77.4,78.2,77.6,81.3,83.6,85.9,81.0,66.4,76.7,74.0,66.5,64.2,65.1
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,106.9,103.3,90.7,89.7,95.2,101.5,101.5,103.6,105.0,110.0,109.9,114.2,120.9,125.8,123.8,131.5,137.5,134.4,133.7,136.1,142.2,133.6,138.4,139.3,141.6,143.3,145.7,147.4,139.6,120.0,132.7,129.9,123.2,120.9,123.2
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,61.6,58.8,47.8,49.9,54.7,62.1,61.9,61.9,61.2,64.0,64.2,68.2,72.9,76.5,72.8,78.0,83.9,81.7,80.8,81.7,85.3,79.4,79.8,82.3,80.5,84.0,83.7,83.8,79.5,59.5,67.8,61.4,51.6,53.3,54.3
37,Petroleum Products,,30.5,29.6,29.5,27.7,27.8,27.2,28.4,30.3,30.8,32.5,32.3,32.1,32.7,33.2,35.1,35.9,35.7,34.8,34.8,35.8,37.4,35.9,38.0,37.8,40.3,40.0,40.7,40.7,38.0,35.8,36.1,36.2,35.7,34.4,34.4
38,Natural Gas,,14.8,14.9,13.4,12.2,12.7,12.1,11.2,11.4,12.9,13.5,13.4,13.9,15.3,16.0,15.9,17.6,17.9,17.9,18.1,18.5,19.6,18.3,20.7,19.1,20.8,19.3,21.3,22.8,22.0,24.7,28.9,32.3,35.9,33.2,34.6
39,Total,,106.9,103.3,90.7,89.7,95.2,101.5,101.5,103.6,105.0,110.0,109.9,114.2,120.9,125.8,123.8,131.5,137.5,134.4,133.7,136.1,142.2,133.6,138.4,139.3,141.6,143.3,145.7,147.4,139.6,120.0,132.7,129.9,123.2,120.9,123.2
