,Arkansas Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,0.6,0.4,0.4,0.8,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.7,0.6,0.7,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.2,0.3,0.3
6,,Natural Gas,2.5,2.3,2.4,2.3,2.5,2.2,2.1,2.2,2.3,2.3,2.1,2.2,2.1,2.4,2.3,2.4,2.5,2.3,2.1,2.0,2.3,2.0,2.1,2.1,1.9,1.8,1.7,1.8,1.9,1.8,1.9,1.8,1.4,1.9,2.1
7,,Total,3.0,2.7,2.8,3.1,2.9,2.7,2.6,2.6,2.7,2.7,2.5,2.6,2.5,2.8,2.6,2.7,2.9,2.7,2.4,2.7,2.9,2.7,2.6,2.5,2.3,2.2,2.1,2.1,2.3,2.2,2.3,2.1,1.6,2.2,2.4
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,Petroleum Products,0.5,0.3,0.3,1.6,0.8,0.5,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.2,0.1,0.2,0.5,0.4,0.4,0.3,0.2,0.4
12,,Natural Gas,1.6,1.5,1.6,1.5,1.6,1.4,1.3,1.3,1.5,1.5,1.3,1.4,1.4,1.6,1.5,1.6,1.7,1.6,1.5,1.5,1.8,1.7,1.8,1.7,1.6,1.7,1.7,1.7,2.0,2.0,2.2,2.2,2.2,2.6,2.7
13,,Total,2.1,1.8,1.9,3.1,2.3,2.0,1.6,1.6,1.7,1.7,1.6,1.6,1.6,1.8,1.7,1.8,1.9,1.8,1.8,1.8,2.1,2.1,2.1,2.2,2.0,2.1,1.9,1.9,2.2,2.5,2.6,2.5,2.5,2.8,3.1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,0.6,0.7,0.7,0.9,0.8,0.8,0.7,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.7,0.8,0.7,0.7,0.7,0.9,1.0,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.5,0.5,0.5,0.5
17,,Petroleum Products,3.6,4.1,3.9,3.5,3.1,3.2,3.1,2.4,2.6,2.3,2.2,1.9,2.5,2.5,2.5,2.9,2.8,3.0,2.9,3.0,3.4,3.8,3.3,3.8,4.1,4.4,4.5,4.4,5.0,3.1,3.7,3.6,3.4,3.7,3.5
18,,Natural Gas,6.6,6.8,5.8,5.2,5.4,5.9,5.4,3.6,6.2,7.5,6.8,5.7,6.7,6.7,7.4,8.1,7.9,8.2,8.1,7.5,7.2,6.7,6.5,6.1,5.5,4.8,4.9,4.7,4.7,4.4,4.8,5.0,4.8,5.1,5.2
19,,Total,10.8,11.6,10.5,9.5,9.3,9.8,9.2,6.7,9.3,10.4,9.6,8.3,9.8,9.9,10.7,11.7,11.5,11.8,11.7,11.3,11.5,11.4,10.8,10.9,10.5,10.2,10.2,10.0,10.6,8.2,9.1,9.0,8.7,9.2,9.2
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,13.7,14.2,14.2,13.3,13.9,13.9,14.3,15.0,15.6,16.0,15.6,15.7,15.7,16.3,17.3,17.7,18.0,18.7,18.9,20.2,20.3,19.2,19.8,19.8,20.0,20.0,19.9,20.3,19.5,19.4,19.1,18.8,18.2,18.1,18.3
24,,Natural Gas,0.6,0.5,0.5,0.4,0.6,0.4,0.3,0.3,0.4,0.5,0.5,0.4,0.4,0.5,0.6,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6
25,,Total,14.3,14.7,14.7,13.7,14.5,14.3,14.7,15.3,16.0,16.5,16.0,16.2,16.1,16.8,18.0,18.4,18.7,19.3,19.5,20.7,20.8,19.7,20.3,20.2,20.5,20.5,20.5,20.8,20.1,19.9,19.6,19.4,18.8,18.7,18.9
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,2.8,8.8,11.1,15.8,14.6,19.9,20.4,19.2,20.1,18.6,19.5,19.7,20.1,18.2,20.1,21.7,23.8,22.6,23.4,24.5,24.4,24.8,23.1,23.0,24.6,22.5,23.4,25.0,25.4,24.2,27.0,28.4,27.5,30.4,31.5
29,,Petroleum Products,1.6,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.2,0.7,0.1,0.2,0.4,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
30,,Natural Gas,3.2,3.0,1.8,1.8,1.4,0.6,1.6,1.8,1.2,1.6,1.7,1.5,1.5,1.2,1.4,1.8,1.8,1.3,2.2,2.2,1.9,1.4,2.3,3.1,2.2,2.7,3.9,3.5,3.5,4.5,5.2,5.8,7.0,5.1,3.9
31,,Total,7.6,12.2,13.0,17.7,16.0,20.6,22.0,21.0,21.4,20.3,21.3,21.3,21.6,19.4,21.6,23.5,25.7,24.1,25.7,26.8,26.4,27.0,25.5,26.3,27.1,25.3,27.4,28.6,29.0,28.8,32.3,34.2,34.6,35.5,35.5
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,38.0,43.0,42.8,47.1,45.1,49.3,50.1,47.1,51.1,51.6,51.0,49.9,51.6,50.8,54.7,58.0,60.6,59.6,61.0,63.2,63.7,62.9,61.4,62.1,62.4,60.2,62.1,63.4,64.2,61.6,65.9,67.3,66.1,68.4,69.0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,3.4,9.6,11.8,16.7,15.4,20.7,21.1,19.8,20.6,19.1,20.0,20.3,20.8,18.9,21.0,22.4,24.5,23.3,24.1,25.2,25.3,25.9,24.1,23.9,25.5,23.3,24.3,26.0,26.3,24.9,27.7,28.9,28.0,30.9,32.0
37,Petroleum Products,,20.0,19.4,18.9,19.2,18.3,18.1,18.2,18.1,18.9,19.1,18.6,18.3,18.7,19.5,20.6,21.2,21.5,22.3,22.5,24.3,24.8,24.7,24.1,24.6,25.4,25.3,25.0,25.2,25.2,23.5,23.6,23.1,22.1,22.4,22.4
38,Natural Gas,,14.5,14.1,12.1,11.2,11.4,10.6,10.8,9.1,11.6,13.3,12.4,11.3,12.0,12.3,13.1,14.4,14.6,14.0,14.5,13.7,13.6,12.3,13.2,13.5,11.6,11.5,12.8,12.2,12.7,13.2,14.6,15.3,15.9,15.2,14.6
39,Total,,38.0,43.0,42.8,47.1,45.1,49.3,50.1,47.1,51.1,51.6,51.0,49.9,51.6,50.8,54.7,58.0,60.6,59.6,61.0,63.2,63.7,62.9,61.4,62.1,62.4,60.2,62.1,63.4,64.2,61.6,65.9,67.3,66.1,68.4,69.0
