,California Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,1.1,1.0,1.0,1.2,1.0,1.2,1.0,1.2,1.3,1.5,1.3,1.6,1.1,1.2,1.2,1.1,1.0,0.9,1.4,1.3,1.3,1.0,1.0,1.4,1.7,2.0,1.7,1.7,2.1,2.1,2.1,1.9,1.5,1.5,1.2
6,,Natural Gas,29.3,27.1,29.8,27.5,26.0,29.1,25.5,27.4,27.1,28.4,28.2,27.7,26.1,27.6,28.2,25.6,26.0,25.8,30.8,30.6,26.2,27.6,27.6,26.9,27.7,26.3,26.7,26.9,26.7,26.2,26.8,27.7,25.9,26.3,21.6
7,,Total,30.4,28.0,30.8,28.7,27.0,30.3,26.6,28.6,28.5,29.8,29.5,29.3,27.2,28.8,29.4,26.8,27.0,26.8,32.3,32.0,27.6,28.7,28.7,28.4,29.4,28.2,28.4,28.6,28.8,28.3,28.9,29.7,27.4,27.8,22.8
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,Petroleum Products,5.9,8.4,5.6,4.3,5.1,2.7,3.9,4.3,4.0,3.5,3.3,3.4,1.9,1.5,1.4,1.8,1.5,1.4,1.7,1.7,1.8,1.6,1.3,1.4,1.6,1.5,1.2,1.4,1.9,2.1,2.6,2.4,2.2,2.1,2.1
12,,Natural Gas,14.3,13.1,13.1,11.9,10.6,11.3,10.1,11.6,13.6,14.3,15.6,15.7,15.5,13.8,14.2,15.0,12.9,13.7,15.8,13.2,12.5,13.2,12.9,12.6,12.5,12.7,13.3,13.7,13.7,13.5,13.4,13.3,13.7,13.9,12.9
13,,Total,20.2,21.5,18.7,16.2,15.7,14.0,14.0,15.9,17.6,17.8,19.0,19.1,17.4,15.5,15.9,17.0,14.7,15.3,17.8,14.9,14.4,14.8,14.2,14.0,14.1,14.2,14.4,15.1,15.6,15.6,16.1,15.7,15.9,16.0,15.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,6.1,7.2,6.4,3.0,3.4,4.1,4.0,4.2,4.7,5.4,6.1,6.0,6.1,5.1,5.1,5.5,5.3,5.9,4.1,4.4,4.5,4.4,4.4,4.5,4.3,4.4,4.3,4.1,3.7,2.9,3.1,3.3,2.9,3.0,3.1
17,,Petroleum Products,32.9,25.9,25.8,32.9,45.7,42.8,38.8,39.1,38.8,35.3,33.4,28.3,30.1,27.0,29.0,26.3,27.7,27.5,24.4,25.7,25.3,31.3,29.4,26.6,27.9,27.4,28.1,25.7,24.1,21.5,23.3,24.5,23.3,24.8,24.1
18,,Natural Gas,26.9,25.6,20.1,19.1,23.2,23.8,23.5,30.3,26.6,29.1,32.2,38.5,37.4,38.5,36.6,37.4,38.5,42.8,45.9,42.6,42.6,38.7,42.4,44.4,47.4,44.6,43.0,43.6,42.9,42.1,41.8,40.7,42.7,45.2,46.0
19,,Total,65.8,58.8,52.3,55.0,72.3,70.7,66.3,73.5,70.1,69.8,71.7,72.8,73.7,70.6,70.7,69.3,71.6,76.2,74.4,72.8,72.4,74.5,76.2,75.6,79.6,76.4,75.3,73.3,70.7,66.5,68.2,68.6,68.9,73.0,73.2
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,170.1,168.5,159.5,161.2,169.6,168.7,174.5,183.7,194.3,200.7,202.1,191.5,191.4,187.8,196.3,200.2,203.3,197.5,199.0,203.4,214.5,210.3,222.5,212.5,221.8,227.5,232.1,234.5,218.7,212.8,208.1,200.7,195.6,196.6,198.6
24,,Natural Gas,0.8,0.8,0.7,0.6,0.6,0.8,0.7,1.0,1.0,1.1,1.1,1.0,0.8,0.7,0.7,1.1,1.1,1.3,0.6,0.6,0.6,0.7,0.7,0.7,0.9,1.1,0.9,1.1,1.1,1.0,1.3,1.3,1.5,1.3,2.1
25,,Total,170.9,169.3,160.3,161.8,170.2,169.5,175.2,184.7,195.4,201.8,203.2,192.5,192.2,188.5,197.0,201.2,204.4,198.8,199.6,204.0,215.1,211.0,223.2,213.2,222.7,228.6,233.0,235.6,219.7,213.8,209.3,202.0,197.1,198.0,200.7
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.8,2.4,2.5,2.6,2.5,2.2,1.9,1.7,1.9,2.1,2.1,2.0,2.2,2.1,2.1,2.0,2.1,2.2,2.2,2.0,2.1,1.9,1.2,0.6,0.6
29,,Petroleum Products,32.1,22.7,8.0,5.5,2.3,2.4,2.8,1.8,6.2,7.6,4.2,1.3,1.2,2.6,2.7,2.0,2.3,1.8,2.2,2.0,2.5,2.8,2.2,2.3,2.1,2.4,2.2,2.2,1.9,1.8,1.3,1.1,0.2,0.1,0.1
30,,Natural Gas,29.0,36.7,29.8,25.9,31.9,37.2,24.6,35.4,30.4,35.8,34.4,34.3,41.8,36.8,44.3,32.9,28.6,32.3,35.2,39.2,48.3,53.0,39.4,38.3,42.1,37.6,42.2,45.7,46.8,44.1,40.1,33.4,46.5,45.1,45.6
31,,Total,61.1,59.4,37.8,31.4,34.3,39.6,27.4,37.2,36.6,44.2,40.4,38.0,45.6,42.0,49.5,37.1,32.8,35.8,39.4,43.3,52.9,57.8,43.7,42.7,46.3,41.9,46.5,50.0,50.9,47.8,43.4,36.4,48.0,45.7,46.3
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,348.4,337.0,299.9,293.0,319.4,324.1,309.5,340.1,348.2,363.5,363.8,351.7,356.1,345.5,362.4,351.4,350.5,352.9,363.4,367.0,382.4,386.8,386.0,373.8,392.2,389.4,397.6,402.6,385.8,372.1,366.0,352.4,357.2,360.5,358.0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,6.1,7.2,6.4,3.0,3.5,4.2,4.0,4.2,4.8,6.2,8.0,8.5,8.7,8.0,8.0,8.0,7.6,7.8,6.3,6.6,6.6,6.4,6.6,6.5,6.5,6.4,6.3,6.3,6.0,4.9,5.2,5.2,4.1,3.6,3.7
37,Petroleum Products,,242.0,226.4,199.8,205.1,223.7,217.7,221.1,230.1,244.8,248.6,244.4,226.0,225.7,220.0,230.5,231.5,235.8,229.2,228.8,234.1,245.4,247.1,256.4,244.3,255.1,260.8,265.2,265.4,248.6,240.3,237.4,230.6,222.8,225.1,226.0
38,Natural Gas,,100.3,103.3,93.7,84.9,92.3,102.2,84.4,105.7,98.7,108.7,111.5,117.2,121.7,117.4,123.9,111.9,107.1,115.9,128.3,126.3,130.3,133.4,123.0,122.9,130.6,122.3,126.1,130.9,131.2,126.9,123.4,116.5,130.3,131.8,128.3
39,Total,,348.4,337.0,299.9,293.0,319.4,324.1,309.5,340.1,348.2,363.5,363.8,351.7,356.1,345.5,362.4,351.4,350.5,352.9,363.4,367.0,382.4,386.8,386.0,373.8,392.2,389.4,397.6,402.6,385.8,372.1,366.0,352.4,357.2,360.5,358.0
