,Illinois Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,2.5,2.1,2.2,2.0,1.9,2.1,1.8,1.7,1.8,1.7,1.4,1.5,1.3,1.3,1.2,1.3,1.6,1.6,1.3,2.0,1.5,1.2,1.5,1.2,1.2,1.2,1.2,1.4,1.8,1.6,1.6,1.4,1.2,1.6,1.3
6,,Natural Gas,25.1,24.6,24.4,23.3,26.0,24.1,23.1,21.6,24.7,26.8,23.8,25.1,25.5,26.6,25.5,26.9,29.0,26.8,22.2,23.8,25.0,22.8,24.4,25.2,23.6,23.3,21.2,23.0,24.8,23.3,22.0,22.2,19.1,24.2,25.7
7,,Total,27.7,26.8,26.7,25.5,28.1,26.3,25.0,23.5,26.6,28.7,25.3,26.6,26.9,28.0,26.8,28.3,30.7,28.5,23.5,25.8,26.6,24.0,25.9,26.5,24.8,24.5,22.4,24.4,26.6,25.0,23.6,23.6,20.3,25.8,27.0
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.3,0.4,0.6,0.8,0.8,0.4,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.3,0.6,0.4,0.3,0.4,0.4,0.3,0.5,0.5,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3
11,,Petroleum Products,2.7,2.9,2.4,3.0,3.1,2.3,1.7,1.6,1.5,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.2,1.3,1.1,1.0,1.0,1.1,1.1,1.0,0.8,0.7,0.8,0.6,0.8,0.9,0.7,0.6,0.6,0.9,0.8
12,,Natural Gas,11.9,11.8,11.6,11.1,12.6,11.5,10.8,10.1,11.5,10.5,10.8,10.4,10.6,10.9,10.6,11.0,11.7,10.9,9.4,10.1,10.8,10.1,10.9,11.3,10.9,10.7,10.4,10.8,11.8,11.8,10.5,11.4,10.0,12.3,13.2
13,,Total,15.0,15.1,14.6,14.8,16.5,14.3,13.0,12.2,13.5,12.2,12.4,11.9,12.1,12.5,12.2,12.4,13.3,12.9,11.0,11.4,12.2,11.6,12.3,12.8,12.1,11.7,11.5,11.7,13.1,13.1,11.5,12.4,10.9,13.5,14.3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,11.8,10.7,10.5,11.5,13.3,13.2,13.8,14.7,16.0,14.5,14.2,14.8,13.8,13.9,14.0,13.6,14.1,14.5,14.3,13.9,12.7,10.4,9.0,9.1,8.7,8.7,9.0,9.4,9.0,6.9,9.0,10.3,10.6,10.4,10.2
17,,Petroleum Products,27.5,19.9,16.6,17.2,17.3,15.6,18.4,21.3,22.2,14.3,15.0,13.2,13.9,15.1,16.1,15.9,16.2,16.4,14.6,14.7,13.7,13.5,13.6,13.9,15.0,15.5,15.3,14.8,13.7,11.9,12.4,12.5,12.7,13.9,13.7
18,,Natural Gas,18.3,18.2,15.6,15.2,16.5,15.4,14.1,14.0,14.4,15.0,14.8,16.3,16.1,16.4,16.4,17.3,17.4,17.1,16.4,16.3,16.1,14.8,15.4,14.4,14.0,13.9,13.1,13.6,14.0,12.5,15.1,15.0,14.7,15.7,15.8
19,,Total,57.6,48.8,42.7,44.0,47.1,44.2,46.4,50.1,52.6,43.8,44.0,44.2,43.8,45.4,46.5,46.7,47.6,48.1,45.3,45.0,42.6,38.7,38.0,37.5,37.7,38.1,37.3,37.8,36.8,31.3,36.4,37.8,38.0,40.0,39.7
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,57.1,54.6,53.0,54.8,48.5,49.9,49.3,49.8,53.0,53.9,53.3,51.2,52.0,55.0,53.0,54.5,56.4,56.7,58.0,64.2,65.8,63.7,61.5,64.5,68.0,75.5,71.9,71.8,67.6,65.4,64.7,64.0,61.8,62.5,63.6
24,,Natural Gas,0.8,0.7,0.8,0.5,0.6,0.6,0.5,0.4,0.7,0.7,0.7,0.6,0.6,0.6,0.8,0.7,0.8,0.8,0.7,0.6,0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.7,1.3,1.1,1.2,1.3,1.5,1.7
25,,Total,57.9,55.2,53.8,55.3,49.1,50.5,49.7,50.2,53.7,54.7,54.0,51.8,52.6,55.6,53.7,55.3,57.2,57.5,58.7,64.8,66.5,64.3,62.2,65.1,68.7,76.1,72.5,72.4,68.3,66.7,65.7,65.2,63.1,64.0,65.2
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,66.8,63.3,61.8,67.0,63.8,62.3,61.1,58.1,53.4,52.5,55.7,56.1,51.4,62.0,63.2,63.9,72.3,76.8,74.7,76.2,82.7,81.9,83.7,85.5,91.6,89.9,89.4,93.3,94.7,88.5,91.5,88.6,80.5,86.2,85.5
29,,Petroleum Products,6.7,5.0,3.8,3.1,2.4,1.5,2.3,1.8,1.2,1.0,1.0,1.5,1.1,1.0,1.2,1.0,1.0,0.5,0.8,0.4,0.5,1.4,0.2,1.1,0.8,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
30,,Natural Gas,1.0,0.7,0.6,0.6,0.3,0.3,0.3,0.2,0.3,0.4,0.5,0.7,0.5,0.9,1.9,2.1,1.4,2.4,3.0,2.9,2.5,2.5,4.3,1.7,1.6,3.1,2.3,3.4,1.8,1.8,2.4,2.5,4.7,2.8,2.3
31,,Total,74.5,69.0,66.1,70.8,66.5,64.1,63.7,60.1,55.0,53.9,57.2,58.2,53.0,63.9,66.3,67.0,74.6,79.7,78.6,79.4,85.7,85.9,88.2,88.3,94.0,93.3,91.9,96.8,96.7,90.4,94.0,91.2,85.3,89.0,87.9
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,232.7,215.0,204.0,210.3,207.4,199.4,197.7,196.1,201.4,193.2,192.9,192.8,188.4,205.3,205.5,209.7,223.3,226.7,217.2,226.4,233.7,224.6,226.7,230.1,237.3,243.8,235.5,243.1,241.5,226.4,231.3,230.2,217.6,232.2,234.0
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,79.0,74.6,73.0,79.5,78.1,76.1,75.4,73.5,70.0,67.7,70.5,71.4,65.7,76.5,77.8,77.9,86.7,91.9,89.5,90.4,95.9,92.8,93.1,95.3,100.9,98.9,98.7,103.0,104.2,95.8,100.9,99.2,91.4,96.8,96.0
37,Petroleum Products,,96.6,84.5,78.1,80.1,73.2,71.4,73.5,76.3,79.8,72.0,71.9,68.4,69.4,73.5,72.7,73.8,76.3,76.6,75.9,82.3,82.6,80.9,77.8,81.7,85.7,93.2,89.3,88.7,84.1,79.9,79.4,78.6,76.4,78.9,79.4
38,Natural Gas,,57.1,55.9,52.9,50.7,56.0,52.0,48.8,46.4,51.6,53.5,50.5,53.0,53.2,55.3,55.1,58.0,60.3,58.1,51.8,53.7,55.2,50.9,55.8,53.1,50.7,51.6,47.5,51.4,53.2,50.8,51.1,52.3,49.8,56.4,58.7
39,Total,,232.7,215.0,204.0,210.3,207.4,199.4,197.7,196.1,201.4,193.2,192.9,192.8,188.4,205.3,205.5,209.7,223.3,226.7,217.2,226.4,233.7,224.6,226.7,230.1,237.3,243.8,235.5,243.1,241.5,226.4,231.3,230.2,217.6,232.2,234.0
