,Indiana Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.1,0.1,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,3.3,2.8,2.6,2.0,2.1,1.9,2.1,2.2,2.3,2.4,1.8,1.8,1.7,1.9,1.7,1.6,2.0,1.9,1.5,2.1,1.8,1.4,1.7,1.9,1.6,1.4,1.2,1.3,1.5,1.4,1.2,1.2,0.9,1.0,0.9
6,,Natural Gas,8.6,8.3,8.6,7.7,8.0,7.8,7.5,7.4,8.2,8.3,7.5,7.8,8.1,8.8,8.4,8.6,9.6,9.0,7.5,8.1,8.6,7.9,8.3,9.0,7.9,8.0,6.8,7.7,8.2,7.5,7.4,7.1,6.2,7.7,8.4
7,,Total,12.0,11.2,11.4,9.9,10.4,9.9,9.8,9.8,10.8,10.9,9.6,9.8,10.0,10.8,10.3,10.3,11.7,11.0,9.1,10.2,10.5,9.3,10.1,11.0,9.6,9.4,8.0,9.0,9.7,8.9,8.6,8.2,7.0,8.7,9.4
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.4,0.5,1.0,1.2,1.1,0.8,0.9,0.9,1.0,0.9,0.9,0.7,0.7,0.6,0.6,0.5,0.7,0.7,0.7,0.7,0.5,0.5,0.6,0.7,0.8,0.5,0.1,0.3,0.7,0.7,0.7,0.6,0.4,0.3,0.3
11,,Petroleum Products,2.3,0.7,0.8,2.3,2.3,1.6,1.3,1.1,1.0,1.1,0.9,0.9,0.9,1.0,0.9,0.7,0.7,0.7,0.9,0.8,0.8,0.9,0.9,1.1,1.1,0.8,0.8,0.6,0.9,0.9,0.7,0.6,0.6,0.7,0.7
12,,Natural Gas,3.7,3.7,3.8,3.5,3.8,3.7,3.4,3.4,3.8,3.9,3.6,3.7,3.9,4.2,4.1,4.4,4.7,4.4,3.9,3.9,4.8,4.2,4.4,5.0,4.5,4.1,3.8,4.1,4.5,4.2,4.1,4.1,3.6,4.4,4.9
13,,Total,6.3,5.0,5.7,6.9,7.2,6.2,5.6,5.4,5.9,5.9,5.4,5.3,5.5,5.7,5.6,5.6,6.0,5.8,5.5,5.4,6.2,5.6,5.8,6.7,6.4,5.4,4.7,5.1,6.1,5.8,5.4,5.3,4.6,5.4,5.9
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,38.8,40.9,30.2,32.6,33.7,33.7,29.8,32.4,35.7,34.2,32.2,30.3,26.9,26.2,21.1,24.1,25.1,25.3,26.0,25.8,30.6,32.9,32.3,32.1,33.3,29.6,28.9,27.8,25.6,20.9,24.8,21.7,20.0,19.6,17.1
17,,Petroleum Products,13.4,10.2,8.3,6.8,7.6,8.0,8.9,9.3,8.9,9.3,10.1,9.6,10.6,8.9,9.3,8.3,8.7,8.3,8.6,9.1,8.2,9.8,9.5,9.8,10.8,11.0,11.2,11.0,10.2,10.0,8.1,7.6,6.9,7.7,7.6
18,,Natural Gas,12.8,13.1,12.0,11.0,11.7,11.2,9.8,10.7,11.7,11.8,12.2,12.2,13.1,14.1,14.4,14.7,15.4,15.5,15.4,16.6,16.0,13.4,13.7,14.2,13.9,14.1,14.1,14.7,14.6,13.1,15.5,17.5,18.4,19.1,20.3
19,,Total,65.0,64.2,50.5,50.4,53.0,53.0,48.4,52.3,56.3,55.3,54.5,52.0,50.6,49.2,44.8,47.1,49.2,49.1,50.1,51.4,54.9,56.1,55.5,56.2,58.0,54.7,54.2,53.5,50.4,44.0,48.4,46.8,45.3,46.4,45.0
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,30.9,31.3,30.1,30.4,35.5,36.2,38.3,40.0,38.7,39.8,40.2,39.4,38.8,40.6,42.2,43.3,42.2,42.3,42.9,43.8,45.9,41.9,45.3,46.7,44.4,44.6,45.6,44.4,41.1,39.5,41.5,41.3,40.5,42.2,43.0
24,,Natural Gas,0.5,0.5,0.5,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.5,0.3,0.3,0.4,0.4,0.4,0.7,0.6,0.4,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.6,0.4,0.4,0.4
25,,Total,31.3,31.7,30.6,30.7,35.8,36.4,38.6,40.3,39.2,40.2,40.6,39.6,39.1,41.0,42.5,43.7,42.9,42.9,43.3,44.2,46.2,42.3,45.6,47.1,44.8,45.0,46.0,44.8,41.4,39.9,41.9,41.9,40.8,42.6,43.4
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,68.3,65.4,62.5,69.0,77.9,76.8,74.9,75.7,81.7,85.9,94.8,94.9,93.5,97.2,100.3,101.9,103.6,108.0,109.6,112.6,118.9,114.2,112.4,114.8,117.5,120.1,120.6,120.0,120.6,107.0,110.9,103.1,91.9,93.0,97.6
29,,Petroleum Products,0.3,0.3,0.2,0.2,0.1,0.2,0.3,0.3,0.4,0.4,0.8,0.4,0.3,0.2,0.2,0.2,0.3,0.7,0.9,0.9,0.9,0.4,0.5,0.4,0.4,0.2,0.1,0.1,0.1,0.1,0.1,1.0,0.7,1.1,1.2
30,,Natural Gas,0.1,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.4,0.5,0.4,0.3,0.5,0.4,0.2,0.3,0.7,0.7,0.8,0.9,1.9,1.4,1.2,1.9,1.5,2.0,1.8,2.0,3.3,4.6,6.2,4.4,4.5
31,,Total,68.7,66.0,62.9,69.3,78.1,77.0,75.2,76.1,82.2,86.6,95.9,95.8,94.2,97.6,100.9,102.5,104.1,108.9,111.3,114.2,120.6,115.6,114.8,116.6,119.2,122.2,122.2,122.2,122.5,109.1,114.3,108.6,98.8,98.4,103.3
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,183.3,178.2,161.1,167.2,184.5,182.5,177.7,183.9,194.4,198.9,206.1,202.5,199.3,204.3,204.1,209.3,213.9,217.8,219.3,225.4,238.4,228.8,231.9,237.7,237.9,236.8,235.0,234.5,230.2,207.6,218.7,210.9,196.5,201.6,206.9
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,107.5,107.0,93.9,103.1,112.9,111.6,105.8,109.2,118.7,121.2,128.1,126.1,121.3,124.1,122.1,126.6,129.4,134.1,136.4,139.2,150.2,147.6,145.5,147.6,151.7,150.2,149.6,148.2,146.9,128.6,136.5,125.5,112.3,112.8,115.0
37,Petroleum Products,,50.2,45.3,42.2,41.6,47.7,47.9,50.8,52.9,51.2,53.0,53.8,52.0,52.3,52.6,54.2,54.1,53.8,54.0,54.9,56.6,57.7,54.4,57.9,60.0,58.3,58.1,58.9,57.4,53.8,51.8,51.6,51.7,49.5,52.7,53.4
38,Natural Gas,,25.6,25.9,25.0,22.6,23.9,23.0,21.0,21.9,24.4,24.7,24.2,24.4,25.7,27.7,27.8,28.6,30.6,29.7,28.0,29.6,30.6,26.8,28.6,30.1,27.9,28.4,26.5,28.9,29.5,27.1,30.6,33.7,34.7,36.1,38.5
39,Total,,183.3,178.2,161.1,167.2,184.5,182.5,177.7,183.9,194.4,198.9,206.1,202.5,199.3,204.3,204.1,209.3,213.9,217.8,219.3,225.4,238.4,228.8,231.9,237.7,237.9,236.8,235.0,234.5,230.2,207.6,218.7,210.9,196.5,201.6,206.9
