,Kansas Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,0.6,0.4,0.5,0.5,0.3,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.6,1.0,0.7,0.5,0.6,0.6,0.6,0.5,0.4,0.5,0.7,0.6,0.6,0.5,0.4,0.5,0.5
6,,Natural Gas,4.5,3.9,4.4,4.3,4.2,4.2,3.7,3.9,4.0,4.0,3.8,4.0,3.7,4.4,3.9,4.0,4.5,3.7,3.7,3.6,3.8,3.7,3.8,3.8,3.5,3.5,3.1,3.4,3.9,3.8,3.6,3.5,2.7,3.7,3.9
7,,Total,5.1,4.4,4.9,4.8,4.5,4.6,4.0,4.2,4.4,4.4,4.1,4.4,4.0,4.7,4.2,4.4,5.0,4.3,4.3,4.6,4.4,4.2,4.4,4.4,4.1,4.0,3.5,3.9,4.5,4.5,4.2,4.1,3.2,4.2,4.4
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,Petroleum Products,0.3,0.3,0.2,0.5,0.6,0.4,0.3,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.3
12,,Natural Gas,3.1,2.7,3.0,2.8,3.0,3.0,2.9,3.0,3.2,3.1,3.0,3.1,2.8,2.9,2.8,2.8,3.0,2.2,2.2,2.1,2.2,2.0,2.1,2.0,2.0,1.6,1.5,1.6,1.8,1.8,1.7,1.7,1.4,1.8,2.0
13,,Total,3.4,3.0,3.2,3.3,3.6,3.4,3.2,3.2,3.5,3.4,3.2,3.4,3.1,3.3,3.1,3.2,3.5,2.5,2.5,2.4,2.5,2.4,2.4,2.4,2.3,1.8,1.7,1.9,2.1,2.0,2.0,1.9,1.6,2.0,2.2
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,0.7,0.7,0.7,0.6,0.6,0.7,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.2,0.2,0.2,0.2,0.2,0.3
17,,Petroleum Products,6.4,5.2,5.9,6.3,10.3,8.7,7.8,7.8,8.9,8.7,7.9,6.5,7.5,5.6,5.5,4.6,5.9,6.9,6.4,7.7,6.7,6.3,6.4,7.2,6.3,4.7,5.6,8.4,5.6,4.8,5.1,4.9,4.9,4.6,4.6
18,,Natural Gas,10.1,9.2,8.6,7.1,8.3,8.6,7.3,8.8,8.1,7.6,8.4,9.0,9.1,10.2,12.2,9.3,8.4,8.6,7.6,6.8,7.4,6.2,7.4,6.7,6.2,6.3,7.1,7.7,7.1,6.8,6.7,6.9,7.3,7.4,7.3
19,,Total,17.2,15.1,15.2,14.0,19.3,18.0,15.6,17.1,17.4,16.7,16.6,15.9,17.0,16.2,18.1,14.3,14.7,15.9,14.3,14.7,14.5,12.9,14.2,14.3,13.0,11.6,13.2,16.6,13.0,11.8,12.1,12.1,12.4,12.2,12.2
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,16.2,15.5,15.1,15.1,15.4,16.1,16.9,17.3,17.8,17.1,17.0,16.1,16.1,16.2,15.3,17.0,16.7,16.5,16.9,18.0,17.0,16.0,15.8,17.7,17.4,16.1,17.5,17.9,17.4,17.9,17.8,17.4,17.4,18.3,19.2
24,,Natural Gas,2.8,2.5,2.3,1.7,1.9,2.0,1.7,1.7,2.2,2.3,2.2,1.8,1.5,1.7,1.7,1.8,2.0,2.1,1.7,1.7,1.6,1.4,1.9,1.8,1.5,1.5,1.4,1.3,1.3,1.4,1.3,1.3,1.1,1.2,1.2
25,,Total,18.9,18.0,17.4,16.9,17.3,18.1,18.6,19.1,20.0,19.4,19.1,17.9,17.6,17.9,17.0,18.9,18.7,18.5,18.6,19.7,18.6,17.4,17.7,19.5,18.9,17.7,18.8,19.2,18.7,19.3,19.2,18.6,18.4,19.6,20.4
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,17.3,19.3,19.2,21.1,25.2,23.7,23.1,24.6,24.9,24.8,25.2,25.0,23.5,28.2,28.0,26.9,31.4,29.0,29.0,30.8,33.9,33.1,36.6,36.4,35.9,35.4,33.9,36.9,34.7,33.4,33.7,32.5,28.9,30.7,29.6
29,,Petroleum Products,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.4,0.6,0.4,0.8,0.8,0.9,0.1,0.3,0.2,0.2,0.2,0.1,0.0,0.0,0.0
30,,Natural Gas,5.1,4.0,3.1,2.4,1.7,1.1,0.8,0.8,1.0,1.0,1.4,1.9,0.7,1.1,1.4,1.5,1.2,1.4,2.0,1.9,1.8,1.2,1.1,0.8,0.6,0.8,1.2,1.4,1.4,1.7,1.5,1.6,1.8,1.3,1.0
31,,Total,22.8,23.6,22.5,23.8,27.0,24.8,24.0,25.5,26.0,25.9,26.7,26.9,24.3,29.4,29.5,28.5,32.7,30.5,31.1,33.0,36.1,34.9,38.2,38.0,37.3,37.1,35.1,38.5,36.4,35.3,35.4,34.2,30.7,32.0,30.7
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,67.5,64.1,63.1,62.8,71.7,68.9,65.4,69.1,71.3,69.8,69.8,68.4,66.1,71.5,71.8,69.3,74.7,71.8,70.8,74.4,76.2,71.8,76.9,78.6,75.6,72.1,72.4,80.1,74.7,72.9,72.8,71.0,66.2,69.9,69.8
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,18.0,20.0,20.0,21.7,25.8,24.4,23.7,25.1,25.3,25.2,25.6,25.3,23.9,28.5,28.4,27.3,31.9,29.4,29.2,31.1,34.3,33.5,37.0,36.8,36.4,35.9,34.4,37.4,35.1,33.6,34.0,32.7,29.0,30.9,29.9
37,Petroleum Products,,23.9,21.7,21.9,22.7,26.7,25.7,25.4,25.8,27.5,26.6,25.5,23.3,24.3,22.5,21.4,22.4,23.6,24.4,24.4,27.3,25.2,23.8,23.6,26.7,25.4,22.5,23.7,27.2,24.0,23.8,23.9,23.1,23.0,23.7,24.6
38,Natural Gas,,25.6,22.4,21.3,18.4,19.1,18.8,16.3,18.2,18.5,18.0,18.7,19.8,18.0,20.5,22.0,19.5,19.1,18.0,17.2,16.0,16.7,14.5,16.3,15.1,13.8,13.7,14.3,15.5,15.5,15.5,14.9,15.1,14.2,15.3,15.4
39,Total,,67.5,64.1,63.1,62.8,71.7,68.9,65.4,69.1,71.3,69.8,69.8,68.4,66.1,71.5,71.8,69.3,74.7,71.8,70.8,74.4,76.2,71.8,76.9,78.6,75.6,72.1,72.4,80.1,74.7,72.9,72.8,71.0,66.2,69.9,69.8
