,Louisiana Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.4,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1
6,,Natural Gas,4.0,4.5,3.8,3.8,3.8,3.3,3.2,3.4,3.3,3.2,3.0,3.0,3.1,3.1,2.9,2.9,3.1,3.2,2.7,2.5,2.8,2.7,2.7,2.6,2.3,2.3,1.8,2.0,2.0,2.0,2.5,2.1,1.7,2.1,2.4
7,,Total,4.3,4.7,4.0,4.0,4.0,3.6,3.4,3.6,3.5,3.4,3.1,3.2,3.3,3.3,3.1,3.0,3.3,3.4,3.0,2.9,3.3,3.1,2.9,2.8,2.5,2.5,2.1,2.2,2.2,2.2,2.6,2.3,1.8,2.2,2.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,Petroleum Products,7.2,9.0,8.7,1.7,1.3,1.6,1.6,0.8,0.7,0.5,0.5,0.5,0.4,0.4,0.4,0.2,0.1,0.2,0.2,0.4,1.1,0.6,0.5,1.0,0.8,0.7,0.2,1.3,0.3,0.7,0.5,0.5,0.4,0.2,0.3
12,,Natural Gas,2.2,2.2,1.9,1.9,1.8,1.7,1.5,1.5,1.5,1.5,1.4,1.4,1.6,1.4,1.3,1.3,1.4,1.5,1.4,1.4,1.4,1.3,1.4,1.4,1.4,1.4,1.2,1.3,1.3,1.3,1.5,1.4,1.4,1.6,1.7
13,,Total,9.4,11.2,10.5,3.6,3.1,3.3,3.1,2.4,2.2,2.1,1.9,1.9,2.0,1.8,1.7,1.5,1.6,1.8,1.6,1.8,2.6,2.0,1.9,2.4,2.2,2.1,1.5,2.7,1.6,2.0,1.9,1.9,1.9,1.8,2.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,0.2,0.6,0.7,0.7,0.8,1.0,0.6,0.8,1.0,1.3,1.5,1.0,1.1,1.0,1.1,0.7,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.3,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.1,0.2,0.2,0.3
17,,Petroleum Products,51.0,46.7,45.3,45.6,41.7,39.7,40.9,39.7,42.7,41.0,46.1,44.7,47.8,48.8,52.4,50.3,53.7,52.8,48.2,53.2,61.2,56.0,58.9,59.0,67.3,64.0,73.8,78.5,87.2,76.3,83.7,81.1,75.1,70.6,71.3
18,,Natural Gas,62.5,61.6,54.6,51.3,60.9,51.3,55.3,59.3,55.8,61.5,61.9,59.5,61.0,62.8,61.0,63.1,63.7,70.6,60.2,54.9,58.9,48.3,50.6,49.3,51.3,48.2,53.0,55.4,51.5,49.8,55.1,56.8,58.4,56.9,59.1
19,,Total,113.7,108.9,100.6,97.6,103.4,92.0,96.8,99.8,99.5,103.7,109.5,105.3,109.9,112.6,114.5,114.1,117.6,123.6,108.4,108.2,120.2,104.5,109.6,108.5,118.8,112.4,127.0,134.1,138.9,126.1,138.9,138.0,133.8,127.7,130.6
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,42.0,42.5,37.6,40.1,39.8,39.3,44.5,43.4,46.3,46.8,46.1,48.8,49.0,48.7,50.9,50.8,55.7,52.3,52.0,52.7,58.3,50.7,51.8,51.8,50.9,48.5,52.1,47.6,44.6,44.0,46.7,46.5,42.6,43.5,41.4
24,,Natural Gas,4.1,4.3,3.5,2.6,2.7,2.3,2.5,2.8,3.1,2.8,3.1,3.0,3.0,3.1,3.5,3.6,3.8,4.3,3.5,2.7,2.9,2.6,2.8,2.6,2.5,2.3,2.6,2.9,2.9,2.7,2.5,2.8,2.6,2.0,2.5
25,,Total,46.1,46.9,41.1,42.7,42.5,41.6,47.0,46.2,49.4,49.6,49.2,51.8,52.0,51.8,54.3,54.3,59.4,56.7,55.5,55.3,61.2,53.3,54.6,54.3,53.3,50.8,54.8,50.5,47.5,46.7,49.3,49.3,45.3,45.5,43.9
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,0.0,1.6,5.3,9.4,10.3,13.9,15.6,15.4,19.0,18.2,18.2,19.2,20.0,20.0,20.7,19.7,19.2,21.2,21.2,21.4,23.8,22.5,21.8,23.1,24.0,23.8,24.9,23.4,24.6,23.8,24.5,25.4,22.3,21.3,19.6
29,,Petroleum Products,4.0,2.2,0.8,0.3,0.1,0.1,0.3,0.1,0.3,0.2,0.2,0.0,1.2,3.8,2.5,1.9,2.1,2.5,2.5,2.1,2.2,3.5,2.0,3.0,3.5,3.5,2.1,2.4,2.2,1.7,3.3,4.9,3.2,5.0,5.2
30,,Natural Gas,23.5,23.0,20.7,16.5,16.7,15.8,14.8,13.7,13.9,14.6,15.8,15.0,14.4,13.5,15.5,18.0,14.0,15.3,17.7,17.8,16.7,13.4,17.6,12.9,13.4,15.6,10.8,12.3,12.9,12.2,14.7,15.9,17.4,14.5,14.5
31,,Total,27.5,26.8,26.8,26.2,27.2,29.8,30.7,29.1,33.1,33.0,34.2,34.2,35.6,37.4,38.7,39.6,35.3,39.1,41.4,41.3,42.7,39.4,41.5,39.1,41.0,42.9,37.8,38.1,39.8,37.7,42.4,46.2,42.9,40.8,39.3
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,201.0,198.4,183.1,174.2,180.2,170.3,181.1,181.0,187.7,191.7,197.9,196.4,202.8,206.9,212.4,212.6,217.2,224.4,210.0,209.5,229.9,202.2,210.6,207.1,217.8,210.6,223.1,227.5,230.0,214.7,235.2,237.7,225.7,217.9,218.4
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,0.2,2.2,6.0,10.0,11.2,15.0,16.2,16.2,20.0,19.5,19.7,20.2,21.1,21.1,21.8,20.5,19.4,21.3,21.3,21.5,23.9,22.7,21.9,23.4,24.2,23.9,25.0,23.6,24.8,23.8,24.5,25.5,22.6,21.5,19.8
37,Petroleum Products,,104.5,100.6,92.6,88.0,83.0,80.9,87.6,84.1,90.1,88.7,93.1,94.3,98.6,101.9,106.3,103.3,111.8,108.1,103.3,108.8,123.3,111.2,113.5,114.9,122.6,116.9,128.5,130.0,134.5,122.9,134.4,133.1,121.5,119.4,118.4
38,Natural Gas,,96.3,95.5,84.4,76.1,86.0,74.4,77.4,80.7,77.7,83.5,85.1,82.0,83.1,83.9,84.3,88.8,86.0,95.0,85.4,79.2,82.7,68.3,75.1,68.8,70.9,69.8,69.5,73.9,70.7,68.0,76.3,79.0,81.6,77.0,80.2
39,Total,,201.0,198.4,183.1,174.2,180.2,170.3,181.1,181.0,187.7,191.7,197.9,196.4,202.8,206.9,212.4,212.6,217.2,224.4,210.0,209.5,229.9,202.2,210.6,207.1,217.8,210.6,223.1,227.5,230.0,214.7,235.2,237.7,225.7,217.9,218.4
