,Michigan Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,4.8,4.2,3.8,3.3,3.9,4.0,4.1,4.2,4.5,4.4,3.8,3.9,3.8,4.0,3.7,3.8,4.5,4.3,3.7,4.3,4.2,4.8,4.8,4.9,4.2,4.6,3.0,3.2,3.0,2.8,2.5,2.3,1.9,2.6,2.6
6,,Natural Gas,21.0,19.6,19.5,18.7,18.3,18.4,18.1,17.1,19.2,20.1,17.7,18.2,19.4,20.0,19.7,20.5,21.4,20.5,17.3,18.9,19.9,18.7,19.9,21.1,19.7,19.3,17.1,17.8,18.6,17.7,16.4,17.1,14.9,18.0,19.2
7,,Total,25.9,23.9,23.4,22.1,22.3,22.5,22.3,21.4,23.7,24.5,21.7,22.2,23.2,24.1,23.5,24.4,26.0,24.8,21.0,23.2,24.2,23.5,24.8,25.9,24.0,23.9,20.0,21.1,21.5,20.5,18.9,19.5,16.8,20.6,21.8
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.6,0.3,0.4,0.3,0.5,0.5,0.5,0.2,0.3,0.3,0.5,0.5,0.4,0.4,0.6,0.5,0.6,0.4,0.3,0.0,0.0,0.0,0.5,0.1,0.4,0.3,0.0,0.4,0.5,0.6,0.4,0.4,0.2,0.2,0.1
11,,Petroleum Products,1.8,1.5,1.4,1.5,1.8,1.5,1.8,1.3,1.6,1.5,1.3,1.2,1.1,0.9,0.9,1.0,1.1,1.1,1.0,0.9,1.0,1.2,0.9,1.0,0.9,0.9,0.8,0.7,0.7,0.8,0.7,0.8,0.7,0.8,1.9
12,,Natural Gas,10.3,9.5,9.3,8.8,8.7,8.5,7.4,10.1,9.2,9.8,8.6,8.9,9.4,9.8,9.9,10.5,10.8,10.4,8.8,9.7,10.1,9.5,9.5,10.2,9.5,9.4,8.3,8.9,9.4,8.9,8.2,8.8,7.8,9.2,10.1
13,,Total,12.7,11.3,11.1,10.6,11.0,10.5,9.7,11.7,11.2,11.6,10.5,10.7,10.9,11.1,11.4,11.9,12.5,11.9,10.1,10.7,11.2,10.6,10.9,11.2,10.8,10.6,9.2,10.0,10.6,10.3,9.4,9.9,8.7,10.2,12.1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,20.2,18.7,17.0,15.5,15.6,15.8,15.9,11.5,12.2,11.1,11.1,8.8,7.2,7.4,10.1,10.3,10.1,8.9,9.2,11.2,9.8,9.2,6.8,6.9,7.3,7.3,7.5,7.1,7.8,4.4,6.2,6.2,5.6,6.3,5.8
17,,Petroleum Products,7.7,5.9,5.7,5.8,6.1,7.3,7.8,7.9,8.0,7.9,6.7,6.5,6.7,5.8,6.1,5.6,6.2,5.5,5.3,5.6,5.3,4.5,4.5,5.2,5.8,5.8,5.1,5.6,4.6,3.9,3.9,3.9,3.9,4.5,4.4
18,,Natural Gas,13.5,12.6,10.5,9.6,10.7,10.3,9.9,7.3,11.0,11.2,15.7,15.2,16.9,13.4,13.0,13.7,14.0,13.8,12.2,13.4,13.4,12.7,13.5,12.2,11.9,12.0,10.7,8.5,8.1,7.4,8.2,8.5,9.0,9.7,10.2
19,,Total,41.4,37.2,33.2,31.0,32.4,33.4,33.6,26.7,31.2,30.2,33.5,30.5,30.9,26.6,29.1,29.6,30.2,28.2,26.6,30.2,28.5,26.4,24.8,24.3,24.9,25.1,23.4,21.2,20.4,15.7,18.3,18.6,18.5,20.5,20.5
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,43.1,41.5,39.0,39.7,41.1,42.3,43.5,45.8,47.1,46.8,46.6,47.2,47.6,50.5,50.6,51.9,52.4,53.7,55.1,57.5,55.4,55.1,56.0,53.7,54.4,53.8,53.7,53.0,48.9,47.4,47.3,46.2,45.6,48.0,47.4
24,,Natural Gas,0.7,0.7,0.7,0.4,0.6,0.6,0.8,0.7,1.0,0.9,1.0,1.1,1.2,1.3,1.2,1.4,1.4,1.3,1.2,1.2,1.5,1.2,1.5,1.5,1.5,1.5,1.4,1.4,1.3,1.3,1.4,1.3,1.1,1.0,1.1
25,,Total,43.7,42.2,39.7,40.1,41.7,42.8,44.3,46.5,48.1,47.8,47.6,48.3,48.8,51.8,51.8,53.3,53.9,55.0,56.3,58.8,56.9,56.3,57.5,55.2,55.9,55.3,55.1,54.4,50.2,48.7,48.6,47.4,46.7,49.0,48.5
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,49.9,51.6,49.0,50.2,53.7,57.0,59.6,67.1,65.5,62.8,62.5,62.7,59.0,59.5,64.8,63.4,64.4,64.3,68.5,67.3,65.6,65.2,62.4,63.5,65.3,67.8,65.5,68.1,67.3,64.5,64.0,58.6,52.9,55.6,52.3
29,,Petroleum Products,5.1,2.9,1.2,0.7,0.6,0.5,0.8,0.7,1.4,1.5,0.7,0.6,0.5,0.7,0.7,0.7,0.7,0.6,1.1,1.3,1.0,0.7,1.0,0.8,0.7,0.8,0.4,0.5,0.4,0.3,0.3,0.3,0.2,0.5,1.2
30,,Natural Gas,1.0,0.7,0.4,0.1,0.3,0.2,0.2,0.2,0.1,0.4,3.6,3.8,4.3,4.6,4.8,5.4,6.3,6.5,6.8,7.0,6.6,7.0,7.8,5.6,7.2,7.0,5.9,6.7,5.0,4.5,6.1,6.1,9.8,6.0,6.1
31,,Total,56.0,55.2,50.6,51.0,54.6,57.7,60.6,68.1,67.0,64.6,66.8,67.0,63.9,64.8,70.3,69.5,71.5,71.4,76.4,75.5,73.2,72.9,71.3,69.9,73.2,75.7,71.7,75.3,72.7,69.3,70.4,64.9,62.9,62.1,59.6
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,179.8,169.8,158.1,154.7,162.1,167.0,170.5,174.3,181.2,178.7,180.1,178.8,177.7,178.3,186.1,188.7,194.0,191.3,190.4,198.4,194.0,189.7,189.3,186.5,188.8,190.6,179.4,181.9,175.4,164.4,165.6,160.3,153.7,162.4,162.5
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,70.8,70.7,66.5,66.1,70.0,73.3,76.1,78.9,78.1,74.3,74.2,72.0,66.7,67.5,75.5,74.2,75.1,73.7,78.0,78.5,75.4,74.5,69.8,70.5,73.0,75.4,73.0,75.6,75.5,69.4,70.7,65.2,58.6,62.1,58.3
37,Petroleum Products,,62.5,56.0,51.1,50.9,53.5,55.6,58.0,59.9,62.6,62.1,59.2,59.5,59.8,61.8,62.0,62.9,65.0,65.2,66.2,69.7,67.0,66.2,67.2,65.5,66.1,65.9,63.0,63.1,57.6,55.2,54.7,53.4,52.4,56.4,57.6
38,Natural Gas,,46.4,43.1,40.4,37.7,38.6,38.0,36.4,35.5,40.5,42.3,46.7,47.2,51.2,49.1,48.7,51.5,54.0,52.4,46.2,50.2,51.6,49.1,52.2,50.4,49.8,49.2,43.3,43.2,42.3,39.8,40.3,41.8,42.7,44.0,46.6
39,Total,,179.8,169.8,158.1,154.7,162.1,167.0,170.5,174.3,181.2,178.7,180.1,178.8,177.7,178.3,186.1,188.7,194.0,191.3,190.4,198.4,194.0,189.7,189.3,186.5,188.8,190.6,179.4,181.9,175.4,164.4,165.6,160.3,153.7,162.4,162.5
