,New Jersey Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,10.5,10.2,8.5,7.2,8.8,9.2,8.7,8.9,9.0,8.1,6.1,5.8,5.9,5.6,6.2,5.5,5.7,5.3,4.4,4.7,4.9,4.6,4.2,5.0,4.6,4.1,3.3,3.6,3.8,3.2,2.7,2.3,2.0,2.1,2.4
6,,Natural Gas,7.3,7.8,7.9,7.8,8.0,7.9,8.3,8.9,9.5,10.3,9.1,9.3,10.6,10.5,11.9,10.6,12.1,11.8,10.7,11.5,11.9,11.6,11.5,13.4,12.8,12.7,10.8,12.5,12.1,12.3,11.9,11.6,10.4,12.6,13.7
7,,Total,17.8,18.0,16.5,15.0,16.9,17.1,17.0,17.8,18.5,18.4,15.3,15.2,16.5,16.2,18.1,16.1,17.8,17.1,15.1,16.1,16.8,16.2,15.7,18.4,17.4,16.9,14.1,16.1,15.8,15.5,14.6,13.9,12.5,14.7,16.1
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,Petroleum Products,9.5,6.6,5.5,4.7,5.7,4.6,5.9,5.3,5.6,5.2,4.6,4.4,4.3,3.7,3.8,2.5,3.0,2.3,2.1,2.7,2.3,2.3,1.5,1.8,1.6,1.9,1.2,1.7,1.4,1.3,1.0,1.2,0.9,1.0,1.1
12,,Natural Gas,3.2,4.0,4.2,4.2,4.4,4.4,4.5,5.0,5.3,6.2,6.1,6.4,7.0,6.9,7.2,7.5,8.2,9.2,8.0,9.0,8.6,7.1,8.0,8.8,9.3,9.4,8.4,9.3,9.2,9.8,9.9,10.4,9.5,9.6,11.2
13,,Total,12.8,10.8,9.9,9.1,10.2,9.1,10.5,10.4,11.0,11.4,10.8,10.9,11.3,10.7,11.0,10.0,11.2,11.5,10.1,11.7,10.9,9.4,9.5,10.6,10.9,11.3,9.5,11.0,10.6,11.1,10.9,11.7,10.5,10.6,12.3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,0.1,0.0,0.3,0.6,0.7,0.8,0.6,0.8,0.6,0.7,0.7,0.6,0.5,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,,Petroleum Products,19.7,14.2,13.1,9.9,12.2,9.7,10.7,11.7,11.8,11.3,9.5,9.3,9.4,8.4,9.1,8.4,9.0,9.2,7.9,8.7,7.7,9.3,9.0,9.3,9.7,9.8,9.1,9.0,7.8,6.5,6.1,7.1,7.1,6.3,6.3
18,,Natural Gas,3.3,4.7,4.3,4.3,4.5,4.2,3.7,4.2,4.1,4.5,4.8,5.3,9.3,10.2,10.4,11.3,10.7,10.5,10.8,10.8,4.8,4.6,4.4,4.3,4.2,4.1,3.6,3.5,3.0,2.6,2.7,2.7,3.0,3.4,3.4
19,,Total,23.1,19.0,17.8,14.8,17.5,14.8,15.0,16.7,16.5,16.4,14.9,15.2,19.2,19.1,19.7,19.8,19.6,19.8,18.7,19.5,12.5,13.9,13.4,13.6,14.0,14.0,12.7,12.5,10.7,9.2,8.8,9.8,10.1,9.7,9.7
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,40.8,44.3,51.3,54.9,57.1,57.0,59.2,60.0,57.3,58.9,56.9,57.7,58.0,54.9,60.0,61.0,58.7,59.4,60.4,60.2,64.6,62.7,63.7,62.2,64.4,69.2,68.4,71.9,72.8,61.0,62.0,64.0,56.4,58.0,58.4
24,,Natural Gas,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.3,0.3
25,,Total,40.8,44.3,51.4,55.0,57.2,57.1,59.4,60.2,57.5,59.2,57.0,57.9,58.2,55.1,60.2,61.2,58.9,59.6,60.6,60.4,64.8,62.9,63.8,62.3,64.5,69.3,68.5,72.0,72.9,61.1,62.3,64.3,56.7,58.3,58.7
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,6.2,6.8,6.8,7.8,7.1,8.7,6.6,7.7,7.0,8.2,6.9,5.2,5.4,5.4,5.9,7.5,8.1,9.4,8.1,8.4,10.8,10.6,9.9,10.1,10.6,11.8,10.9,10.6,9.2,5.6,6.8,4.7,2.4,2.4,2.9
29,,Petroleum Products,7.6,5.4,4.3,4.2,4.5,2.8,4.5,2.8,4.4,4.8,1.7,1.6,1.0,1.1,1.6,1.2,0.6,0.4,0.6,0.6,0.8,1.2,0.5,0.9,0.7,0.6,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.1
30,,Natural Gas,4.2,4.3,3.5,5.2,5.1,3.3,2.0,4.0,2.7,3.7,3.6,5.1,6.2,6.8,7.8,8.2,7.0,7.3,7.3,7.7,7.3,6.9,8.7,7.1,7.7,6.9,7.2,8.6,9.3,9.0,10.8,10.9,12.4,11.9,13.7
31,,Total,18.1,16.5,14.6,17.2,16.8,14.7,13.0,14.4,14.1,16.7,12.2,11.9,12.6,13.3,15.4,16.9,15.8,17.1,16.0,16.7,19.0,18.6,19.1,18.1,19.1,19.3,18.3,19.4,18.7,14.6,17.7,15.6,14.8,14.4,16.7
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,112.6,108.5,110.2,111.1,118.6,112.8,114.9,119.5,117.6,122.1,110.2,111.1,117.8,114.3,124.4,124.0,123.3,125.0,120.5,124.5,124.0,121.1,121.6,123.1,125.9,130.6,123.2,131.0,128.8,111.6,114.3,115.3,104.5,107.7,113.5
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,6.4,7.1,7.4,8.6,7.9,9.7,7.3,8.5,7.6,8.9,7.6,5.8,5.9,6.0,6.1,7.5,8.2,9.4,8.1,8.4,10.8,10.6,9.9,10.1,10.6,11.8,11.0,10.6,9.2,5.6,6.8,4.7,2.4,2.4,2.9
37,Petroleum Products,,88.1,80.7,82.8,80.9,88.4,83.2,89.0,88.8,88.2,88.3,78.8,79.0,78.6,73.8,80.8,78.6,77.0,76.6,75.4,76.9,80.4,80.1,79.0,79.3,81.0,85.6,82.2,86.4,85.9,72.1,71.9,74.7,66.5,67.5,68.2
38,Natural Gas,,18.1,20.8,20.0,21.6,22.3,19.9,18.6,22.2,21.7,24.8,23.8,26.3,33.2,34.6,37.5,37.8,38.1,39.0,36.9,39.1,32.8,30.4,32.7,33.7,34.2,33.2,30.1,34.0,33.7,33.9,35.6,35.9,35.6,37.8,42.3
39,Total,,112.6,108.5,110.2,111.1,118.6,112.8,114.9,119.5,117.6,122.1,110.2,111.1,117.8,114.3,124.4,124.0,123.3,125.0,120.5,124.5,124.0,121.1,121.6,123.1,125.9,130.6,123.2,131.0,128.8,111.6,114.3,115.3,104.5,107.7,113.5
