,Ohio Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.3,0.3,0.3,0.3,0.4,0.4,0.6,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,4.2,3.5,2.9,2.4,2.8,3.2,3.4,3.4,3.5,3.7,3.3,3.1,3.2,3.4,3.3,3.2,3.5,3.3,2.9,3.8,3.0,2.4,2.7,3.1,2.8,2.6,2.2,2.4,2.3,2.3,2.0,1.9,1.5,1.6,1.7
6,,Natural Gas,19.6,18.8,18.5,16.6,18.2,17.5,18.0,18.1,19.3,19.8,17.0,17.8,18.7,19.5,18.9,19.7,20.6,19.6,16.3,17.5,19.0,17.0,17.7,18.8,17.8,17.9,15.0,16.5,16.9,16.1,15.6,15.7,13.8,16.5,17.8
7,,Total,24.0,22.6,21.7,19.3,21.4,21.1,21.9,21.9,23.3,23.8,20.6,21.1,22.2,23.1,22.3,23.0,24.3,23.0,19.3,21.3,22.0,19.5,20.5,21.9,20.7,20.5,17.2,18.9,19.2,18.4,17.6,17.6,15.3,18.2,19.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,1.0,1.3,1.3,1.6,1.7,1.5,1.8,1.4,1.3,1.0,1.2,0.9,1.1,1.1,1.0,0.8,1.3,0.7,0.8,0.4,0.4,0.5,0.7,0.4,0.8,0.7,0.2,0.3,0.6,0.5,0.6,0.5,0.3,0.4,0.3
11,,Petroleum Products,2.2,1.7,1.4,2.1,2.9,1.5,2.0,2.0,2.4,1.9,1.5,1.3,1.2,1.0,1.0,1.2,1.1,1.7,1.1,1.2,1.3,1.1,1.4,1.2,1.3,1.0,1.1,1.2,1.2,1.4,1.4,1.2,1.3,1.2,1.1
12,,Natural Gas,8.3,8.0,7.9,7.2,8.1,7.7,7.7,8.1,8.8,8.9,7.9,8.3,8.8,9.0,9.2,9.6,10.4,10.2,8.6,9.2,9.8,9.5,9.0,9.9,9.4,9.2,8.1,8.8,9.2,8.9,8.6,8.8,8.0,9.4,10.2
13,,Total,11.4,11.0,10.7,10.9,12.7,10.7,11.4,11.6,12.5,11.8,10.6,10.6,11.1,11.2,11.1,11.6,12.8,12.5,10.5,10.9,11.5,11.1,11.1,11.5,11.6,11.0,9.4,10.3,11.1,10.8,10.5,10.6,9.6,10.9,11.6
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,37.1,38.4,29.2,24.3,25.9,24.6,24.9,26.2,27.3,23.8,23.3,20.5,18.5,16.7,16.5,15.3,13.3,13.2,13.1,12.3,10.4,10.6,8.1,8.8,8.7,9.4,10.4,10.3,10.3,8.5,11.0,10.6,12.5,12.7,12.7
17,,Petroleum Products,24.6,21.2,18.6,17.3,15.8,15.0,11.6,12.5,11.7,12.2,11.4,10.3,13.5,12.8,13.0,11.9,12.7,11.2,11.1,12.1,10.3,12.4,12.7,14.4,12.0,11.5,12.0,12.2,12.3,11.1,10.5,10.0,10.3,10.5,10.0
18,,Natural Gas,16.0,15.8,13.6,13.2,13.8,13.6,13.3,12.7,15.7,15.6,15.6,15.6,16.3,16.6,17.1,18.3,19.0,18.6,18.3,18.0,18.8,16.4,16.9,16.0,16.8,16.3,15.8,16.2,15.6,12.9,14.8,14.7,14.5,15.3,17.1
19,,Total,77.6,75.5,61.4,54.8,55.5,53.2,49.9,51.4,54.8,51.6,50.4,46.3,48.3,46.1,46.5,45.4,45.0,43.0,42.5,42.4,39.5,39.4,37.7,39.2,37.5,37.2,38.3,38.7,38.3,32.5,36.3,35.4,37.3,38.5,39.8
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,55.2,53.4,51.2,51.2,51.7,52.6,54.3,55.7,56.3,56.5,55.2,54.6,53.9,56.8,57.0,58.1,60.9,62.7,63.6,65.4,67.3,67.3,67.8,68.5,70.2,69.8,70.5,70.9,66.9,62.0,63.4,62.7,61.0,62.2,62.5
24,,Natural Gas,0.6,0.7,0.8,0.6,0.7,0.5,0.5,0.6,0.6,0.6,0.6,0.5,0.5,0.6,1.0,1.0,1.1,1.1,1.0,1.0,1.0,0.9,0.9,0.9,0.7,0.8,0.7,0.8,0.6,0.9,0.9,0.8,0.5,0.6,0.7
25,,Total,55.8,54.1,52.0,51.7,52.4,53.0,54.8,56.3,56.8,57.1,55.7,55.1,54.4,57.4,58.0,59.1,62.0,63.8,64.6,66.4,68.3,68.1,68.7,69.3,71.0,70.5,71.2,71.6,67.5,62.9,64.3,63.5,61.6,62.8,63.2
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,104.1,103.2,99.3,97.5,99.5,103.7,107.0,106.4,109.5,112.9,109.4,111.6,113.5,116.8,113.0,113.9,121.7,118.8,122.8,117.7,123.9,117.4,122.9,126.9,121.6,129.7,126.3,127.5,124.9,110.5,116.2,104.1,83.2,91.0,86.6
29,,Petroleum Products,1.0,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.3,0.3,0.2,0.2,0.4,0.3,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.4,1.4,1.4,1.3,1.1,1.3,1.2,1.4,1.4,1.6,1.7,1.5
30,,Natural Gas,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.4,0.2,0.2,0.4,0.6,0.5,0.6,1.2,1.0,1.0,1.5,1.3,2.0,1.3,2.1,3.2,5.1,9.3,8.8,9.7
31,,Total,105.4,103.8,99.8,97.8,99.8,104.1,107.3,106.7,110.0,113.4,109.7,112.1,113.9,117.2,113.5,114.6,122.1,119.3,123.5,118.7,124.8,118.3,124.5,128.3,124.0,132.6,128.9,130.6,127.5,113.8,120.7,110.6,94.1,101.5,97.7
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,274.2,266.9,245.5,234.6,241.8,242.1,245.3,247.8,257.3,257.7,246.9,245.2,249.8,255.0,251.4,253.7,266.2,261.5,260.5,259.7,266.2,256.4,262.5,270.2,264.8,271.7,265.0,270.2,263.5,238.5,249.5,237.7,217.8,232.0,231.8
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,142.4,143.2,130.2,123.7,127.5,130.3,134.3,134.4,138.5,138.0,134.2,133.2,133.3,134.8,130.6,130.1,136.5,132.8,136.9,130.5,134.8,128.6,131.8,136.2,131.2,139.8,136.9,138.1,135.7,119.5,127.8,115.3,96.0,104.0,99.6
37,Petroleum Products,,87.2,80.3,74.5,73.3,73.5,72.6,71.5,73.8,74.4,74.8,71.6,69.7,72.0,74.3,74.6,74.6,78.4,79.0,78.9,83.0,82.2,83.5,84.9,87.5,87.8,86.3,87.2,87.7,84.1,78.1,78.7,77.4,75.7,77.3,76.8
38,Natural Gas,,44.6,43.4,40.9,37.6,40.8,39.3,39.5,39.6,44.4,45.0,41.2,42.4,44.5,45.9,46.2,49.0,51.3,49.7,44.7,46.3,49.2,44.4,45.8,46.6,45.8,45.7,40.9,44.3,43.7,40.9,43.0,45.0,46.1,50.6,55.4
39,Total,,274.2,266.9,245.5,234.6,241.8,242.1,245.3,247.8,257.3,257.7,246.9,245.2,249.8,255.0,251.4,253.7,266.2,261.5,260.5,259.7,266.2,256.4,262.5,270.2,264.8,271.7,265.0,270.2,263.5,238.5,249.5,237.7,217.8,232.0,231.8
