,Pennsylvania Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.7,0.7,0.7,0.6,0.7,0.6,0.8,0.9,0.8,0.8,0.6,0.6,0.7,0.5,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,13.2,11.5,10.1,9.8,12.3,11.9,10.6,10.6,11.3,12.0,9.7,9.8,10.0,10.8,10.6,10.1,10.5,9.9,8.8,10.0,11.0,10.8,10.4,11.4,11.3,10.2,8.7,8.7,12.7,7.2,7.9,7.3,6.3,7.1,8.0
6,,Natural Gas,15.6,15.3,14.7,13.7,14.6,13.4,14.0,13.8,14.7,14.9,13.2,13.3,14.6,14.8,14.7,14.4,15.3,14.4,12.0,13.3,14.4,13.4,13.2,14.6,13.7,13.5,11.3,12.7,12.6,12.6,12.3,12.1,10.9,12.9,14.2
7,,Total,29.5,27.5,25.5,24.0,27.5,26.0,25.4,25.3,26.8,27.7,23.6,23.8,25.4,26.1,25.7,24.9,26.0,24.6,21.0,23.4,25.6,24.3,23.7,26.3,25.1,23.8,20.2,21.6,25.3,19.8,20.2,19.4,17.2,20.0,22.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,2.7,3.3,3.2,2.8,2.9,2.2,2.5,2.9,2.6,2.8,2.5,2.7,3.1,2.4,2.3,2.4,2.0,2.6,1.8,1.4,1.6,1.6,1.2,1.4,1.4,1.4,1.3,1.5,0.5,0.5,0.4,0.4,0.3,0.3,0.3
11,,Petroleum Products,3.6,3.5,3.0,3.8,4.4,3.5,3.8,3.8,3.8,4.4,3.7,3.5,3.5,3.6,4.3,3.8,3.8,3.0,3.0,2.8,3.2,3.3,3.9,3.6,3.6,3.5,3.1,2.8,3.2,2.4,2.3,2.1,1.7,1.9,2.0
12,,Natural Gas,6.4,6.9,6.8,6.3,6.9,6.3,6.3,6.3,7.0,7.3,6.9,6.9,7.4,7.2,7.6,7.9,8.5,7.9,7.2,7.9,8.0,7.6,7.5,8.2,7.9,8.0,7.2,8.0,8.0,7.9,7.8,7.8,7.0,8.3,8.9
13,,Total,12.6,13.6,13.0,12.9,14.2,12.1,12.6,13.0,13.4,14.5,13.1,13.1,14.0,13.2,14.3,14.1,14.3,13.5,12.0,12.1,12.8,12.6,12.6,13.3,12.9,12.8,11.7,12.4,11.6,10.8,10.5,10.3,9.0,10.5,11.2
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,52.4,45.7,25.8,29.5,39.2,33.2,26.8,30.6,34.7,34.2,35.9,31.8,34.3,35.8,36.5,36.5,37.1,36.3,26.5,25.2,25.8,24.7,24.7,25.3,25.2,23.3,22.4,21.6,21.2,13.7,17.2,16.7,17.2,20.1,20.5
17,,Petroleum Products,17.9,13.8,13.6,11.5,13.6,11.5,13.5,14.9,14.1,14.5,14.9,13.4,14.6,12.6,12.4,11.6,10.9,11.4,11.1,11.6,11.2,12.7,11.9,13.0,12.9,13.9,14.4,14.2,14.0,12.2,12.2,12.0,10.6,11.6,11.9
18,,Natural Gas,18.2,17.8,14.3,13.3,13.6,12.7,11.4,12.8,12.8,13.6,13.3,12.9,13.2,13.5,13.2,13.9,13.5,13.2,12.8,13.0,12.9,11.4,11.7,11.0,11.0,10.5,10.7,10.8,10.9,10.2,12.1,13.6,15.6,19.0,20.1
19,,Total,88.4,77.3,53.7,54.4,66.4,57.3,51.7,58.3,61.7,62.3,64.1,58.0,62.1,62.0,62.1,62.0,61.4,60.9,50.3,49.7,50.0,48.8,48.3,49.3,49.1,47.7,47.6,46.7,46.1,36.1,41.6,42.3,43.4,50.7,52.5
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,56.1,52.8,49.6,50.5,51.1,51.6,53.9,57.0,59.2,56.2,57.4,57.3,58.4,60.0,60.2,60.9,60.3,63.2,65.6,66.0,68.0,68.1,68.3,67.4,69.3,70.5,70.2,69.2,64.1,62.6,61.8,59.7,59.6,59.0,58.4
24,,Natural Gas,1.6,1.8,1.7,1.6,1.9,1.8,1.8,2.0,2.0,1.5,1.9,1.9,2.1,2.0,2.1,2.1,2.2,2.2,1.8,2.0,2.1,1.9,2.1,1.9,1.6,1.7,1.5,1.9,2.1,2.3,2.6,2.8,2.1,2.1,2.0
25,,Total,57.7,54.7,51.3,52.1,53.0,53.4,55.7,59.0,61.2,57.7,59.3,59.2,60.5,62.0,62.3,63.0,62.5,65.3,67.4,68.0,70.2,70.0,70.4,69.2,70.9,72.3,71.8,71.1,66.1,64.9,64.4,62.5,61.7,61.1,60.5
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,96.3,89.5,91.0,92.0,93.8,95.9,93.4,95.1,99.4,102.1,99.3,99.1,100.2,101.0,96.0,100.3,105.8,108.5,109.6,106.5,114.3,104.5,111.0,110.5,111.8,115.7,117.4,117.3,112.2,101.1,105.7,97.1,85.4,85.5,76.9
29,,Petroleum Products,9.7,8.5,5.8,10.0,8.4,6.8,7.6,6.9,6.9,7.9,4.8,4.0,2.8,4.8,5.6,3.8,4.0,3.1,4.3,3.2,3.5,3.1,2.5,4.0,3.7,4.4,0.9,1.1,0.8,0.7,0.5,0.4,0.3,0.3,0.5
30,,Natural Gas,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.5,0.7,0.4,0.7,1.3,1.6,2.2,1.4,1.1,1.7,1.7,1.1,1.2,2.7,2.3,4.2,4.4,5.5,7.9,7.7,11.5,13.4,16.7,21.6,20.1,21.5
31,,Total,106.1,98.2,96.9,102.1,102.3,102.8,101.0,102.1,106.5,110.5,104.9,103.5,103.7,107.0,103.2,106.2,111.2,112.7,115.5,111.4,118.9,108.8,116.2,116.8,119.7,124.5,123.8,126.2,120.7,113.4,119.6,114.2,107.3,105.9,98.9
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,294.3,271.3,240.4,245.4,263.4,251.6,246.4,257.6,269.6,272.7,264.9,257.6,265.7,270.2,267.6,270.2,275.5,277.0,266.3,264.7,277.5,264.5,271.2,274.9,277.8,281.1,275.0,278.0,269.9,245.0,256.3,248.8,238.6,248.2,245.3
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,152.0,139.2,120.7,125.0,136.5,131.9,123.5,129.4,137.5,139.9,138.3,134.2,138.3,139.7,135.3,139.6,145.2,147.7,138.1,133.3,142.0,131.0,137.1,137.5,138.6,140.5,141.3,140.6,133.9,115.3,123.4,114.2,102.9,105.9,97.7
37,Petroleum Products,,100.4,90.1,82.1,85.4,89.8,85.4,89.4,93.3,95.4,94.9,90.6,88.0,89.3,91.7,93.1,90.2,89.4,90.6,92.8,93.5,96.9,98.0,97.0,99.4,100.8,102.5,97.4,96.0,94.7,85.2,84.7,81.5,78.4,79.8,80.9
38,Natural Gas,,41.9,42.0,37.6,34.9,37.1,34.3,33.5,35.0,36.7,37.9,36.1,35.4,38.1,38.8,39.2,40.4,40.9,38.8,35.4,37.9,38.6,35.5,37.2,38.1,38.4,38.2,36.3,41.4,41.3,44.5,48.2,53.1,57.3,62.4,66.7
39,Total,,294.3,271.3,240.4,245.4,263.4,251.6,246.4,257.6,269.6,272.7,264.9,257.6,265.7,270.2,267.6,270.2,275.5,277.0,266.3,264.7,277.5,264.5,271.2,274.9,277.8,281.1,275.0,278.0,269.9,245.0,256.3,248.8,238.6,248.2,245.3
