,Texas Carbon Dioxide Emissions from Fossil Fuel Consumption (1980-2014),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
0,million metric tons of CO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0
3,Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,,Petroleum Products,1.4,1.4,1.2,1.4,1.2,1.6,1.5,1.6,1.4,1.4,1.3,0.9,0.8,0.8,0.8,0.7,0.5,0.8,1.0,2.0,2.3,2.7,2.4,2.0,1.7,1.9,1.4,1.6,1.5,1.3,1.3,1.1,0.9,1.1,1.1
6,,Natural Gas,12.3,11.5,12.1,11.7,12.7,11.7,10.8,11.7,11.6,12.7,11.6,12.3,12.0,12.6,11.8,11.4,12.6,12.8,11.1,9.7,10.6,11.3,11.5,11.3,10.5,10.1,9.1,10.9,10.5,10.4,12.4,10.9,9.3,11.3,12.8
7,,Total,13.7,12.9,13.3,13.1,13.9,13.3,12.2,13.2,13.0,14.1,13.0,13.1,12.7,13.5,12.6,12.1,13.1,13.6,12.1,11.7,12.9,14.0,13.9,13.4,12.1,12.0,10.5,12.5,12.0,11.7,13.7,12.0,10.2,12.4,13.9
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,,Petroleum Products,5.5,6.3,4.1,10.4,4.8,4.3,3.1,3.8,3.1,2.8,2.3,1.9,1.8,1.1,1.3,1.4,1.4,1.3,1.7,1.9,3.2,2.4,1.8,2.1,1.3,1.9,1.7,1.4,1.6,2.0,1.7,2.5,2.3,2.0,2.0
12,,Natural Gas,9.2,8.6,10.4,8.6,9.1,8.4,8.1,8.7,9.7,10.1,9.5,10.0,10.3,9.6,10.0,11.6,9.8,11.8,9.4,9.5,10.4,9.3,12.4,11.9,10.6,8.7,8.0,8.8,9.1,9.1,10.3,10.1,8.8,9.5,10.1
13,,Total,14.7,15.0,14.5,19.0,13.9,12.7,11.3,12.5,12.9,12.9,11.8,11.9,12.1,10.8,11.2,13.0,11.2,13.2,11.2,11.4,13.7,11.8,14.3,14.2,11.9,10.6,9.7,10.1,10.8,11.1,12.1,12.6,11.1,11.6,12.1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Industrial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Coal,5.8,8.5,7.8,6.2,8.7,8.0,6.8,5.8,4.9,5.8,5.8,6.0,5.7,6.7,7.8,6.0,7.0,7.0,6.0,5.9,6.9,7.1,6.7,6.8,6.6,6.6,6.7,3.8,3.7,1.6,1.3,1.8,1.9,2.0,2.6
17,,Petroleum Products,80.9,62.8,59.2,59.5,70.1,65.1,69.2,67.5,77.3,78.3,91.2,91.9,92.3,92.1,94.6,95.6,103.0,122.7,113.8,98.7,92.0,92.3,88.6,95.4,93.0,89.1,95.7,87.7,60.0,52.9,65.2,66.1,74.4,75.1,69.5
18,,Natural Gas,108.3,104.1,79.1,78.2,83.1,87.2,83.8,91.5,101.0,104.2,105.7,103.2,101.5,103.8,101.5,107.5,120.4,114.4,115.0,104.1,117.3,113.0,110.5,104.4,102.3,77.7,79.0,79.9,82.0,76.3,86.0,87.4,92.3,95.3,97.1
19,,Total,195.0,175.4,146.1,143.9,161.9,160.3,159.8,164.8,183.2,188.3,202.7,201.1,199.5,202.6,204.0,209.2,230.4,244.0,234.7,208.8,216.2,212.5,205.9,206.6,202.0,173.4,181.3,171.4,145.7,130.7,152.5,155.3,168.5,172.5,169.2
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transportation Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,,Petroleum Products,122.9,124.5,128.2,127.2,132.5,138.2,142.4,139.1,145.5,146.2,146.6,145.0,148.6,147.5,150.3,148.9,161.7,165.8,175.7,173.9,178.6,185.9,191.5,186.7,189.1,189.1,196.3,197.9,189.0,180.3,186.3,186.2,183.6,192.2,206.4
24,,Natural Gas,5.7,5.6,5.6,5.8,6.0,5.1,4.5,4.5,5.9,5.9,5.9,4.5,4.5,4.5,5.3,4.5,4.2,4.5,3.7,3.9,3.5,3.9,5.0,3.2,3.2,4.5,4.7,5.0,6.1,6.5,4.5,4.8,7.7,16.2,15.2
25,,Total,128.6,130.0,133.8,133.0,138.5,143.3,146.9,143.6,151.4,152.1,152.5,149.5,153.1,152.0,155.6,153.4,165.9,170.3,179.5,177.9,182.1,189.8,196.4,189.9,192.3,193.7,201.0,202.8,195.0,186.8,190.8,191.0,191.3,208.5,221.7
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Electric Power Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Coal,62.9,71.9,79.6,89.4,92.3,100.0,102.5,107.3,114.0,119.8,119.8,119.6,119.0,128.2,123.2,122.8,133.3,136.8,134.6,138.6,139.3,133.8,139.5,144.4,146.8,147.1,145.4,148.1,147.9,139.8,146.8,158.2,139.6,148.8,147.2
29,,Petroleum Products,0.8,0.7,1.0,1.8,0.4,0.8,0.4,0.5,0.6,2.0,0.4,0.2,0.2,2.1,2.2,1.8,2.0,1.7,1.8,1.8,2.9,2.8,2.0,2.1,1.8,1.7,1.8,1.3,1.2,1.5,0.6,0.8,0.2,0.2,0.1
30,,Natural Gas,78.7,75.3,70.5,64.7,69.2,65.8,60.8,57.6,57.2,62.8,62.3,61.9,60.2,66.0,64.6,65.7,65.5,66.9,78.3,78.3,85.5,82.3,83.8,78.7,75.7,80.0,79.7,80.0,78.1,75.1,73.0,78.7,82.3,77.2,77.6
31,,Total,142.4,147.9,151.1,155.8,161.9,166.6,163.6,165.5,171.8,184.6,182.5,181.7,179.4,196.2,190.0,190.3,200.8,205.4,214.7,218.8,227.6,218.9,225.3,225.2,224.3,228.8,226.9,229.5,227.2,216.5,220.4,237.7,222.1,226.2,224.8
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,Grand Total,494.4,481.2,458.8,464.9,490.1,496.2,493.8,499.6,532.3,552.1,562.5,557.4,556.8,575.1,573.4,578.0,621.4,646.5,652.1,628.4,652.5,646.9,655.9,649.3,642.6,618.5,629.4,626.3,590.7,556.8,589.5,608.7,603.2,631.1,641.7
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Fuel Totals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Coal,,68.7,80.4,87.4,95.5,100.9,108.0,109.3,113.2,119.0,125.7,125.6,125.7,124.8,134.9,131.0,128.8,140.2,143.8,140.6,144.5,146.2,141.0,146.4,151.4,153.5,153.7,152.1,152.0,151.7,141.4,148.1,160.1,141.5,150.8,149.8
37,Petroleum Products,,211.4,195.7,193.7,200.4,209.1,210.0,216.6,212.5,228.0,230.7,241.8,239.9,243.6,243.7,249.2,248.4,268.6,292.3,294.0,278.4,279.0,286.1,286.3,288.3,286.9,283.7,296.9,289.9,253.3,237.9,255.2,256.7,261.4,270.7,279.1
38,Natural Gas,,214.2,205.1,177.7,169.1,180.1,178.2,168.0,173.9,185.4,195.6,195.0,191.8,188.5,196.5,193.2,200.7,212.5,210.4,217.6,205.5,227.2,219.9,223.2,209.6,202.2,181.1,180.4,184.5,185.8,177.4,186.2,191.9,200.3,209.5,212.9
39,Total,,494.4,481.2,458.8,464.9,490.1,496.2,493.8,499.6,532.3,552.1,562.5,557.4,556.8,575.1,573.4,578.0,621.4,646.5,652.1,628.4,652.5,646.9,655.9,649.3,642.6,618.5,629.4,626.3,590.7,556.8,589.5,608.7,603.2,631.1,641.7
