Wban Number, YearMonthDay, Avg Max Temp, Departure Max Temp, Avg Min Temp, Departure Min Temp, Avg Temp, Departure from Normal, Avg Dew Point, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, HDD Monthly Departure, CDD Monthly Departure, HDD Season to Date, CDD Season to Date, HDD Season to Date Departure, CDD Season to Date Departure, Mean Station Pressure, Mean Sea Level Pressure, Max Sea Level Pressure, Date Max Sea Level Pressure, Time Max Sea Level Pressure,Min Sea Level Pressure, Date Min Sea Level Pressure, Time Min Sea Level Pressure, Total Monthly Precip, Departure from Normal Precip, Max 24 hr. Precip, Date Max 24 hr. Precip, Sunshine Minutes, Total Minutes Sunshine, Percent Possible Sunshine, Total Snowfall, Max 24 hr. Snowfall, Date Max 24 hr. Snowfall, Max 12Z Snow Depth, Date Max 12Z Snow Depth, Clear Sky Days, Partly Cloudy Days, Cloudy Days, Max Temp >= 90 Days, Max Temp <= 32 Days, Min Temp <= 32 Days, Min Temp <= 0 Days, Thunderstorm Days, Heavy Fog Days, Precip >= 1/100 Days, Precip >= 1/10 Days, Snowfall >= 1.0 inch Days, Max Wind Speed, Max Wind Direction, Max Wind Date, Peak Gust Speed, Peak Gust Direction, Peak Gust Date, Water Equivalent, Resultant Wind Speed, Resultant Wind Direction, Avg Wind Speed, Avg HDD, Avg CDD
03013,20030331, 61.1,     , 28.2,     , 44.7, 44.7, 26.6, 36.5, 622,   0, 622,   0, 4661,    0, 4661,    0,26.06,30.21,30.49,29 ,2248,29.11,17 ,1452, 0.72, 0.70, 0.63,18-19,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,20, 0, 0, 0, 4, 2, 0, 43,340, 27, 49,340, 27,    ,  1.3,299, 10.8, 20.1,   .0
03016,20030331, 53.3,     , 27.9,     , 40.6,   .0, 24.2, 33.3, 748,   0,   0,   0, 5432,    0,    0,    0,24.42,30.15,  .00, 0 ,0000,29.35,17 ,1415, 0.73, -.03, 0.40, 24  ,     ,     ,   ,    ,    ,   ,  0 ,-  , 0, 0, 0, 0, 0,26, 0, 0, 2, 7, 2, 0, 46,310, 26, 53,310, 26,    ,  3.5,275,  6.4,   .6,   .0
03017,20030331, 51.8,  -.4, 28.1,  2.3, 40.0,   .4, 21.1, 32.4, 768,   0, -20,   0, 5225,    0,  -52,    0,24.46,30.13,  .00, 0 ,0000,29.23,17 ,1401, 3.05, 1.77, 1.53, 17  ,     ,     ,   ,    ,    ,   ,  0 ,-  , 0, 0, 0, 0, 0,24, 0, 1, 5, 7, 3, 0, 38,280, 06, 44,280, 06,    ,  2.9,276, 11.6, 24.8,   .0
03024,20030331, 65.1,     , 36.6,     , 50.9,   .0, 27.8, 40.3, 432,   1,-580,   1, 3560,    1,    0,    0,26.72,30.25,  .00, 0 ,0000,29.23,18 ,1514, 0.55,-3.24, 0.51, 19  ,     ,     ,   ,    ,    ,   ,  0 ,-  , 0, 0, 0, 0, 0,11, 0, 1, 0, 2, 1, 0, 35,350, 27, 43,360, 27,    ,  1.4,246, 10.6,   .4,   .0
03026,20030331, 56.5,     , 26.5,     , 41.5,   .0, 25.0, 34.0, 719,   0, 139,   0, 5238,    0,    0,    0,25.57,30.19,  .00, 0 ,0000,29.18,17 ,1556, 1.26, 0.65, 1.09,18-19,     ,     ,   ,    ,    ,   ,  0 ,-  , 0, 0, 0, 0, 1,20, 1, 0, 4, 3, 2, 0, 38,340, 27, 45,340, 27,    ,  2.1,286, 13.0,   .4,   .0
03027,20030331, 53.3,     , 26.6,     , 40.0,   .0, 19.6, 31.6, 770,   0,-151,   0, 5092,    0,    0,    0,23.01,30.12,  .00, 0 ,0000,29.26,18 ,0340, 0.91, 0.01, 0.60,18-19,     ,     ,   ,    ,    ,   ,  0 ,-  , 0, 0, 0, 0, 0,25, 0, 0, 6, 7, 2, 0, 46,270, 04, 54,270, 04,    , 12.3,277, 15.6,   .6,   .0
03028,20030331, 61.2,     , 34.1,     , 47.7,   .0,     ,     , 309,   1,-612,   1, 1468,    1,    0,    0,25.37,30.23,  .00, 0 ,0000,29.10,17 ,1354, 0.00,-1.57, 0.00,     ,     ,     ,   ,    ,    ,   ,  0 ,-  , 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 39, 10, 19, 48, 20, 19,    ,  2.9,287, 12.0,   .3,   .0
03029,20030331, 53.0,     , 22.4,     , 37.7,   .0, 20.8, 30.9, 838,   0, 460,  -1, 5529,    0,    0,    0,23.35,30.10,  .00, 0 ,0000,29.40,18 ,0509, 0.47, 0.12, 0.20,16-17,     ,     ,   ,    ,    ,   ,  0 ,-  , 0, 0, 0, 0, 0,31, 0, 0, 2, 7, 2, 0, 28,240, 26, 33,230,+28,    ,  3.0,257,  6.0,   .7,   .0
03030,20030331, 62.5,     , 31.9,     , 47.2,  3.3, 28.3, 38.4, 546,   0,-108,   0, 4162,    0, -234,    0,26.60,30.25,30.46,29 ,0918,29.13,17 ,1639, 1.15, 0.70, 1.00,18-19,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,15, 0, 0, 2, 3, 2, 0, 37,360, 27, 44,350,+28,    ,  1.5,296, 10.7, 17.6,   .0
03031,20030331, 71.1,     , 43.1,     , 57.1,   .0, 34.7, 46.3, 251,  15,  45, -14, 2637,   15,    0,    0,26.83,30.19,  .00, 0 ,0000,29.32,18 ,1637, 0.14,-2.55, 0.09,19-20,     ,     ,   ,    ,    ,   ,  0 ,-  , 0, 0, 0, 0, 0, 2, 0, 3, 2, 5, 0, 0, 40,340, 27,147,360,+12,    ,  2.8,213, 11.3,   .1,   .0
