WBAN,YearMonth,AvgMaxTemp,DepartureMaxTemp,AvgMinTemp,DepartureMinTemp,AvgTemp,DeparturefromNormal,AvgDewPoint,AvgWetBulb,HeatingDegreeDays,CoolingDegreeDays,HDDMonthlyDeparture,CDDMonthlyDeparture,HDDSeasonToDate,CDDSeasonToDate,HDDSeasonToDateDeparture,CDDSeasonToDateDeparture,MeanStationPressure,MeanSeaLevelPressure,MaxSeaLevelPressure,DateMaxSeaLevelPressure,TimeMaxSeaLevelPressure,MinSeaLevelPressure,DateMinSeaLevelPressure,TimeMinSeaLevelPressure,TotalMonthlyPrecip,DepartureFromNormalPrecip,Max24HrPrecip,DateMax24HrPrecip,TotalSnowfall,Max24HrSnowfall,DateMax24HrSnowfall,Max12ZSnowDepth,DateMax12ZSnowDepth,MaxTemp>=90Days,MaxTemp<=32Days,MinTemp<=32Days,MinTemp<=0Days,ThunderstormDays,HeavyFogDays,DaysWithPrecip>=.01inch,DaysWithPrecip>=.10inch,DaysWithSnowfall>=1.0inch,WaterEquivalent,ResultantWindSpeed,ResultantWindDirection,AvgWindSpeed,AvgHDD,AvgCDD
03013,200911,58.9,M,26.2,M,42.6,M,28.2,35.3,664,0,M,M,M,,M,,26.25,30.05,30.50,04,0847,29.45,13,0135,0.01,M,0.01,15,M,M,M,M,M,0,0,23,0,0,3,0,0,M,M,1.6,27,7.2,22.1,0.0
03016,200911,54.0,M,22.7,M,38.4,M,21.6,30.1,794,0,M,M,M,,M,,24.58,30.16,30.62,24,0821,29.45,13,0125,0.22,M,0.12,14,M,M,M,M,M,0,0,28,0,0,1,2,2,M,M,1.9,24,3.6,26.5,0.0
03017,200911,56.4,4.9,28.8,5.3,42.6,5.1,23.2,33.9,664,0,-162,0,1479,533,71,-163,24.62,30.03,30.44,04,0746,29.37,12,1521,0.49,-0.49,0.33,14-15,M,M,M,M,M,0,1,22,0,0,0,2,2,3,M,4.0,20,8.8,22.1,0.0
03024,200911,66.2,M,38.8,M,52.5,M,31.0,42.2,384,15,M,M,M,,M,,26.90,30.05,30.39,04,2320,29.53,13,0343,0.12,M,0.08,15,M,M,M,M,M,0,0,11,0,1,1,3,0,M,M,3.0,23,9.2,12.8,0.5
03026,200911,55.9,M,28.3,M,42.1,M,27.0,34.6,680,0,M,M,M,,M,,25.76,30.06,30.48,04,0756,29.43,13,0054,0.12,M,0.12,14-15,M,M,M,M,M,0,0,22,0,0,0,2,0,M,M,2.9,28,10.2,22.7,0.0
03027,200911,56.0,M,28.6,M,42.3,M,19.9,32.6,672,0,M,M,M,,M,,23.21,30.09,30.42,25,1918,29.55,13,1513,0.36,M,0.33,28-29,M,M,M,M,M,0,0,17,0,0,3,5,2,M,M,8.5,28,12.8,22.4,0.0
03028,200911,59.7,M,30.7,M,45.2,M,27.3,36.5,585,0,M,M,M,,M,,25.61,30.02,30.44,04,1001,29.46,13,0157,0.20,M,0.20,15,M,M,M,M,M,0,0,20,0,0,0,1,1,M,M,3.1,32,10.0,19.5,0.0
03029,200911,58.4,M,18.2,M,38.3,M,15.7,28.7,727,0,M,M,M,,M,,23.53,30.09,30.51,26,0749,29.57,13,1439,0.42,M,0.28,28-29,M,M,M,M,M,0,0,28,0,0,1,4,3,M,M,1.2,22,3.3,26.0,0.0
03030,200911,63.7,M,33.2,M,48.5,M,31.2,39.9,491,4,M,M,M,,M,,26.83,30.03,30.42,04,1107,29.47,13,0410,0.35,M,0.34,14-15,M,M,M,M,M,0,0,17,0,0,2,3,2,M,M,2.4,28,9.9,16.4,0.1
03031,200911,M,M,M,M,M,M,32.2,44.2,306,1,M,M,M,,M,,M,M,M,M,M,M,M,M,0.08,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,1.8,18,7.6,10.2,0.0
03032,200911,71.7,M,45.3,M,58.5,M,38.4,48.2,194,7,M,M,M,,M,,27.68,30.04,30.35,16,1044,29.68,13,1700,0.02,M,0.02,30,M,M,M,M,M,0,0,0,0,0,0,0,0,M,M,3.3,03,6.9,6.5,0.2
03047,200911,M,M,M,M,M,M,M,M,267,3,M,M,M,,M,,M,M,M,M,M,M,M,M,0.25,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,8.9,0.1
03048,200911,M,M,M,M,M,M,M,M,568,0,M,M,M,,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,19.6,0.0
03054,200911,M,M,M,M,M,M,M,M,505,0,M,M,M,,M,,M,M,M,M,M,M,M,M,0.20,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,16.8,0.0
03055,200911,M,M,M,M,M,M,M,M,517,2,M,M,M,,M,,M,M,M,M,M,M,M,M,0.30,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,17.2,0.1
03060,200911,M,M,M,M,M,M,M,M,891,0,M,M,M,,M,,M,M,M,M,M,M,M,M,1.08,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,29.7,0.0
03061,200911,M,M,M,M,M,M,M,M,734,0,M,M,M,,M,,M,M,M,M,M,M,M,M,0.98,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,24.5,0.0
03062,200911,M,M,M,M,M,M,M,M,914,0,M,M,M,,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,32.6,0.0
03063,200911,M,M,M,M,M,M,M,M,662,0,M,M,M,,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,22.8,0.0
03067,200911,M,M,M,M,M,M,M,M,601,0,M,M,M,,M,,M,M,M,M,M,M,M,M,0.46,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,20.0,0.0
03072,200911,M,M,M,M,M,M,M,M,322,1,M,M,M,,M,,M,M,M,M,M,M,M,M,0.15,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,10.7,0.0
03074,200911,M,M,M,M,M,M,M,M,527,0,M,M,M,,M,,M,M,M,M,M,M,M,M,1.57,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,17.6,0.0
03102,200911,M,M,M,M,M,M,36.7,49.8,113,36,M,M,M,,M,,M,M,M,M,M,M,M,M,0.31,M,M,M,M,M,M,M,M,M,M,M,M,1,2,M,M,M,M,1.4,28,3.7,3.8,1.2
03103,200911,54.9,4.1,23.9,1.8,39.4,2.9,17.7,30.3,759,0,-91,0,1605,171,-112,45,23.28,30.07,30.39,16,0754,29.61,13,0236,0.88,-0.98,0.64,13-14,M,M,M,M,M,0,0,28,0,0,1,3,2,0,M,1.4,16,6.4,25.3,0.0
03104,200911,80.0,1.6,43.3,-0.2,61.7,0.7,33.1,48.5,117,24,-52,-24,M,,M,,30.06,29.94,30.24,16,0918,29.64,12,1942, T ,-0.21,T,M,M,M,M,M,M,3,0,0,0,0,0,0,0,M,M,2.3,33,4.3,3.9,0.8
03124,200911,70.3,M,44.7,M,57.5,M,M,M,M,M,M,M,,M,M,M,25.32,29.97,30.24,16,0816,29.64,13,0738,0.21,M,0.17,29-30,M,M,M,M,M,0,0,0,0,0,0,2,1,M,M,2.8,19,6.5,M,M
03131,200911,M,M,M,M,M,M,43.7,52.0,134,17,M,M,M,,M,,M,M,M,M,M,M,M,M,0.42,M,M,M,M,M,M,M,M,M,M,M,M,0,1,M,M,M,M,1.7,28,3.6,4.5,0.6
03144,200911,80.4,M,48.4,M,64.4,M,30.8,48.5,86,75,M,M,M,,M,,30.00,29.94,30.25,16,0937,29.66,12,1657, T ,M,T,M,M,M,M,M,M,3,0,0,0,0,0,0,0,M,M,3.3,27,4.7,2.9,2.5
03145,200911,79.8,M,53.7,M,66.8,M,31.5,50.2,43,102,M,M,M,,M,,29.72,29.94,30.23,16,1035,29.67,12,2112,0.00,M,0.00,M,M,M,M,M,M,3,0,0,0,0,0,0,0,M,M,3.2,36,4.9,1.4,3.4
03154,200911,M,M,M,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,6,M,M,M,M,M,M,M,M,M
03159,200911,69.7,4.6,31.4,-3.5,50.6,0.6,21.4,38.5,426,0,-25,-1,592,2010,-38,277,27.60,30.06,30.40,16,0727,29.72,12,1436, T ,-0.50,T,M,M,M,M,M,M,0,0,17,0,0,0,0,0,M,M,4.5,28,7.6,14.2,0.0
03160,200911,63.3,-1.0,39.0,1.7,51.2,0.4,16.2,38.2,325,0,-102,-2,485,2419,-77,257,26.62,29.98,30.24,25,0935,29.56,28,0345, T ,-0.34,T,M,M,M,M,M,M,0,0,1,0,0,0,0,0,M,M,2.0,07,8.4,11.6,0.0
03162,200911,M,M,M,M,M,M,21.5,36.3,535,0,M,M,M,,M,,M,M,M,M,M,M,M,M,0.13,M,M,M,M,M,M,M,M,M,M,M,M,1,0,M,M,M,M,0.5,29,2.3,17.8,0.0
03164,200911,75.4,M,41.0,M,58.2,M,M,M,M,M,M,M,,M,M,M,27.20,29.86,30.11,30,0846,29.60,28,0011,0.03,M,0.02,28,M,M,M,M,M,1,0,3,0,0,0,2,0,M,M,M,M,M,M,M
03166,200911,75.7,M,49.1,M,62.4,M,42.6,52.0,89,17,M,M,M,,M,,29.86,29.97,30.16,15,1002,29.74,28,1510,0.03,M,0.01,21,M,M,M,M,M,0,0,0,0,0,2,3,0,M,M,0.5,21,2.0,3.0,0.6
03167,200911,72.4,M,52.8,M,62.6,M,45.1,53.3,82,17,M,M,M,,M,,29.91,29.98,30.18,16,0916,29.75,12,1701,0.02,M,0.01,20,M,M,M,M,M,0,0,0,0,0,5,2,0,M,M,2.0,25,2.6,2.7,0.6
03170,200911,54.3,M,17.0,M,35.7,M,12.5,26.4,871,0,M,M,M,,M,,24.21,30.11,30.61,24,0720,29.65,20,1649,0.00,M,0.00,M,M,M,M,M,M,0,0,28,0,0,0,0,0,M,M,2.5,20,6.0,29.0,0.0
03171,200911,77.0,M,47.7,M,62.4,M,35.1,49.6,106,36,M,M,M,,M,,29.10,29.95,30.17,16,0757,29.71,12,1718,0.14,M,0.13,28-29,M,M,M,M,M,3,0,0,0,0,2,2,1,M,M,M,M,M,3.5,1.2
03177,200911,69.5,M,51.2,M,60.4,M,44.3,52.2,136,5,M,M,M,,M,,29.62,29.97,30.15,16,0010,29.76,28,1337,0.20,M,0.16,28,M,M,M,M,M,0,0,0,0,0,2,5,1,M,M,1.0,25,2.8,4.5,0.2
03178,200911,73.2,M,48.2,M,60.7,M,41.6,51.2,136,16,M,M,M,,M,,29.42,29.97,30.15,16,0858,29.78,13,0151,0.41,M,0.41,28,M,M,M,M,M,0,0,0,0,0,2,1,1,M,M,1.0,21,4.5,4.5,0.5
03179,200911,77.8,M,41.0,M,59.4,M,39.3,49.0,171,9,M,M,M,,M,,29.26,29.99,30.20,15,2338,29.75,12,1723,0.02,M,0.02,27-28,M,M,M,M,M,3,0,0,0,1,8,2,0,M,M,1.2,28,3.0,5.7,0.3
03184,200911,77.7,M,53.3,M,65.5,M,24.0,47.1,72,96,M,M,M,,M,,28.40,29.92,30.20,16,0919,29.62,13,0415,0.03,M,0.03,29,M,M,M,M,M,2,0,0,0,2,0,1,0,M,M,1.7,07,4.3,2.4,3.2
03192,200911,78.4,M,51.8,M,65.1,M,31.6,49.0,78,91,M,M,M,,M,,28.38,29.94,30.21,16,0936,29.64,13,0336,0.04,M,0.04,28-29,M,M,M,M,M,4,0,0,0,0,0,1,0,M,M,0.3,13,1.9,2.6,3.0
03195,200911,58.9,M,18.6,M,38.8,M,M,M,M,M,M,M,,M,M,M,23.65,30.10,30.48,16,0623,29.61,28,1329,0.05,M,0.05,28,M,M,M,M,M,M,M,M,M,0,0,1,0,M,M,M,M,M,M,M
03196,200911,75.8,M,42.4,M,59.1,M,27.0,43.9,181,12,M,M,M,,M,,26.03,29.94,30.18,16,0741,29.63,13,0255,0.04,M,0.04,29,M,M,M,M,M,0,0,1,0,0,0,1,0,M,M,1.4,16,4.6,6.0,0.4
03728,200911,M,M,M,M,M,M,M,M,188,12,M,M,M,,M,,M,M,M,M,M,M,M,M,4.61,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,6.3,0.4
03733,200911,M,M,M,M,M,M,M,M,M,M,M,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,M,M
03739,200911,M,M,M,M,M,M,M,M,333,0,M,M,M,,M,,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,M,M,M,11.1,0.0
