year,month,US,New England : electric utility,CT,ME,MA,NH,RI,VT,Middle Atlantic : electric utility,NJ,NY,PA,East North Central : electric utility,IL,IN,MI,OH,WI,West North Central : electric utility,IA,KS,MN,MO,NE,ND,SD,South Atlantic : electric utility,DE,District Of Columbia : electric utility,FL,GA,MD,NC,SC,VA,WV,East South Central : electric utility,AL,KY,MS,TN,West South Central : electric utility,AR,LA,OK,TX,Mountain : electric utility,AZ,CO,ID,MT,NV,NM,UT,WY,Pacific Contiguous : electric utility,CA,OR,WA,Pacific Noncontiguous : electric utility,AK,HI
2008,8-Jan,1.87,3.24,--,--,--,3.24,--,--,2.52,4.24,2.44,--,1.78,1.66,1.72,1.94,1.76,1.74,1.29,1.15,1.35,1.58,1.44,0.88,1.01,1.68,2.53,--,--,2.66,2.69,--,2.83,2.38,2.56,1.92,2.08,2.15,1.89,3.11,2.02,1.7,1.81,2.27,1.29,1.72,1.44,1.62,1.28,--,1.27,2.24,1.72,1.36,1.2,1.41,--,1.41,--,1.34,1.34,--
2008,8-Feb,1.87,3.06,--,--,--,3.06,--,--,3.22,3.91,3.15,--,1.81,1.72,1.71,2.1,1.81,1.75,1.29,1.12,1.37,1.6,1.44,0.86,1.02,1.64,2.52,--,--,2.61,2.73,--,2.81,2.29,2.52,2.05,2.08,2.12,1.91,2.91,2.05,1.66,1.68,2.34,1.3,1.69,1.46,1.69,1.34,--,1.28,2.12,1.84,1.43,1.19,1.41,--,1.41,--,1.31,1.31,--
2008,8-Mar,1.9,2.95,--,--,--,2.95,--,--,3.26,3.89,3.12,--,1.82,1.71,1.76,2.01,1.82,1.75,1.34,1.14,1.39,1.6,1.52,0.89,1.14,1.67,2.6,--,--,2.62,2.81,--,2.86,2.36,2.56,2.15,2.12,2.19,1.87,3.21,2.1,1.65,1.7,2.29,1.28,1.72,1.47,1.72,1.44,--,1.28,2.13,2.07,1.25,1.15,1.43,--,1.43,--,1.34,1.34,--
2008,8-Apr,1.93,3.8,--,--,--,3.8,--,--,3.14,4.07,2.9,--,1.84,1.7,1.79,1.84,1.91,1.86,1.3,1.17,1.4,1.68,1.47,0.89,1.17,1.68,2.66,--,--,2.63,2.89,--,2.91,2.44,2.58,2.22,2.14,2.19,1.95,3.01,2.09,1.66,1.62,2.4,1.29,1.76,1.49,1.61,1.44,--,1.33,2.18,2.07,1.25,1.21,1.55,--,1.55,--,1.38,1.38,--
2008,8-May,2.02,3.83,--,--,--,3.83,--,--,2.58,3.83,2.39,--,1.92,1.82,1.85,1.96,1.96,1.95,1.34,1.19,1.5,1.65,1.48,0.89,1.15,1.79,2.76,--,--,2.84,2.96,--,3.03,2.41,2.57,2.33,2.27,2.41,2.05,3.18,2.13,1.74,1.73,2.39,1.29,1.86,1.55,1.71,1.42,--,1.26,2.2,2.1,1.42,1.13,1.45,--,1.45,--,1.5,1.5,--
2008,8-Jun,2.06,3.47,--,--,--,3.47,--,--,2.67,3.92,2.43,--,1.96,1.9,1.92,1.98,2,1.97,1.31,1.16,1.39,1.67,1.47,0.9,1.11,1.8,2.88,--,--,2.96,3.16,--,3.12,2.56,2.6,2.51,2.33,2.57,2.1,3.33,2.08,1.82,1.73,2.68,1.35,1.91,1.56,1.7,1.45,--,1.47,2.19,2.11,1.43,1.18,1.45,--,1.45,--,1.51,1.51,--
2008,8-Jul,2.09,3.41,--,--,--,3.41,--,--,2.56,4.43,2.32,--,1.96,1.91,1.92,1.95,2.07,1.93,1.33,1.2,1.43,1.63,1.55,0.88,1.05,1.78,2.99,--,--,3.12,2.99,--,3.4,3.33,2.72,2.46,2.44,2.74,2.17,3.43,2.12,1.78,1.68,2.35,1.32,1.9,1.57,1.77,1.52,--,1.5,2.16,2,1.54,1.09,1.45,--,1.45,--,1.46,1.46,--
2008,8-Aug,2.17,3.64,--,--,--,3.64,--,--,2.62,3.54,2.52,--,1.96,1.62,2,1.87,1.99,2.03,1.32,1.2,1.4,1.63,1.48,0.9,1.06,1.83,3.15,--,--,3.04,3.41,--,3.57,3.3,2.81,2.49,2.64,2.98,2.41,3.29,2.26,1.83,1.73,2.35,1.35,1.94,1.55,1.78,1.43,--,1.26,2.24,1.99,1.32,1.17,1.44,--,1.44,--,1.5,1.5,--
2008,8-Sep,2.19,3.11,--,--,--,3.11,--,--,2.72,4.47,2.51,--,2.02,1.75,1.99,1.98,2.05,2.16,1.36,1.21,1.42,1.66,1.53,0.93,1.11,1.8,3.08,--,--,3.03,3.15,--,3.55,3.22,2.77,2.55,2.77,3.42,2.51,2.94,2.17,1.84,1.8,2.44,1.37,2,1.54,1.79,1.54,--,1.24,2.44,2.13,1.22,1.07,1.44,--,1.44,--,1.52,1.52,--
2008,8-Oct,2.21,3.69,--,--,--,3.69,--,--,2.68,4.53,2.48,--,2.03,1.75,2.07,1.96,2,2.12,1.38,1.25,1.47,1.83,1.55,0.93,1.02,1.81,3.14,--,--,3.07,3.23,--,3.71,3.3,2.68,2.52,2.71,3.32,2.35,3.3,2.19,1.79,1.67,2.22,1.35,2,1.51,1.73,1.51,--,1.94,2.04,1.93,1.3,1.12,1.48,--,1.48,--,1.53,1.53,--
