year,month,US,New England : electric utility,CT,ME,MA,NH,RI,VT,Middle Atlantic : electric utility,NJ,NY,PA,East North Central : electric utility,IL,IN,MI,OH,WI,West North Central : electric utility,IA,KS,MN,MO,NE,ND,SD,South Atlantic : electric utility,DE,District Of Columbia : electric utility,FL,GA,MD,NC,SC,VA,WV,East South Central : electric utility,AL,KY,MS,TN,West South Central : electric utility,AR,LA,OK,TX,Mountain : electric utility,AZ,CO,ID,MT,NV,NM,UT,WY,Pacific Contiguous : electric utility,CA,OR,WA,Pacific Noncontiguous : electric utility,AK,HI
2008,8-Jan,8.31,11.89,13.63,--,11.66,12.12,--,9.14,11.33,10.55,11.33,10.39,8.91,8.76,9.02,9.23,9.32,8.76,8.44,8.85,7.76,8.48,8.46,9.07,8.81,5.8,9.52,10.33,--,9.31,9.45,0,11.64,9.75,11.25,8.45,8.32,8.24,8.91,8.31,8.18,7.53,8.99,8.25,7.35,7.2,7.38,8.01,6.71,8.6,9.1,7.32,7.67,6.27,7.42,7.33,7.27,7.18,8.2,4.05,4.05,--
2008,8-Feb,8.75,11.12,15.74,--,11.16,11.61,--,9.97,11.11,11.04,11.11,10.48,9.2,8.53,9.44,9.21,9.92,9.11,9.31,10.15,8.38,8.84,8.9,10.35,8.23,5.81,9.67,10.41,--,9.56,9.61,0,13.56,10.39,10.35,9.67,8.59,8.81,9.4,8.37,9.08,8.19,9.64,8.87,7.97,8.03,8.06,8.62,7.74,8.81,10.02,8.1,7.97,7.32,7.82,8.11,8.07,7.91,8.67,4.07,4.07,--
2008,8-Mar,9.32,14.79,56.38,--,12.38,13.74,--,10.02,10.57,11.9,10.56,10.36,10.19,8.94,10.31,10.1,10.54,10.22,9.19,9.21,8.91,9.3,9.22,9.33,11.86,6.22,10.11,10.3,--,9.91,14.46,0,10.08,10.16,11.51,10.34,9.73,9.77,10.27,9.64,10.03,8.95,10.38,9.87,8.6,8.74,8.67,9.52,8.28,9.33,11.13,8.44,8.78,8.14,8.3,8.59,8.62,8.28,8.93,4.13,4.13,--
2008,8-Apr,9.73,12.34,54.46,--,11.87,12.08,--,10.57,11,11.28,11,11.11,10.82,9.38,11.14,10.58,12.72,10.79,10.03,11.05,9.46,9.57,10.5,10.8,9.78,4.13,10.26,11.05,--,10.08,11.36,0,21.81,11.26,12.28,10.86,10.33,10.14,15.97,10.21,11.55,9.59,11.36,10.65,9.1,9.43,8.92,9.99,8.45,10.22,11,8.57,8.72,8.4,8.59,9.39,9.29,9.37,10.07,4.23,4.23,--
2008,8-May,10.73,12.65,24.59,--,12.45,19.16,--,11.43,12.21,13.6,12.21,12.07,11.14,10.3,11.75,10.09,13.19,11.59,11.16,11.88,10.1,12.23,10.14,11.01,9.66,4.34,11.03,11.98,--,10.88,12.52,0,13.35,12.31,15.11,12.16,11.9,12.64,12.92,11.64,11.96,10.86,12.35,12.04,9.93,10.52,9.75,10.76,9.4,10.22,12.92,9.06,9.87,9.23,9.28,9.81,9.75,10.09,11.42,4.21,4.21,--
2008,8-Jun,11.69,14.47,26.12,--,14.35,13.88,--,11.56,13.46,13.92,13.46,13.16,13,10.8,13.54,13.77,13.57,12.28,11.06,11.68,10.92,11.54,11.24,10.01,14.5,7.93,12.07,13.07,--,11.64,13.43,0,12.05,13.4,14.17,13.44,13.1,13.58,13.94,12.74,13.52,11.6,13.65,12.96,10.53,11.5,10.42,11.7,9.33,11.81,12.71,9.29,10.98,9.25,9.82,10.44,10.41,16.91,10.16,4.28,4.28,--
2008,8-Jul,11.52,12.83,59.32,--,12.76,12.9,--,13,13.68,13.65,13.68,12.68,12.05,10.57,11.34,13.4,12.12,12.21,10.26,11.32,9.73,11.85,9.93,10.5,12.36,8.2,11.65,12.63,--,11.59,11.75,0,10.68,12.44,12.29,12.69,12.42,13.51,12.61,12.06,11.05,11.67,11.62,12.65,11.02,11.62,11.18,12.31,8.94,9.57,12.71,11.15,11.6,9.35,10.03,10.46,10.55,9.93,10.05,4.95,4.95,--
2008,8-Aug,9.03,9.51,0,--,9.42,9.63,--,10.76,10.2,10.02,10.2,9.95,9.79,9.94,10.32,9.39,9.45,9.89,8.54,8.91,8.31,9.58,8.46,8.88,8.4,6.59,10.03,9.92,--,10.25,9.15,0,9.41,9.13,9.37,10.11,9.52,9.56,10.73,9.39,9.37,8.61,9.72,9.59,8.08,8.49,8.04,8.47,6.93,8.38,9.46,8,8.83,6.92,7.81,7.94,7.94,8.21,7.73,4.81,4.81,--
2008,8-Sep,8.11,9.46,17.06,--,8.75,11.37,--,8.66,8.8,8.91,8.8,8.57,9.19,7.85,8.65,9.69,8.55,9.57,6.76,7.7,5.63,9.22,6.21,7.31,8.8,4.95,10.24,8.57,--,10.65,8.35,0,10.38,8.43,8.32,8.01,8.9,9.18,11.51,8.69,8.05,7.33,8.66,8.61,6.4,7.1,5.48,7.06,3.17,6.06,6.69,5.93,6.08,2.33,4.53,6.33,6.04,6.18,7.73,4.69,4.69,--
2008,8-Oct,6.92,9.42,11.12,--,7.79,10.25,--,7.75,7.8,7.86,7.8,7.11,7.6,7.95,8.39,9.13,8.4,7.24,5.06,7.26,3.79,7.36,4.12,6.98,6.29,3.6,8.95,7.08,--,9.27,7.26,0,9.14,7.09,7.9,7.08,6.17,4.24,13.92,7.25,7.32,5.92,7.85,7.7,4.63,5.68,5.12,5.12,3.78,6.11,5.9,6.51,4.5,3.65,4.82,5.78,5.45,6.28,7.34,5.12,5.12,--
2008,8-Nov,6.78,9.1,29.35,--,7.97,11.92,--,4.69,7.84,7.57,7.84,6.99,9,7.87,9.04,10.17,8.12,8.76,5.49,7.63,4.37,6.85,4.56,6.51,6.34,6.14,9.14,6.96,--,9.41,7.42,0,10.89,7.57,8.07,7.21,6.95,7.3,10.54,6.59,7.26,5.38,10.75,7.02,4.31,5.2,4.81,4.21,3.89,5.82,5.79,6.46,5.03,3.21,4.25,5.54,5.07,6.13,7.76,5.16,5.16,--
2008,8-Dec,7.21,10.56,26.36,--,9.62,8.36,--,8.43,9.24,8.95,9.24,8.18,7.4,7.58,7.08,7.36,7,7.61,6.67,7.17,5.71,7.95,5.93,6.24,6.87,6.38,9.36,8.1,--,9.65,7.12,0,13.11,7.44,7.95,6.14,6.93,7.2,8.35,6.64,6.73,5.89,8.22,6.78,5.29,5.85,6.05,5.75,5.38,6.47,7.38,7.25,5.66,4.84,5.49,6.31,5.81,6.64,8.9,5.24,5.24,--
2009,9-Jan,7.05,12.79,19.17,--,14.07,12.54,--,8.45,NM,--,9.37,NM,6.9,6.86,6.38,10.22,6.28,6.92,NM,6.36,4.71,8.78,5.35,8.72,NM,9.34,NM,NM,--,9.52,6.09,0,12.63,6.02,7.98,6.43,6.08,6.23,7.3,5.9,5.67,5.46,6.61,6.37,4.97,5.32,6.11,5.59,4.57,7.55,7.11,7.73,5.68,4.69,6.72,6.03,5.52,6.39,10.15,5.63,5.63,--
