year,month,US,New England : electric utility,CT,ME,MA,NH,RI,VT,Middle Atlantic : electric utility,NJ,NY,PA,East North Central : electric utility,IL,IN,MI,OH,WI,West North Central : electric utility,IA,KS,MN,MO,NE,ND,SD,South Atlantic : electric utility,DE,District Of Columbia : electric utility,FL,GA,MD,NC,SC,VA,WV,East South Central : electric utility,AL,KY,MS,TN,West South Central : electric utility,AR,LA,OK,TX,Mountain : electric utility,AZ,CO,ID,MT,NV,NM,UT,WY,Pacific Contiguous : electric utility,CA,OR,WA,Pacific Noncontiguous : electric utility,AK,HI
2008,8-Jan,1.87,--,--,--,--,--,--,--,--,--,--,--,1.46,0,0,0,--,1.46,1.4,1.94,1.48,1.04,0,--,--,--,2.07,--,--,2.07,--,--,--,0,--,--,--,--,0,--,--,1.6,--,1.6,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2008,8-Feb,2.05,--,--,--,--,--,--,--,--,--,--,--,1.47,0,0,0,--,1.47,1.5,1.97,1.63,1.04,0,--,--,--,2.38,--,--,2.38,--,--,--,0,--,--,--,--,0,--,--,1.82,--,1.82,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2008,8-Mar,1.92,--,--,--,--,--,--,--,--,--,--,--,1.45,0,0,0,--,1.45,1.53,2.02,1.59,1.04,0,--,--,--,2.05,--,--,2.05,--,--,--,0,--,--,--,--,0,--,--,1.7,--,1.7,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2008,8-Apr,1.86,--,--,--,--,--,--,--,--,--,--,--,1.44,0,0,0,--,1.44,1.77,2.09,1.62,1.07,0,--,--,--,1.91,--,--,1.91,--,--,--,0,--,--,--,--,0,--,--,1.85,--,1.85,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2008,8-May,2.05,--,--,--,--,--,--,--,--,--,--,--,1.45,0,0,0,--,1.45,1.63,1.99,1.61,1.06,0,--,--,--,2.33,--,--,2.33,--,--,--,0,--,--,--,--,0,--,--,2,--,2,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2008,8-Jun,2.05,--,--,--,--,--,--,--,--,--,--,--,1.46,0,0,0,--,1.46,1.5,2.2,1.65,1.07,0,--,--,--,2.17,--,--,2.17,--,--,--,0,--,--,--,--,0,--,--,2.22,--,2.22,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2008,8-Jul,1.78,--,--,--,--,--,--,--,--,--,--,--,1.49,0,0,0,--,1.49,1.73,2.2,1.63,1.06,0,--,--,--,1.55,--,--,1.55,--,--,--,0,--,--,--,--,0,--,--,2.44,--,2.44,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2008,8-Aug,2.41,--,--,--,--,--,--,--,--,--,--,--,1.48,0,0,0,--,1.48,1.5,2.2,1.62,1.05,0,--,--,--,2.72,--,--,2.72,--,--,--,0,--,--,--,--,0,--,--,2.5,--,2.5,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2008,8-Sep,2.31,--,--,--,--,--,--,--,--,--,--,--,1.46,0,0,0,--,1.46,1.55,1.99,1.56,1.34,0,--,--,--,2.37,--,--,2.37,--,--,--,0,--,--,--,--,0,--,--,2.79,--,2.79,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2008,8-Oct,2.21,--,--,--,--,--,--,--,--,--,--,--,1.46,0,0,0,--,1.46,1.51,2.2,1.52,1.32,0,--,--,--,2.13,--,--,2.13,--,--,--,0,--,--,--,--,0,--,--,2.86,--,2.86,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2008,8-Nov,2.37,--,--,--,--,--,--,--,--,--,--,--,1.45,0,0,0,--,1.45,1.57,2.2,1.46,1.32,0,--,--,--,2.03,--,--,2.03,--,--,--,0,--,--,--,--,0,--,--,3.29,--,3.29,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2008,8-Dec,2.53,--,--,--,--,--,--,--,--,--,--,--,1.66,0,0,2,--,1.46,1.59,2.2,1.47,0,1.46,--,--,--,2.57,--,--,2.57,--,--,--,0,--,--,--,--,0,--,--,2.92,--,2.92,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-Jan,2.06,--,--,--,--,--,--,--,--,--,--,--,1.44,--,--,1.88,--,1.41,1.52,2.2,1.51,0,0,--,--,--,2.63,--,--,2.63,--,--,--,0,--,--,1.39,--,1.39,--,--,2.2,--,2.2,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-Feb,1.92,--,--,--,--,--,--,--,--,--,--,--,1.45,--,--,1.82,--,1.43,1.52,0,1.52,0,0,--,--,--,2.45,--,--,2.45,--,--,--,0,--,--,1.17,--,1.17,--,--,1.65,--,1.65,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-Mar,1.72,--,--,--,--,--,--,--,--,--,--,--,1.44,--,--,1.9,--,1.4,1.48,0,1.47,0,1.51,--,--,--,2.47,--,--,2.47,--,--,--,0,--,--,1.2,--,1.2,--,--,1.15,--,1.15,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-Apr,1.15,--,--,--,--,--,--,--,--,--,--,--,1.53,--,1.64,1.88,--,1.39,1.52,0,1.51,0,1.54,--,--,--,1.3,--,--,1.3,--,--,--,0,--,--,1.19,--,1.19,--,--,0.97,--,0.97,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-May,1.86,--,--,--,--,--,--,--,--,--,--,--,1.39,--,0,2.04,--,1.37,1.5,0,1.49,0,1.53,--,--,--,2.44,--,--,2.44,--,--,--,0,--,--,1.03,--,1.03,--,--,0.53,--,0.53,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-Jun,1.78,--,--,--,--,--,--,--,--,--,--,--,1.38,--,0,2.01,--,1.35,1.48,0,1.47,0,1.52,--,--,--,2.48,--,--,2.93,--,--,--,1.07,--,--,0.92,--,0.92,--,--,1.27,--,1.27,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-Jul,1.73,--,--,--,--,--,--,--,--,--,--,--,1.42,--,0,2.14,--,1.39,1.47,0,1.47,0,1.5,--,--,--,3.03,--,--,3.03,--,--,--,0,--,--,1.09,--,1.09,--,--,1.34,--,1.34,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-Aug,1.94,--,--,--,--,--,--,--,--,--,--,--,1.49,--,--,1.82,--,1.48,1.49,0,1.49,0,1.52,--,--,--,2.68,--,--,2.68,--,--,--,0,--,--,0.76,--,0.76,--,--,1.15,--,1.15,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-Sep,1.39,--,--,--,--,--,--,--,--,--,--,--,1.42,--,--,1.83,--,1.39,1.5,0,1.49,0,1.52,--,--,--,2.48,--,--,2.48,--,--,--,0,--,--,0.69,--,0.69,--,--,0.95,--,0.95,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-Oct,1.58,--,--,--,--,--,--,--,--,--,--,--,1.48,--,--,1.8,--,1.47,1.7,0,1.77,0,1.55,--,--,--,2.67,--,--,2.67,--,--,--,0,--,--,0.78,--,0.78,--,--,1.32,--,1.32,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-Nov,1.21,--,--,--,--,--,--,--,--,--,--,--,1.47,--,--,1.81,--,1.45,1.85,0,1.96,0,1.58,--,--,--,1.73,--,--,1.73,--,--,--,0,--,--,0.81,--,0.81,--,--,1.45,--,1.45,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2009,9-Dec,1.64,--,--,--,--,--,--,--,--,--,--,--,1.53,--,--,1.91,--,1.51,1.8,0,1.91,0,1.55,--,--,--,2.53,--,--,2.53,--,--,--,0,--,--,0.88,--,0.88,--,--,1.76,--,1.76,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-Jan,1.76,--,--,--,--,--,--,--,--,--,--,--,1.58,--,--,1.66,--,1.57,1.53,1.95,1.17,0,1.17,--,--,--,2.62,--,--,2.75,--,--,--,0.9,--,--,0.8,--,0.8,--,--,1.81,--,1.81,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-Feb,1.96,--,--,--,--,--,--,--,--,--,--,--,1.55,--,--,1.65,--,1.54,1.62,1.95,1.22,0,1.23,--,--,--,2.94,--,--,2.94,--,--,--,0,--,--,0.74,--,0.74,--,--,1.52,--,1.52,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-Mar,2.24,--,--,--,--,--,--,--,--,--,--,--,1.57,--,--,1.69,--,1.56,1.6,1.95,1.22,0,1.22,--,--,--,2.67,--,--,2.67,--,--,--,0,--,--,0.77,--,0.77,--,--,2.47,--,2.47,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-Apr,2.3,--,--,--,--,--,--,--,--,--,--,--,1.57,--,--,1.64,--,1.56,1.52,1.95,1.23,0,0,--,--,--,2.85,--,--,2.85,--,--,--,0,--,--,0.75,--,0.75,--,--,2.28,--,2.28,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-May,2.32,--,--,--,--,--,--,--,--,--,--,--,1.55,--,--,1.71,--,1.55,1.55,1.95,1.23,0,0,--,--,--,2.87,--,--,2.87,--,--,--,0,--,--,0.95,--,0.95,--,--,2.46,--,2.46,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-Jun,2.22,--,--,--,--,--,--,--,--,--,--,--,1.52,--,--,1.67,--,1.51,1.61,1.95,1.23,0,0,--,--,--,2.67,--,--,2.67,--,--,--,0,--,--,0.62,--,0.62,--,--,2.82,--,2.82,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-Jul,2.5,--,--,--,--,--,--,--,--,--,--,--,1.54,--,--,1.75,--,1.54,1.44,1.69,1.28,0,0,--,--,--,3.12,--,--,3.12,--,--,--,0,--,--,0.79,--,0.79,--,--,2.64,--,2.64,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-Aug,2.69,--,--,--,--,--,--,--,--,--,--,--,1.55,--,--,1.68,--,1.54,1.38,1.69,1.22,0,0,--,--,--,3.39,--,--,3.39,--,--,--,0,--,--,0.93,--,0.93,--,--,2.66,--,2.66,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-Sep,2.71,--,--,--,--,--,--,--,--,--,--,--,1.46,--,--,1.7,--,1.45,1.27,1.69,1.26,0,0,--,--,--,3.51,--,--,3.51,--,--,--,0,--,--,0.85,--,0.85,--,--,2.76,--,2.76,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-Oct,2.51,--,--,--,--,--,--,--,--,--,--,--,1.47,--,--,1.62,--,1.46,1.45,1.69,1.24,0,0,--,--,--,3.47,--,--,3.47,--,--,--,0,--,--,0.71,--,0.71,--,--,2.91,--,2.91,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-Nov,2.28,--,--,--,--,--,--,--,--,--,--,--,1.67,--,--,1.59,--,1.67,1.34,1.69,1.25,0,0,--,--,--,3.26,--,--,3.26,--,--,--,0,--,--,0.85,--,0.85,--,--,2.92,--,2.92,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2010,10-Dec,2.75,--,--,--,--,--,--,--,--,--,--,--,1.68,--,--,2.02,--,1.64,1.48,1.69,1.26,0,0,--,--,--,3.62,--,--,3.62,--,--,--,0,--,--,0.78,--,0.78,--,--,3.06,--,3.06,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-Jan,3.35,--,--,--,--,--,--,--,--,--,--,--,5.82,--,12.6,0,--,1.61,1.77,0,1.77,0,0,--,--,--,4.03,--,--,4.03,--,--,--,0,--,--,0.82,0,0.82,--,--,3,--,3,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-Feb,3.02,--,--,--,--,--,--,--,--,--,--,--,3.09,--,3.58,0,--,1.64,1.75,0,1.75,0,0,--,--,--,4.34,--,--,4.34,--,--,--,0,--,--,0.53,--,0.53,--,--,3.19,--,3.19,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-Mar,3.32,--,--,--,--,--,--,--,--,--,--,--,3.2,--,3.45,0,--,1.6,1.79,0,1.79,0,0,--,--,--,4.23,--,--,4.23,--,--,--,0,--,--,0.5,--,0.5,--,--,3.45,--,3.45,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-Apr,3.52,--,--,--,--,--,--,--,--,--,--,--,4.66,--,5.43,0,--,1.67,0.51,0.51,0,0,0,--,--,--,4.42,--,--,4.42,--,--,--,0,--,--,0.49,--,0.49,--,--,3.37,--,3.37,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-May,3.57,--,--,--,--,--,--,--,--,--,--,--,3.32,--,3.64,0,--,1.6,1.69,1.69,0,0,0,--,--,--,4.57,--,--,4.57,--,--,--,0,--,--,0.52,--,0.52,--,--,3.76,--,3.76,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-Jun,2.85,--,--,--,--,--,--,--,--,--,--,--,3.42,--,4.33,0,--,1.63,1.69,1.69,0,0,0,--,--,--,4.54,--,--,4.54,--,--,--,0,--,--,0.5,--,0.5,--,--,3.55,--,3.55,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-Jul,3.41,--,--,--,--,--,--,--,--,--,--,--,4.88,--,6.91,0,--,1.61,1.69,1.69,0,0,0,--,--,--,4.24,--,--,4.24,--,--,--,0,--,--,0.52,--,0.52,--,--,3.41,--,3.41,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-Aug,3.18,--,--,--,--,--,--,--,--,--,--,--,3.48,--,4.13,0,--,1.63,1.69,1.69,0,0,0,--,--,--,3.8,--,--,3.8,--,--,--,0,--,--,0.51,--,0.51,--,--,3.24,--,3.24,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-Sep,2.94,--,--,--,--,--,--,--,--,--,--,--,3.3,--,4.07,0,--,1.68,1.69,1.69,0,0,0,--,--,--,3.64,--,--,3.64,--,--,--,0,--,--,0.49,--,0.49,--,--,3.02,--,3.02,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-Oct,3.23,--,--,--,--,--,--,--,--,--,--,--,10.03,--,15.3,0,--,1.69,0,0,0,0,0,--,--,--,3.45,--,--,3.45,--,--,--,0,--,--,0.52,--,0.52,--,--,2.72,--,2.72,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-Nov,2.11,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,0,0,0,0,--,--,--,2.84,--,--,2.84,--,--,--,0,--,--,0.51,--,0.51,--,--,2.44,--,2.44,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2011,11-Dec,2.34,--,--,--,--,--,--,--,--,--,--,--,5.42,--,5.42,0,--,0,0,0,0,0,0,--,--,--,2.29,--,--,2.29,--,--,--,0,--,--,0.51,--,0.51,--,--,2.14,--,2.14,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-Jan,2.45,--,--,--,--,--,--,--,--,--,--,--,3.45,--,3.7,0,--,1.68,0,0,0,0,0,--,--,--,2.67,--,--,2.67,--,--,--,0,--,--,1.93,--,1.93,--,--,1.93,--,1.93,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-Feb,2.46,--,--,--,--,--,--,--,--,--,--,--,4.07,--,4.07,0,--,0,0,0,0,0,0,--,--,--,2.67,--,--,2.67,--,--,--,0,--,--,1.93,--,1.93,--,--,1.85,--,1.85,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-Mar,1.93,--,--,--,--,--,--,--,--,--,--,--,1.66,--,0,0,--,1.66,0,0,0,0,0,--,--,--,2.54,--,--,2.54,--,--,--,0,--,--,1.8,--,1.8,--,--,1.85,--,1.85,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-Apr,1.98,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,--,--,--,2.59,--,--,2.59,--,--,--,0,--,--,1.82,--,1.82,--,--,1.65,--,1.65,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-May,2.75,--,--,--,--,--,--,--,--,--,--,--,7.53,--,11.36,0,--,1.69,0,0,0,0,0,--,--,--,2.58,--,--,2.58,--,--,--,0,--,--,1.8,--,1.8,--,--,1.93,--,1.93,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-Jun,2.4,--,--,--,--,--,--,--,--,--,--,--,3.46,--,3.46,0,--,0,0,0,0,0,0,--,--,--,0,--,--,0,--,--,--,0,--,--,1.83,--,1.83,--,--,2.31,--,2.31,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-Jul,2.64,--,--,--,--,--,--,--,--,--,--,--,6.89,--,11.11,0,--,1.71,0,0,0,0,0,--,--,--,2.46,--,--,2.46,--,--,--,0,--,--,1.85,--,1.85,--,--,2.05,--,2.05,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-Aug,2.62,--,--,--,--,--,--,--,--,--,--,--,4.07,--,4.07,0,--,0,0,0,0,0,0,--,--,--,2.82,--,--,2.82,--,--,--,0,--,--,1.77,--,1.77,--,--,2.05,--,2.05,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-Sep,2.5,--,--,--,--,--,--,--,--,--,--,--,3.76,--,4.24,0,--,1.64,0,0,0,0,0,--,--,--,2.72,--,--,2.72,--,--,--,0,--,--,1.83,--,1.83,--,--,2.15,--,2.15,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-Oct,2.07,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,--,--,--,2.31,--,--,2.31,--,--,--,0,--,--,1.78,--,1.78,--,--,2.07,--,2.07,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-Nov,2,--,--,--,--,--,--,--,--,--,--,--,1.79,--,0,0,--,1.79,0,0,0,0,0,--,--,--,2.21,--,--,2.21,--,--,--,0,--,--,1.84,--,1.84,--,--,1.99,--,1.99,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2012,12-Dec,2.05,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,--,--,--,2.43,--,--,2.43,--,--,--,0,--,--,1.84,--,1.84,--,--,1.93,--,1.93,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-Jan,1.97,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,0,0,0,0,0,--,--,--,2.19,--,--,2.19,--,--,--,0,--,--,1.88,--,1.88,--,--,1.95,--,1.95,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-Feb,2.05,--,--,--,--,--,--,--,0,--,0,--,1.5,--,0,1.5,--,0,0,0,0,0,0,--,--,--,2.48,--,--,2.48,--,--,--,0,--,--,1.83,--,1.83,--,--,1.92,--,1.92,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-Mar,2,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,0,0,0,0,0,--,--,--,2.17,--,--,2.17,--,--,--,0,--,--,1.84,--,1.84,--,--,2.04,--,2.04,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-Apr,2.23,--,--,--,--,--,--,--,0,--,0,--,0,--,0,0,--,0,0,0,0,0,0,--,--,--,2.8,--,--,2.8,--,--,--,0,--,--,1.79,--,1.79,--,--,2.01,--,2.01,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-May,2.28,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,--,--,--,2.81,--,--,2.81,--,--,--,0,--,--,1.87,--,1.87,--,--,1.96,--,1.96,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-Jun,2.36,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,0,0,0,0,0,0,--,--,--,2.86,--,--,2.86,--,--,--,0,--,--,1.82,--,1.82,--,--,2,--,2,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-Jul,2.25,--,--,--,--,--,--,--,--,--,--,--,1.7,--,0,0,--,1.7,0,0,0,0,0,--,--,--,2.67,--,--,2.67,--,--,--,0,--,--,1.82,--,1.82,--,--,2.04,--,2.04,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-Aug,2.15,--,--,--,--,--,--,--,--,--,--,--,1.75,--,0,0,--,1.75,0,0,0,0,0,--,--,--,2.54,--,--,2.54,--,--,--,0,--,--,1.78,--,1.78,--,--,1.92,--,1.92,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-Sep,2.09,--,--,--,--,--,--,--,--,--,--,--,1.38,--,0,1.38,--,0,0,0,0,0,0,--,--,--,2.54,--,--,2.54,--,--,--,0,--,--,1.73,--,1.73,--,--,1.83,--,1.83,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-Oct,2.06,--,--,--,--,--,--,--,--,--,--,--,1.48,--,0,1.39,--,1.81,0,0,0,0,0,--,--,--,2.57,--,--,2.57,--,--,--,0,--,--,1.74,--,1.74,--,--,1.94,--,1.94,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-Nov,1.87,--,--,--,--,--,--,--,--,--,--,--,1.44,--,0,1.44,--,0,0,0,0,0,0,--,--,--,2.08,--,--,2.08,--,--,--,0,--,--,1.78,--,1.78,--,--,1.93,--,1.93,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2013,13-Dec,1.93,--,--,--,--,--,--,--,--,--,--,--,1.45,--,0,1.45,--,0,0,0,0,0,0,--,--,--,2.24,--,--,2.24,--,--,--,0,--,--,1.74,--,1.74,--,--,1.91,--,1.91,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014,14-Jan,1.79,--,--,--,--,--,--,--,--,--,--,--,1.24,--,1.07,1.45,--,1.88,0,0,0,0,0,--,--,--,2.4,--,--,2.4,--,--,--,0,--,--,1.84,--,1.84,--,--,1.83,--,1.83,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014,14-Feb,2.01,--,--,--,--,--,--,--,--,--,--,--,1.37,--,1.07,1.43,--,1.88,0,0,0,0,0,--,--,--,2.32,--,--,2.32,--,--,--,0,--,--,1.68,--,1.68,--,--,1.91,--,1.91,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014,14-Mar,1.94,--,--,--,--,--,--,--,--,--,--,--,1.22,--,1.05,1.43,--,1.85,0,0,0,0,0,--,--,--,2.4,--,--,2.4,--,--,--,0,--,--,1.71,--,1.71,--,--,2,--,2,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014,14-Apr,2.07,--,--,--,--,--,--,--,--,--,--,--,1.22,--,0.97,1.45,--,1.84,0,0,0,0,0,--,--,--,2.37,--,--,2.37,--,--,--,0,--,--,1.73,--,1.73,--,--,2.24,--,2.24,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2014,14-May,2.13,--,--,--,--,--,--,--,0,--,0,--,1.29,0,0.97,1.46,--,1.89,0,0,0,--,0,--,--,--,2.71,--,--,2.71,--,--,--,0,--,--,1.74,--,1.74,--,--,2.28,--,2.28,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
