year,month,US,New England : electric utility,CT,ME,MA,NH,RI,VT,Middle Atlantic : electric utility,NJ,NY,PA,East North Central : electric utility,IL,IN,MI,OH,WI,West North Central : electric utility,IA,KS,MN,MO,NE,ND,SD,South Atlantic : electric utility,DE,District Of Columbia : electric utility,FL,GA,MD,NC,SC,VA,WV,East South Central : electric utility,AL,KY,MS,TN,West South Central : electric utility,AR,LA,OK,TX,Mountain : electric utility,AZ,CO,ID,MT,NV,NM,UT,WY,Pacific Contiguous : electric utility,CA,OR,WA,Pacific Noncontiguous : electric utility,AK,HI
2008,8-Jan,14.53,18.84,21.77,18.15,17.75,19.45,18.38,17.79,13.04,17.02,13.02,18.28,18.68,23.21,19.89,15.72,19.34,17.5,20.08,20.08,19.12,20.39,19.28,20.49,19.54,22.09,12.18,18.45,--,9.79,20.56,16.28,19.25,19.43,14.38,19.99,18.73,18.21,19.28,16.85,18.52,8.87,14.43,7.59,18.17,18.68,21.36,19.9,19.47,19.79,18.91,19.68,22.58,19.16,20.77,20.07,19.96,0,21.65,16.01,19.7,15.24
2008,8-Feb,15.29,19.39,22.14,19.03,17.64,20.26,19.24,18.71,12.78,18.5,12.76,19.12,19.84,19.54,20.85,19.1,19.56,20.39,20.49,21.47,20.26,20.33,19.85,20.66,20.92,20.51,12.43,19.46,--,9.02,19.44,16.97,19.29,21.29,12.7,20.67,19.77,20.02,20.56,20.11,19.2,7.12,20.51,19.2,19.01,3.06,22.65,25.3,23.74,20.8,19.66,20.62,21.98,20.61,21.72,21.32,21.28,0,21.98,16.37,20.55,15.62
2008,8-Mar,15.16,22.21,26.25,19.37,16.21,23.19,19.5,18.71,15.96,15.07,16.37,19.43,21.64,26.29,22.95,19.87,21.15,22.34,23.36,23.34,23.62,22.54,23.42,22.82,23.74,23.5,13.47,19.52,--,12.9,14.44,16.98,23,14.59,19.04,23.01,22.68,21.1,23.52,21.47,22.82,12.49,11.17,20.25,18.47,21.11,23.57,23.27,24.57,21.92,24.04,21.83,25.25,22.61,23.36,22.17,21.52,0,26.85,15.29,22.68,14.4
2008,8-Apr,14.76,22.57,22.15,21.65,17.41,23.79,22.36,21.03,13.92,22.78,13.85,22.19,22.39,27.98,25.12,23.11,22.67,6.74,25.45,26.2,25.27,25.45,24.63,25.87,25.6,25.3,12.57,22.7,--,12.32,15.75,18.68,24.47,11.16,13.85,24.88,24.9,25.56,25.21,21.17,24.61,14.75,20.29,7.84,21.12,23.58,26.24,24.85,27.18,26.4,26.77,26.96,26.82,25.5,25.71,24.29,23.83,0,27.51,16.94,26.11,15.91
2008,8-May,16.79,26.79,26.02,25.71,24.39,29.77,26.16,26.47,26.35,22.13,27.05,26.33,25.76,30.61,27.62,24.53,27.41,25.78,28.26,28.44,28.66,29.05,27.01,28.88,28.73,30.13,14.76,25.67,--,14.08,16.54,25.04,26.99,16.63,25.8,27.18,26.13,26.83,26.37,21.34,26.56,10.24,19.25,7.74,26.54,26.93,29.86,30,30.66,30.95,21.47,30.25,30.71,29.38,28.51,25.51,25.67,0,24.83,19.02,28.96,17.3
2008,8-Jun,17.6,25.74,25.51,25.12,22.58,28.24,25.64,25.44,19.13,18.68,19.26,25.81,24.73,27.05,28.52,22.81,26.8,26.51,24.43,19.97,28.2,27.28,27.53,29.28,29.3,30.22,15.64,25.2,--,15.29,16.22,23.44,28.58,22.67,16.97,25.95,20.49,22.29,28.49,9.51,27.45,13.26,15.35,7.76,26.83,27.43,28.13,29.95,25.38,30.68,22.37,30.57,33.94,24.37,29.95,28.55,26.68,0,32.89,19.49,30.05,18.69
2008,8-Jul,20.13,18.02,25.25,25.04,25.65,17.65,25.4,25.26,21.58,23.35,21.57,25.59,23.88,26.02,29.38,18.41,28.24,26.3,28.33,28.88,27.76,28.44,27.8,29.23,27.73,29.09,18.1,25.59,--,17.67,15.36,22.8,28.41,9.19,24.03,29.37,27.65,26.62,28.73,24.04,27.46,10.43,15.8,8.01,26.21,25.79,30.39,31.5,27.65,29.7,22.27,29.27,35.08,29.04,29.21,30.3,30.22,0,30.8,22.23,28.47,21.43
2008,8-Aug,19.24,23.03,22.33,22.02,20.08,25.19,22.52,22.22,18,22.25,17.97,22.59,22.63,24,25.29,20.29,23.14,24.26,25.41,26.15,24.55,25.02,24.45,27.41,25.74,27.16,16.7,22.59,--,16.37,19.54,20.74,24.4,14.18,17.07,24.69,20.88,23.83,24.6,12.8,23.43,12.37,16.78,7.98,16.19,24.09,24.96,25.61,24.3,27.17,21.55,26.85,29.34,26.55,21.22,29.03,27.15,0,38.08,22.29,26.05,22.01
2008,8-Sep,16.34,18.48,20.45,19.92,17.53,21.87,20.25,20.13,15.1,20.62,15.07,20.33,22.7,23.67,23.92,21.96,22.67,24.03,24.29,23.94,23.6,24.78,23.68,25.58,25.05,25.7,15.07,20.2,--,14.85,18.82,19.04,23.46,16.28,22.15,24.45,14.23,22.98,24.47,8.78,22.38,9.74,17.45,9.72,12.97,12.8,24.16,25.13,24.26,26.41,25.45,23.67,17.01,24.88,25.73,25.24,24.59,0,33.86,19.87,23.93,19.41
2008,8-Oct,16.66,18.21,19.5,18.4,15.72,18.59,18.71,18.15,14.08,18.05,13.98,19.12,19.34,18.58,19.41,19.77,18.49,21.3,19.39,22.36,18.69,20.06,18.84,18.78,18.56,20.82,13.11,18.87,--,12.46,29.8,16.57,18.49,14.6,14.28,21.13,13.83,27.97,19.13,10.17,16.03,11.82,16.61,11.07,16.72,15.28,19.92,15.28,21.67,21.63,17.85,19.88,21.4,20.81,17.36,20.84,21.13,0,19.23,19.47,18.95,19.53
2008,8-Nov,12.68,13.41,17.27,16.82,13.24,15.09,17.22,16.66,8.46,7.83,16.63,17.19,15.49,14.41,15.56,15.07,14.51,23.18,15.09,15.57,15.4,14.5,14.88,15.68,15.81,17.02,8.83,17.06,--,8.1,11.3,14.94,14.69,12.09,6.75,15.83,13.95,13.1,13.92,17.32,14.43,10.75,7.3,9.6,14.75,14.56,16.26,15.56,16.58,17.17,18.3,15.48,18.1,16.05,16.42,18.71,17.64,0,23.91,15.62,14.52,15.82
2008,8-Dec,8.77,7.38,12.35,12.11,11.13,7.06,12.34,11.38,6.42,6.76,6.38,12.32,11.45,19.32,11.14,11.07,11.5,8.31,10.57,11.41,11.05,9.98,11.09,5.73,14.69,13.7,6.92,12.36,--,5.83,14.89,9.97,10.96,7.31,6,11.43,10.9,10.76,10.84,12.65,10.9,8.96,8.04,9.59,14.83,12.06,14.14,11.75,17.09,12.71,10.35,10.64,13.58,13.22,13.7,11.56,12.82,9.76,22.3,10.86,10.29,10.96
2009,9-Jan,8,NM,NM,NM,11.05,6.1,NM,NM,NM,NM,7.19,NM,11.04,15.45,11.59,9.35,11.02,11.21,NM,NM,11.32,15.19,11.28,NM,11.43,11.45,NM,NM,--,6.22,11.37,NM,11.08,9.59,7.69,11.87,11.58,12.34,12.16,10.91,10.68,NM,7.12,9.44,NM,NM,NM,15.39,NM,NM,NM,12.09,14,NM,12.56,10.01,12.11,9.08,12.28,8.67,10.35,8.25
2009,9-Feb,8.22,NM,NM,NM,10.63,6.24,NM,NM,NM,7.07,6.73,NM,10.02,10.74,10.58,9.08,9.83,10.74,NM,9.42,9.13,8.14,10.08,NM,10.16,NM,NM,0,--,8.35,9.7,NM,10.19,8.19,11.23,12.07,10.21,9.45,10.95,10.46,9.54,NM,8.24,9.21,NM,10.05,NM,NM,9.5,NM,NM,10.89,11.34,NM,10.5,NM,NM,9.05,11.63,8.2,10,7.74
2009,9-Mar,8.41,NM,NM,NM,8.77,10.96,NM,NM,NM,11.24,10.46,NM,9.64,11,9.93,8.65,10.74,8.4,NM,10.71,10.59,8.89,10.65,9.45,10.83,NM,NM,0,--,8.23,9.75,NM,9.98,6.37,7.88,10.66,10.49,9.78,10.78,14.87,10.05,NM,7.06,8.85,NM,9.41,NM,NM,9.66,NM,NM,12.27,10.52,10.08,10.72,10.19,11.11,9.05,11.56,8.3,10.64,7.81
2009,9-Apr,8.91,NM,NM,NM,NM,11.96,NM,NM,NM,0,11.02,NM,9.23,11.88,11.1,7.76,11.06,10.98,NM,10.46,11.33,10.56,11.76,5.79,11.19,NM,NM,0,--,8.88,11.02,NM,10.84,6.48,12.97,11.48,NM,9.13,11.75,NM,10.46,NM,8.36,NM,NM,10.9,NM,NM,10.64,NM,NM,11.98,13.17,11.25,9,11.19,10.99,0,12.35,8.24,10.2,7.68
2009,9-May,9.27,NM,NM,NM,NM,11.88,NM,NM,NM,8.47,12.07,NM,10.54,11.73,11.52,9.79,11.49,10.87,NM,11.8,NM,11.81,11.54,6.3,12.39,12.04,NM,0,--,9.38,9.93,NM,11.22,8.76,8.41,13.56,NM,12.01,12.57,NM,10.91,13.54,16.5,11.07,15.52,12.33,NM,12.89,11.4,NM,NM,12.94,12.75,12.63,13.14,12.31,12.39,0,11.74,8.85,12.65,8.38
2009,9-Jun,10.43,NM,NM,NM,13.95,13.78,NM,NM,NM,15.04,10.21,NM,10.67,15.07,13.61,8.16,13.69,13.99,NM,13.52,NM,11.84,13.76,13.36,14.59,NM,NM,0,--,10.04,14.34,NM,13.65,10.02,11.85,14.63,13.71,12.05,14.23,16.16,13.11,NM,16.13,13.75,NM,13.75,NM,NM,12.78,NM,NM,15.47,13.43,14.87,14.13,13.11,13.14,0,12.92,10.33,14.36,9.67
