Average cost of fossil fuels for electricity generation (per Btu) for petroleum liquids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,units,source key,Jan-08,Feb-08,Mar-08,Apr-08,May-08,Jun-08,Jul-08,Aug-08,Sep-08,Oct-08,Nov-08,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16
Average cost of fossil fuels for electricity generation (per Btu) for petroleum liquids,dollars per million Btu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,ELEC.COST_BTU.PEL-US-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : all sectors,,ELEC.COST_BTU.PEL-US-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-US-98.M,14.97,15.4,15.23,15.01,17.59,18.59,20.47,19.69,16.94,15.96,12,8.61,8.1,8.04,8.35,9.2,9.37,10.58,11.4,12.28,13.56,12.96,12.89,13.35,13.47,13.78,13.99,14.99,13.87,13.36,13.38,13.35,13.46,15.1,15.91,16.74,17.09,18.36,19.78,20.55,19.42,21.7,21.61,19.71,21.22,21.32,21.46,22.04,21.93,22.47,23.13,24,23.42,22.24,20.7,21.32,W,22.42,22.54,20.87,21.09,21.08,20.2,W,20.78,21.07,20.57,19.71,20.18,20.88,20.11,21,21.9,21.62,21.95,21.77,21.24,21.48,21.37,W,19.7,18.52,16.52,13.87,12.75,12.56,12.51,13.18,12.69,13.59,12.55,12.06,9.62,9.04,8.93,8.76,7.87,6.92,6.86,W,9.78,10.4,11.83,9.42,9.38,9.97,10.06
United States : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-US-1.M,14.53,15.29,15.16,14.76,16.79,17.6,20.13,19.24,16.34,16.66,12.68,8.77,8,8.22,8.41,8.91,9.27,10.43,11.24,12.09,13.17,12.78,12.87,13.33,13.16,13.59,14.11,14.96,13.61,13.16,13.29,13.08,13.35,14.98,15.82,16.79,16.98,18.27,19.55,20.3,19.03,21.88,21.86,20.63,20.94,21.63,21.75,21.94,21.73,22.16,22.94,23.78,23.35,22.42,20.71,21.17,21.88,22.21,22.46,21.36,21.08,21.34,20.43,21.99,20.9,21.31,20.82,19.78,21.66,21.98,21.61,21.58,21.72,21.72,21.53,21.74,21.88,21.65,21.28,20.61,19.9,19.33,17.71,13.22,11.79,11.71,12.11,13.26,12.5,13.66,12.47,11.75,9.75,9.43,8.8,8.52,7.88,6.92,6.69,8.35,9.12,10.51,11.54,9.14,9.03,9.75,9.79
United States : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-US-94.M,15.86,15.7,15.46,15.96,23.16,22.1,21.44,21.61,20,14.74,10.76,8.3,8.25,7.77,8.25,10.48,10.19,11.54,12.65,13.25,15.18,13.94,12.98,13.41,14.92,14.78,13.69,15.12,15.27,14.22,13.66,14.55,13.97,15.45,16.19,16.62,17.44,18.64,21.18,21.43,21.66,20.81,21.18,16.66,22.29,20.28,20.57,22.35,22.6,23.54,24.81,25.16,23.65,21.63,20.68,21.95,W,23.25,22.75,19.6,21.11,20.68,19.63,W,20.48,20.51,20.03,19.54,18.64,19.14,18.52,19.73,22.05,21.53,22.59,21.88,20.19,21.11,21.59,W,19.2,17.58,15.62,15.41,15.01,13.25,13.58,12.9,13.09,13.32,12.82,12.58,9.47,8.7,9.13,9.61,7.85,6.92,7.48,W,11.84,10.07,12.97,10.26,10.16,10.39,10.76
New England,,ELEC.COST_BTU.PEL-NEW-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England : all sectors,,ELEC.COST_BTU.PEL-NEW-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-NEW-98.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,18.12,W,W,W,NM,20.58,NM,NM,W,W,W,22.33,20.96,23.11,23.72,19.36,W,18.44,20.76,25.26,26.72,21.22,W,18.24,W,W,W,17.03,W,W,W,W,W,W,W,W,W,W,22.11,W,W,W,W,W,16.79,W,W,W,W,W,W,W,W,13.37,W,W,7.71,W,W,10.49,W,10.07,7.19,W,W,7.61,W,W,W,W
New England : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-NEW-1.M,18.84,19.39,22.21,22.57,26.79,25.74,18.02,23.03,18.48,18.21,13.41,7.38,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,23.44,23.93,24.5,26.1,21.54,16.65,21.37,23.75,25.07,26.6,25.41,23.33,17.53,24.42,16.12,23.47,23.07,21.41,22.37,16.19,21.98,21.86,18.49,22.28,23.16,19.13,22.79,23.05,23.18,22.25,21.1,16.5,16.87,19.37,18.19,9.64,13.04,20.05,15.2,14.23,10.01,17.02,15.97,11.76,13.49,0,14.25,16.59,9.99,9.37,9.62,0,9.59,9.17,9.12,10.15,9.98,12.82,12.16
New England : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-NEW-94.M,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,17.82,W,W,W,NM,20.46,NM,NM,W,W,W,22.09,19.67,22.7,23.59,19.35,W,18.31,20.58,25.27,26.73,20.57,W,18.66,W,W,W,16.95,W,W,W,W,W,W,W,W,W,W,21.98,W,W,W,W,W,16.44,W,W,W,W,W,W,W,W,13.11,W,W,7.71,W,W,10.59,W,10.11,7.19,W,W,7.13,W,W,W,W
Connecticut,,ELEC.COST_BTU.PEL-CT-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut : all sectors,,ELEC.COST_BTU.PEL-CT-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-CT-98.M,15.27,W,W,W,28.55,W,W,W,W,17.09,15.5,W,W,W,W,W,W,NM,15.65,17.36,W,W,17.02,W,19.27,W,W,20.27,19.6,12.85,W,13.6,13.8,21.28,W,W,NM,W,NM,NM,NM,NM,W,NM,NM,NM,NM,NM,W,W,W,W,W,W,W,W,W,27.67,26.35,23.77,24.92,W,W,W,W,W,23.85,0,W,W,W,W,W,W,27.14,26.29,W,W,W,W,W,W,W,W,15.26,W,16.52,0,W,W,W,W,W,W,W,W,W,8.7,W,W,0,0,W,10.74,11.71,0,W
Connecticut : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-CT-1.M,21.77,22.14,26.25,22.15,26.02,25.51,25.25,22.33,20.45,19.5,17.27,12.35,NM,NM,NM,NM,NM,NM,NM,NM,16.68,NM,NM,NM,NM,17.78,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,20.58,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,0,0,0,0,0,0,0,0,0,0,26.27,22.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Connecticut : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-CT-94.M,15.24,W,W,W,28.58,W,W,W,W,16.93,15.43,W,W,W,W,W,W,NM,15.66,17.37,W,W,17.02,W,19.29,W,W,20.28,19.61,12.84,W,13.59,13.79,21.3,W,W,NM,W,NM,NM,NM,NM,W,NM,NM,NM,NM,NM,W,W,W,W,W,W,W,W,W,27.67,26.37,24.92,24.92,W,W,W,W,W,23.85,0,W,W,W,W,W,W,27.14,26.29,W,W,W,W,W,W,W,W,15.26,W,16.52,0,W,W,W,W,W,W,W,W,W,8.7,W,W,0,0,W,10.74,11.71,0,W
Maine,,ELEC.COST_BTU.PEL-ME-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine : all sectors,,ELEC.COST_BTU.PEL-ME-99.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maine : electric power,dollars per million Btu,ELEC.COST_BTU.PEL-ME-98.M,W,19.16,19.97,20.12,W,25.5,26.83,W,W,17.26,W,W,W,W,W,W,W,W,W,14.66,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
Maine : electric utility,dollars per million Btu,ELEC.COST_BTU.PEL-ME-1.M,18.15,19.03,19.37,21.65,25.71,25.12,25.04,22.02,19.92,18.4,16.82,12.11,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine : independent power producers,dollars per million Btu,ELEC.COST_BTU.PEL-ME-94.M,W,19.17,20.01,19.81,W,25.56,27.07,W,W,17.07,W,W,W,W,W,W,W,W,W,14.66,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W
