"Revenue from Sales to Ultimate Customers (Thousand Dollars) by State by Provider, 1990-2015",,,,,,,,
Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2015,AK,Total Electric Industry,"405,270","481,839","196,314",0,NA,"1,083,422"
2015,AL,Total Electric Industry,"3,731,831","2,538,645","2,021,316",0,NA,"8,291,793"
2015,AR,Total Electric Industry,"1,794,303","1,011,199","998,757",49,NA,"3,804,308"
2015,AZ,Total Electric Industry,"4,023,333","3,042,894","932,651",584,NA,"7,999,461"
2015,CA,Total Electric Industry,"15,187,827","18,627,081","6,394,328","75,346",NA,"40,284,581"
2015,CO,Total Electric Industry,"2,227,990","2,016,563","1,129,021","6,477",NA,"5,380,050"
2015,CT,Total Electric Industry,"2,699,306","2,069,571","444,588","25,399",NA,"5,238,864"
2015,DC,Total Electric Industry,"324,309","987,107","20,928","30,043",NA,"1,362,386"
2015,DE,Total Electric Industry,"650,835","432,571","201,235",0,NA,"1,284,641"
2015,FL,Total Electric Industry,"14,216,590","9,106,202","1,388,136","8,515",NA,"24,719,443"
2015,GA,Total Electric Industry,"6,511,155","4,662,637","1,887,035","9,004",NA,"13,069,830"
2015,HI,Total Electric Industry,"781,896","854,791","852,083",0,NA,"2,488,769"
2015,IA,Total Electric Industry,"1,603,951","1,076,729","1,255,122",0,NA,"3,935,802"
2015,ID,Total Electric Industry,"799,700","488,546","576,477",0,NA,"1,864,722"
2015,IL,Total Electric Industry,"5,581,101","4,540,480","2,875,406","35,653",NA,"13,032,639"
2015,IN,Total Electric Industry,"3,753,084","2,349,168","3,294,957","2,085",NA,"9,399,293"
2015,KS,Total Electric Industry,"1,634,552","1,553,019","854,187",0,NA,"4,041,758"
2015,KY,Total Electric Industry,"2,680,343","1,848,262","1,660,850",0,NA,"6,189,455"
2015,LA,Total Electric Industry,"2,943,587","2,165,878","1,900,895",979,NA,"7,011,339"
2015,MA,Total Electric Industry,"4,000,022","4,135,789","1,068,927","27,418",NA,"9,232,156"
2015,MD,Total Electric Industry,"3,786,876","3,295,693","331,187","44,707",NA,"7,458,464"
2015,ME,Total Electric Industry,"727,922","501,148","290,360",0,NA,"1,519,430"
2015,MI,Total Electric Industry,"4,810,815","4,057,255","2,154,662",491,NA,"11,023,223"
2015,MN,Total Electric Industry,"2,630,742","2,207,024","1,506,272","2,300",NA,"6,346,338"
2015,MO,Total Electric Industry,"3,799,962","2,797,527","1,096,388","1,724",NA,"7,695,601"
2015,MS,Total Electric Industry,"2,092,177","1,517,771","1,032,686",0,NA,"4,642,633"
2015,MT,Total Electric Industry,"525,004","500,514","238,769",0,NA,"1,264,287"
2015,NC,Total Electric Industry,"6,531,847","4,210,468","1,804,121",684,NA,"12,547,119"
2015,ND,Total Electric Industry,"467,895","554,633","563,700",0,NA,"1,586,227"
2015,NE,Total Electric Industry,"1,010,527","807,429","808,820",0,NA,"2,626,776"
2015,NH,Total Electric Industry,"837,549","672,092","252,331",0,NA,"1,761,972"
2015,NJ,Total Electric Industry,"4,607,270","4,952,384","778,985","31,193",NA,"10,369,832"
2015,NM,Total Electric Industry,"828,169","914,719","479,753",0,NA,"2,222,641"
2015,NV,Total Electric Industry,"1,574,103","889,432","948,626",760,NA,"3,412,922"
2015,NY,Total Electric Industry,"9,456,188","11,785,740","1,140,573","364,797",NA,"22,747,297"
2015,OH,Total Electric Industry,"6,590,569","4,743,183","3,548,736","3,049",NA,"14,885,537"
2015,OK,Total Electric Industry,"2,293,592","1,588,067","964,329",0,NA,"4,845,987"
2015,OR,Total Electric Industry,"1,948,315","1,410,427","773,009","2,205",NA,"4,133,956"
2015,PA,Total Electric Industry,"7,423,145","4,199,202","3,411,815","60,692",NA,"15,094,854"
2015,RI,Total Electric Industry,"604,825","584,484","109,866","4,795",NA,"1,303,970"
2015,SC,Total Electric Industry,"3,778,451","2,239,686","1,774,038",0,NA,"7,792,175"
2015,SD,Total Electric Industry,"506,522","434,765","204,932",0,NA,"1,146,220"
2015,TN,Total Electric Industry,"4,291,880","3,553,029","1,418,464",0,NA,"9,263,373"
2015,TX,Total Electric Industry,"16,838,434","11,115,260","6,161,020","9,585",NA,"34,124,300"
2015,UT,Total Electric Industry,"992,264","1,001,542","580,074","5,589",NA,"2,579,468"
2015,VA,Total Electric Industry,"5,221,259","3,969,545","1,218,736","15,929",NA,"10,425,468"
2015,VT,Total Electric Industry,"356,986","292,344","146,022",0,NA,"795,352"
2015,WA,Total Electric Industry,"3,098,110","2,405,629","1,164,912",433,NA,"6,669,084"
2015,WI,Total Electric Industry,"2,994,383","2,561,808","1,816,081",28,NA,"7,372,300"
2015,WV,Total Electric Industry,"1,153,344","671,690","795,823",0,NA,"2,620,857"
2015,WY,Total Electric Industry,"293,517","358,000","697,582",0,NA,"1,349,099"
2015,US,Total Electric Industry,"177,623,623","144,781,453","68,165,883","770,510",NA,"391,341,468"
2015,AK,Full-Service Providers,"405,270","481,839","196,314",0,NA,"1,083,422"
2015,AL,Full-Service Providers,"3,731,831","2,538,645","2,021,316",0,NA,"8,291,793"
2015,AR,Full-Service Providers,"1,794,303","1,011,199","998,757",49,NA,"3,804,308"
2015,AZ,Full-Service Providers,"4,023,333","3,042,894","932,651",584,NA,"7,999,461"
2015,CA,Full-Service Providers,"14,869,855","16,605,719","5,427,870","52,312",NA,"36,955,756"
2015,CO,Full-Service Providers,"2,227,990","2,016,563","1,129,021","6,477",NA,"5,380,050"
2015,CT,Full-Service Providers,"1,704,475","544,552","93,251",0,NA,"2,342,278"
2015,DC,Full-Service Providers,"236,259","161,395",0,0,NA,"397,654"
2015,DE,Full-Service Providers,"598,753","212,968","89,611",0,NA,"901,331"
2015,FL,Full-Service Providers,"14,216,590","9,106,202","1,388,136","8,515",NA,"24,719,443"
2015,GA,Full-Service Providers,"6,511,155","4,662,637","1,887,035","9,004",NA,"13,069,830"
2015,HI,Full-Service Providers,"781,896","854,791","852,083",0,NA,"2,488,769"
2015,IA,Full-Service Providers,"1,603,951","1,076,729","1,255,122",0,NA,"3,935,802"
2015,ID,Full-Service Providers,"799,700","488,546","576,477",0,NA,"1,864,722"
2015,IL,Full-Service Providers,"2,911,967","1,583,473","438,747",0,NA,"4,934,187"
2015,IN,Full-Service Providers,"3,753,084","2,349,168","3,294,957","2,085",NA,"9,399,293"
2015,KS,Full-Service Providers,"1,634,552","1,553,019","854,187",0,NA,"4,041,758"
2015,KY,Full-Service Providers,"2,680,343","1,848,262","1,660,850",0,NA,"6,189,455"
2015,LA,Full-Service Providers,"2,943,587","2,165,878","1,900,895",979,NA,"7,011,339"
2015,MA,Full-Service Providers,"3,025,759","1,272,778","420,828",8,NA,"4,719,372"
2015,MD,Full-Service Providers,"2,895,747","853,642","46,972",0,NA,"3,796,361"
2015,ME,Full-Service Providers,"552,761","215,240","25,100",0,NA,"793,102"
2015,MI,Full-Service Providers,"4,810,752","3,768,972","1,859,959",491,NA,"10,440,174"
2015,MN,Full-Service Providers,"2,630,742","2,207,024","1,506,272","2,300",NA,"6,346,338"
2015,MO,Full-Service Providers,"3,799,962","2,797,527","1,096,388","1,724",NA,"7,695,601"
2015,MS,Full-Service Providers,"2,092,177","1,517,771","1,032,686",0,NA,"4,642,633"
2015,MT,Full-Service Providers,"525,004","492,400","141,335",0,NA,"1,158,739"
