area,wind_cost
Nationwide,$43.32 
Great Lakes,
Interior,$41.40 
West,
Northeast(2015 $/MWh),
Nationwide,$43.32 
Great Lakes,
Interior,$41.40 
West,
Northeast(2015 $/MWh),
Nationwide,$43.32 
Great Lakes,
Interior,$41.40 
West,
Northeast(2015 $/MWh),
Nationwide,$43.32 
Great Lakes,
Interior,$41.40 
West,$62.00 
Northeast(2015 $/MWh),
Nationwide,$36.82 
Great Lakes,$93.64 
Interior,$33.35 
West,$34.39 
Northeast(2015 $/MWh),$48.69 
Nationwide,$36.82 
Great Lakes,$93.64 
Interior,$33.35 
West,$34.39 
Northeast(2015 $/MWh),$48.69 
Nationwide,$34.32 
Great Lakes,$79.29 
Interior,$30.19 
West,$42.89 
Northeast(2015 $/MWh),$47.82 
Nationwide,$34.32 
Great Lakes,$79.29 
Interior,$30.19 
West,$42.89 
Northeast(2015 $/MWh),$47.82 
Nationwide,$38.21 
Great Lakes,$64.93 
Interior,$35.08 
West,$52.14 
Northeast(2015 $/MWh),$55.92 
Nationwide,$38.21 
Great Lakes,$64.93 
Interior,$35.08 
West,$52.14 
Northeast(2015 $/MWh),$55.92 
Nationwide,$50.81 
Great Lakes,$54.17 
Interior,$44.85 
West,$63.48 
Northeast(2015 $/MWh),$64.02 
Nationwide,$52.64 
Great Lakes,$62.73 
Interior,$44.06 
West,$71.53 
Northeast(2015 $/MWh),$78.05 
Nationwide,$65.17 
Great Lakes,$64.72 
Interior,$53.54 
West,$89.36 
Northeast(2015 $/MWh),$92.07 
Nationwide,$69.06 
Great Lakes,$76.93 
Interior,$54.17 
West,$96.35 
Northeast(2015 $/MWh),$69.12 
Nationwide,$60.29 
Great Lakes,$77.85 
Interior,$45.56 
West,$97.06 
Northeast(2015 $/MWh),$81.16 
Nationwide,$43.76 
Great Lakes,$56.87 
Interior,$36.23 
West,$77.55 
Northeast(2015 $/MWh),$59.16 
Nationwide,$38.79 
Great Lakes,$43.52 
Interior,$31.34 
West,$67.04 
Northeast(2015 $/MWh),$54.44 
Nationwide,$27.03 
Great Lakes,$44.28 
Interior,$22.31 
West,$59.65 
Northeast(2015 $/MWh),$62.17 
Nationwide,$23.67 
Great Lakes,$34.19 
Interior,$21.93 
West,$60.90 
Northeast(2015 $/MWh),
Nationwide,$37.66 
Great Lakes,$38.30 
Interior,$37.35 
West,
Northeast(2015 $/MWh),
Nationwide,$18.89 
Great Lakes,
Interior,$17.54 
West,
Northeast(2015 $/MWh),
