YEAR,STATE,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
1990,AK,Total,"5,599,506",,,,,,
1990,AK,Coal,"510,573",,,,,,
1990,AK,Hydroelectric Conventional,"974,521",,,,,,
1990,AK,Natural Gas,"3,466,261",,,,,,
1990,AK,Petroleum,"497,116",,,,,,
1990,AK,Wind,0,,,,,,
1990,AK,Wood and Wood Derived Fuels,"151,035",,,,,,
1990,AL,Total,"79,652,133",,,,,,
1990,AL,Coal,"53,658,115",,,,,,
1990,AL,Hydroelectric Conventional,"10,366,507",,,,,,
1990,AL,Natural Gas,"1,020,714",,,,,,
1990,AL,Nuclear,"12,051,882",,,,,,
1990,AL,Other Biomass,"47,503",,,,,,
1990,AL,Other Gases,"269,476",,,,,,
1990,AL,Petroleum,"138,089",,,,,,
1990,AL,Wood and Wood Derived Fuels,"2,099,847",,,,,,
1990,AR,Total,"39,099,598",,,,,,
1990,AR,Coal,"19,207,935",,,,,,
1990,AR,Hydroelectric Conventional,"3,654,653",,,,,,
1990,AR,Natural Gas,"3,578,573",,,,,,
1990,AR,Nuclear,"11,282,053",,,,,,
1990,AR,Other Biomass,"15,389",,,,,,
1990,AR,Petroleum,"79,979",,,,,,
1990,AR,Pumped Storage,"42,972",,,,,,
1990,AR,Wood and Wood Derived Fuels,"1,238,044",,,,,,
1990,AZ,Total,"62,774,297",,,,,,
1990,AZ,Coal,"31,915,610",,,,,,
1990,AZ,Hydroelectric Conventional,"7,417,576",,,,,,
1990,AZ,Natural Gas,"2,333,900",,,,,,
1990,AZ,Nuclear,"20,597,689",,,,,,
1990,AZ,Petroleum,"151,867",,,,,,
1990,AZ,Pumped Storage,"249,767",,,,,,
1990,AZ,Wood and Wood Derived Fuels,"107,888",,,,,,
1990,CA,Total,"165,784,909",,,,,,
1990,CA,Coal,"2,637,677",,,,,,
1990,CA,Geothermal,"14,521,254",,,,,,
1990,CA,Hydroelectric Conventional,"23,792,567",,,,,,
1990,CA,Natural Gas,"74,168,308",,,,,,
1990,CA,Nuclear,"32,692,807",,,,,,
1990,CA,Other,0,,,,,,
1990,CA,Other Biomass,"2,117,915",,,,,,
1990,CA,Other Gases,"2,146,742",,,,,,
1990,CA,Petroleum,"5,473,852",,,,,,
1990,CA,Pumped Storage,"986,252",,,,,,
1990,CA,Solar Thermal and Photovoltaic,"366,668",,,,,,
1990,CA,Wind,"2,758,881",,,,,,
1990,CA,Wood and Wood Derived Fuels,"4,121,986",,,,,,
1990,CO,Total,"32,548,127",,,,,,
1990,CO,Coal,"29,814,983",,,,,,
1990,CO,Hydroelectric Conventional,"1,419,870",,,,,,
1990,CO,Natural Gas,"1,290,092",,,,,,
1990,CO,Other Biomass,"28,990",,,,,,
1990,CO,Petroleum,"27,390",,,,,,
1990,CO,Pumped Storage,"-33,198",,,,,,
1990,CT,Total,"35,147,247",,,,,,
1990,CT,Coal,"3,594,645",,,,,,
1990,CT,Hydroelectric Conventional,"570,619",,,,,,
